time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Corner_picked_frame,Corner_unc_q95,Corner_unc_q99,Corner_unc_max,Corner_unc_top,Corner_score_q95,Corner_score_q99,Corner_score_max,Corner_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,L_Shaped_picked_frame,L_Shaped_unc_q95,L_Shaped_unc_q99,L_Shaped_unc_max,L_Shaped_unc_top,L_Shaped_score_q95,L_Shaped_score_q99,L_Shaped_score_max,L_Shaped_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,0.00018837360948964488,0.00020403385678946506,0.00020403385678946506,0.00020403385678946506,0.0001411009435514643,0.0001698512326402124,0.00017508089240436675,0.00017260587683267658,60,0.00024091539671644568,0.00026284827617928386,0.00026284827617928386,0.00026284827617928386,0.00019922905266867014,0.00024151177640305833,0.0002497861860319972,0.000245474383700639,60,0.0002034168574027717,0.0002278147148899734,0.0002278147148899734,0.0002278147148899734,0.00017453365799156015,0.00021474804627359844,0.00022246426669880748,0.00021898285267525354,60,0.00020238769939169286,0.00021863653091713786,0.00021863653091713786,0.00021863653091713786,0.00017448137296014466,0.00020697612199001013,0.00021190413099247962,0.00020979728506063112,60,0.00010677448444766924,0.00010683590517146513,0.00010683590517146513,0.00010683590517146513,1.6159690585482166e-05,1.6168985894182697e-05,1.6168985894182697e-05,1.6168985894182697e-05
4.0,0.00018149424577131864,0.00020373932784423232,0.00020373932784423232,0.00020373932784423232,0.00014822065350017508,0.00018953028098621873,0.00019582014283514582,0.0001929289323015837,80,0.00025351418880745766,0.0002864666166715324,0.0002864666166715324,0.0002864666166715324,0.00023364208609564225,0.0002758400727179833,0.0002821902744472027,0.00027972145908279346,80,0.0001565561047755181,0.00019128358690068126,0.00019128358690068126,0.00019128358690068126,0.0001080860271031269,0.000170042248792015,0.00017933029448613524,0.00017499966998002492,80,0.00016824196791276336,0.00017671211389824748,0.00017671211389824748,0.00017671211389824748,0.0001437360893760342,0.00016819525131722912,0.0001720511936582625,0.0001700631939456798,80,0.00014766472158953545,0.00016049499390646815,0.00016049499390646815,0.00016049499390646815,0.00010741841142589689,0.00014404355111764745,0.00014970880874898285,0.00014693140619783662
5.0,0.00016567655657127032,0.00017996056521951687,0.00017996056521951687,0.00017996056521951687,0.00012730215667033917,0.00015174024110820028,0.00015454436515938141,0.00015329020307035534,100,0.00021856398088857527,0.0002485561999492347,0.0002485561999492347,0.0002485561999492347,0.0002080269332509488,0.0002452157565858215,0.00024729620781727135,0.0002463968368829228,100,0.00010629946336848661,0.00010632833436829969,0.00010632833436829969,0.00010632833436829969,2.0836678231717087e-05,2.0842338926740922e-05,2.0842338926740922e-05,2.0842338926740922e-05,100,0.00016915214946493505,0.00017916987417265773,0.00017916987417265773,0.00017916987417265773,0.00014555097950506022,0.00016944066053838468,0.00017379698692820966,0.00017170376813737675,100,0.00016869063256308436,0.00018578785238787532,0.00018578785238787532,0.00018578785238787532,0.00013479403569363054,0.000171462208381854,0.00017624192696530372,0.0001742178683343809
6.0,0.00014522287347062957,0.00015830312440812122,0.00015830312440812122,0.00015830312440812122,9.431621911062393e-05,0.00012219474461744537,0.00012663622646869044,0.00012475959811126814,120,0.00014154588570818304,0.0001468213158659637,0.0001468213158659637,0.0001468213158659637,9.576979864505119e-05,0.00011689531711454037,0.00012107546353945509,0.00011921280129172374,120,0.00010686384484870359,0.00010689737246138975,0.00010689737246138975,0.00010689737246138975,2.2655818611383438e-05,2.2662925402983092e-05,2.2662925402983092e-05,2.2662925402983092e-05,120,0.0001646847347728908,0.00017789582489058375,0.00017789582489058375,0.00017789582489058375,0.00013352805253816766,0.00016443640532088464,0.00016971946752164513,0.00016766117623774336,120,0.0001677970285527408,0.00020159798441454768,0.00020159798441454768,0.00020159798441454768,0.0001253112066478934,0.00018478433063137345,0.00019308704941067845,0.00018950148951262235
7.0,0.00015360580291599033,0.0001687474432401359,0.0001687474432401359,0.0001687474432401359,0.00010681906423997132,0.0001464367095468333,0.00015464828902622685,0.0001510614115431963,140,0.00013296882389113307,0.00014737638412043452,0.00014737638412043452,0.00014737638412043452,6.932850665180011e-05,0.00011550315117347053,0.00012679952487815171,0.00012141342704126145,140,0.00014659793814644214,0.00015377457020804286,0.00015377457020804286,0.00015377457020804286,0.0001017930062516825,0.00013420956398476846,0.0001407288946211338,0.0001379695320792962,140,0.000181426468770951,0.00019793602405115962,0.00019793602405115962,0.00019793602405115962,0.00014366292452905324,0.00018152180593460798,0.00018769600137602538,0.00018469876085873692,140,0.00015342998085543513,0.00017590279458090663,0.00017590279458090663,0.00017590279458090663,0.00011249181952734942,0.00015451231709448618,0.0001633687352295965,0.00016016392619349061
8.0,0.00014223947655409572,0.00015192775754258037,0.00015192775754258037,0.00015192775754258037,8.900187631297738e-05,0.0001253034259570995,0.0001341339429927757,0.0001300405987421982,160,0.00013281813589856024,0.00014712678967043757,0.00014712678967043757,0.00014712678967043757,7.12844219378894e-05,0.00011272106581600382,0.00012423540465533733,0.00011935960974369663,160,0.0001306479680351913,0.0001355150598101318,0.0001355150598101318,0.0001355150598101318,7.441319321515036e-05,0.00010624298934999387,0.00011399994400562719,0.00011028884109691717,160,0.00016820154851302505,0.00017933378694579005,0.00017933378694579005,0.00017933378694579005,0.0001276723196497187,0.00016151205461937933,0.00016796760610304773,0.00016486968961544336,160,0.00013729025376960633,0.00014573539374396205,0.00014573539374396205,0.00014573539374396205,8.263757044915108e-05,0.00012073759404302109,0.00013033281720709056,0.00012564425451273565
9.0,0.00013116287118464243,0.00013710715575143695,0.00013710715575143695,0.00013710715575143695,7.372656673396701e-05,0.0001075073301217344,0.00011563443331397139,0.0001116970059229061,180,0.00013225356815382838,0.00013788993237540126,0.00013788993237540126,0.00013788993237540126,7.517288577218998e-05,0.00010980663791997358,0.00011689004895742983,0.00011384348363208119,180,0.00012094544217688963,0.00012432056246325374,0.00012432056246325374,0.00012432056246325374,6.2180170789361e-05,9.177276508125942e-05,0.00010001868213294074,9.599199584044981e-05,180,0.00013709970517084002,0.000143589626532048,0.000143589626532048,0.000143589626532048,7.496006983274126e-05,0.0001092975780920824,0.00011841415107483044,0.00011365192476660013,180,0.00013435276923701167,0.0001426285016350448,0.0001426285016350448,0.0001426285016350448,8.259314054157583e-05,0.00011915233939362224,0.00012721485109068453,0.00012330061945249328
