object_name,method,reconstruction_seed,trial_seed,placement_success,regrasp_success,conditional_regrasp_success,sequential_success,placement_margin_m,placement_tilt_deg,placement_tilt_limit_deg,predicted_grasp_width_m,actual_grasp_width_m,contact_error_m,antipodal_margin,failure_reason
003_cracker_box,gt,0,0,True,True,True,True,0.027875458321202043,5.356529987558396,18.98093746217131,0.06336080210986583,0.06380568979713717,0.0016452067144242426,0.9921988061446031,success
003_cracker_box,gt,0,1,True,True,True,True,0.027875458321202043,6.5550519185488065,18.98093746217131,0.06336080210986583,0.06359246034647134,0.00044076383929581134,0.9950978193669313,success
003_cracker_box,gt,0,2,True,True,True,True,0.02787545832120204,3.097800656689588,18.98093746217131,0.06336080210986583,0.06378120724901815,0.0009433397003134258,0.9928010927710296,success
003_cracker_box,gt,0,3,True,True,True,True,0.027875458321202043,1.1591849953711442,18.98093746217131,0.06336080210986583,0.06318837675085691,0.001909369751571694,0.9960083891782157,success
003_cracker_box,gt,0,4,True,True,True,True,0.027875458321202046,3.7266023903895995,18.980937462171312,0.06336080210986583,0.06351809813700396,0.00041297046611416704,0.9919721613419644,success
003_cracker_box,gt,0,5,True,True,True,True,0.02787545832120204,3.708587241231295,18.98093746217131,0.06336080210986583,0.06323371268858247,0.00017414112902250495,0.994188802340495,success
003_cracker_box,gt,0,6,True,True,True,True,0.027875458321202036,5.005588511142475,18.98093746217131,0.06336080210986583,0.06339685199101372,0.0013987069321510935,0.9904909983096831,success
003_cracker_box,gt,0,7,True,True,True,True,0.027875458321202036,0.8247031988536317,18.98093746217131,0.06336080210986583,0.0630863817011686,0.002217531516299363,0.9942611547686663,success
003_cracker_box,gt,0,8,True,True,True,True,0.02787545832120204,6.338324132515143,18.98093746217131,0.06336080210986583,0.06332310717183032,0.0003035788571098391,0.9967545983250226,success
003_cracker_box,gt,0,9,True,True,True,True,0.02787545832120203,0.8342992223775622,18.9809374621713,0.06336080210986583,0.06338596885671482,0.002815163968441107,0.9949457485225047,success
004_sugar_box,gt,0,0,True,True,True,True,0.03333206241847821,5.356529987558396,56.87867579485112,0.08961588722877112,0.0897492255928326,0.0013280971805735508,0.9994765342565092,success
004_sugar_box,gt,0,1,True,True,True,True,0.033332062418478206,6.5550519185488065,56.87867579485111,0.08961588722877112,0.0898450474328227,0.00034405798441104957,0.9985585583242571,success
004_sugar_box,gt,0,2,True,True,True,True,0.03333206241847821,3.097800656689588,56.87867579485112,0.08961588722877112,0.08988125274327798,0.0006997911499688494,0.9985860009881213,success
004_sugar_box,gt,0,3,True,True,True,True,0.03333206241847821,1.1591849953711442,56.87867579485112,0.08961588722877112,0.08958645843349243,0.001899398364276077,0.9918137162955525,success
004_sugar_box,gt,0,4,True,True,True,True,0.03333206241847821,3.7266023903895995,56.87867579485112,0.08961588722877112,0.08962817167944823,0.00026634630210555665,0.9983641017411604,success
004_sugar_box,gt,0,5,True,True,True,True,0.03333206241847821,3.708587241231295,56.87867579485112,0.08961588722877112,0.08953261913563518,0.00013278444959069266,0.9987650566793124,success
004_sugar_box,gt,0,6,True,True,True,True,0.0333320624184782,5.005588511142475,56.8786757948511,0.08961588722877112,0.08959904254991732,0.0012756766919965216,0.9955077022247827,success
004_sugar_box,gt,0,7,True,True,True,True,0.03333206241847821,0.8247031988536317,56.87867579485111,0.08961588722877112,0.08934568196824069,0.002304592490799818,0.9779648687896765,success
004_sugar_box,gt,0,8,True,True,True,True,0.033332062418478206,6.338324132515143,56.87867579485111,0.08961588722877112,0.08971287809079131,0.00032759418017083735,0.9514831584511363,success
004_sugar_box,gt,0,9,True,True,True,True,0.03333206241847821,0.8342992223775622,56.87867579485111,0.08961588722877112,0.09011443814316202,0.0029336898439447623,0.9941402821376051,success
005_tomato_soup_can,gt,0,0,True,True,True,True,0.033335679216745,5.356529987558396,34.12016742423359,0.06600885278723116,0.06591368044490337,0.003602898923887519,0.9977912529060429,success
005_tomato_soup_can,gt,0,1,True,True,True,True,0.033335679216745004,6.5550519185488065,34.1201674242336,0.06600885278723116,0.06604788540179786,0.0017017232956179765,0.999340059885282,success
005_tomato_soup_can,gt,0,2,True,True,True,True,0.033335679216745004,3.097800656689588,34.1201674242336,0.06600885278723116,0.0660102377719172,0.0027507017906675175,0.9997084837991876,success
005_tomato_soup_can,gt,0,3,True,True,True,True,0.033335679216745,1.1591849953711442,34.12016742423359,0.06600885278723116,0.06604986255657083,0.001381144814441322,0.9989695795444964,success
005_tomato_soup_can,gt,0,4,True,True,True,True,0.033335679216745,3.7266023903895995,34.12016742423359,0.06600885278723116,0.06599334944810671,0.0013630420824650466,0.9998052302347232,success
