frame_id,mesh_mesh_accuracy_mean,mesh_mesh_chamfer_l1,mesh_mesh_chamfer_l2,mesh_mesh_completeness_mean,mesh_mesh_fscore@0.002000,mesh_mesh_fscore@0.005000,mesh_mesh_fscore@0.010000,mesh_mesh_precision@0.002000,mesh_mesh_precision@0.005000,mesh_mesh_precision@0.010000,mesh_mesh_recall@0.002000,mesh_mesh_recall@0.005000,mesh_mesh_recall@0.010000,pcd_pcd_accuracy_mean,pcd_pcd_chamfer_l1,pcd_pcd_chamfer_l2,pcd_pcd_completeness_mean,pcd_pcd_fscore@0.002000,pcd_pcd_fscore@0.005000,pcd_pcd_fscore@0.010000,pcd_pcd_normal_mean_abs_cos,pcd_pcd_normal_mean_angle_deg,pcd_pcd_precision@0.002000,pcd_pcd_precision@0.005000,pcd_pcd_precision@0.010000,pcd_pcd_recall@0.002000,pcd_pcd_recall@0.005000,pcd_pcd_recall@0.010000,time_s
5,0.001804971398134535,0.035482317859429735,0.0015641889081788078,0.0336773464612952,0.10098380246502332,0.2186993355037239,0.3063047804547572,0.54475,0.99835,1.0,0.05565,0.1228,0.18085,0.0019448054896242235,0.040104560747999334,0.0018468617325791696,0.03815975525837511,0.03353947360678792,0.10709621245102306,0.20033112582781457,0.9217615743073713,20.423272104729413,0.6031746031746031,1.0,1.0,0.017249310027598896,0.05657773689052438,0.11131554737810488,1.0
10,0.0026723250523316153,0.025732391304999064,0.0008407867269920295,0.02306006625266745,0.1657575800711744,0.3010604069884872,0.4923297274885982,0.53415,0.80505,1.0,0.0981,0.18515,0.32655,0.0022023757895957225,0.035051584079879496,0.0014794150882849113,0.032849208290283774,0.055217581841207175,0.18162561802100888,0.31701180568995546,0.9125313452421769,19.409678666158438,0.504,0.984,1.0,0.02920883164673413,0.10004599816007359,0.18836246550137994,2.0
15,0.0031343765943981296,0.019547006636052282,0.00045511561924090066,0.016412630041654153,0.21227090375307467,0.38862521988527726,0.5636985629848541,0.49505,0.7881,0.95335,0.1351,0.2579,0.40015,0.001989364126033724,0.031498290590694845,0.0012609740072683266,0.02950892646466112,0.11450293300401358,0.2776787482669836,0.40088267745494666,0.93652031378632,16.415642139280454,0.583710407239819,1.0,1.0,0.06347746090156393,0.1612235510579577,0.25068997240110397,3.0
20,0.002349928828749647,0.019116350969838544,0.0004858313564495389,0.016766422141088897,0.24236536015484583,0.42371808,0.5952984667442106,0.56935,0.8769,0.9936,0.15395,0.27935,0.42495,0.0019588561628833662,0.02997528954263693,0.0011758318863305634,0.028016433379753566,0.13195515369922461,0.3122480643738306,0.43568987227918693,0.9313660493399487,17.756027294413222,0.58984375,0.99609375,1.0,0.07428702851885925,0.18514259429622815,0.2785188592456302,4.0
25,0.0023760279727074968,0.021860923866463537,0.0006944679015356714,0.01948489589375604,0.2859998537136778,0.46872040434294276,0.5870245530138111,0.5599,0.8829,0.9825,0.19205,0.31905,0.41855,0.0020672095356103746,0.020020674794294147,0.0005629190372043248,0.01795346525868377,0.18295880513527688,0.4221259406456658,0.5804766568723474,0.955648623242186,13.776675196996639,0.5882352941176471,0.9551820728291317,1.0,0.10832566697332106,0.27092916283348667,0.4089236430542778,5.0
30,0.0023832721019872295,0.021859415568353427,0.0006941793799947667,0.019476143466366197,0.28696515714096277,0.46901221370866997,0.5866441843035084,0.56135,0.88115,0.98285,0.19275,0.31955,0.4181,0.002054991747686247,0.019971360386671667,0.0005616107416293156,0.01791636863898542,0.18669447141905202,0.42352043229419023,0.5807083401338339,0.9547441136928275,13.924511935876499,0.5910364145658263,0.9551820728291317,1.0,0.11085556577736891,0.2720791168353266,0.4091536338546458,6.0
35,0.002466151824450225,0.02203692141585592,0.0007001666493757339,0.019570769591405694,0.2806038398244652,0.46560300037819896,0.5859607261551656,0.5396,0.8723,0.9815,0.1896,0.31755,0.41765,0.0020618524610026934,0.02009712571596991,0.0005666695642189762,0.018035273254967215,0.1837751330949727,0.4204246277311707,0.5774578766563062,0.9575839275475065,13.609743591143232,0.5915492957746479,0.9549295774647887,1.0,0.10878564857405704,0.26954921803127874,0.40593376264949405,7.0
40,0.0024600603142159757,0.02203082931216995,0.0007000053509084437,0.019570768997953975,0.2808197044334975,0.4656314860720138,0.58599636259692,0.5412,0.8725,0.9817,0.1896,0.31755,0.41765,0.0020618524610026934,0.02009712571596991,0.0005666695642189762,0.018035273254967215,0.1837751330949727,0.4204246277311707,0.5774578766563062,0.9575839275475065,13.609743591143232,0.5915492957746479,0.9549295774647887,1.0,0.10878564857405704,0.26954921803127874,0.40593376264949405,8.0
45,0.0031646546137907537,0.0076588623271316965,7.231280911003499e-05,0.004494207713340943,0.4786532244729227,0.7536291475528861,0.8990251458414356,0.5337,0.81185,0.9288,0.4339,0.7032,0.8711,0.0021872207044619004,0.011206614551245303,0.00018911328131682395,0.009019393846783403,0.3344812626295634,0.7024951870617362,0.8171926006528835,0.9467098930589892,15.714252088659016,0.5293532338308458,0.9651741293532339,1.0,0.24448022079116835,0.5522079116835327,0.6908923643054278,9.0
50,0.003934821269164893,0.009523201114231529,0.00011849068299820434,0.0055883798450666365,0.47098236872566557,0.718428750216076,0.8342575349017967,0.51965,0.7814,0.87735,0.43065,0.66485,0.7952,0.0023915688776369715,0.00818526759452616,8.171667311003612e-05,0.005793698716889189,0.363029613792476,0.7969481903256637,0.8916645424420088,0.8461234656922207,26.800729143558037,0.4598046581517656,0.9519158527422991,1.0,0.2999080036798528,0.6853725850965962,0.8045078196872125,10.0
55,0.0036762875254260194,0.00932593078268341,0.00012284115695744178,0.005649643257257392,0.5256139010704012,0.7386283286880017,0.8274074391859344,0.57935,0.81045,0.88025,0.481,0.6785,0.78055,0.0025283560600583097,0.008740315628446358,9.220808748284521e-05,0.006211959568388048,0.36992740522348627,0.7637926594386168,0.8751126914316624,0.8407959269760867,27.275444179395215,0.434640522875817,0.9418300653594771,0.9986928104575163,0.3219871205151794,0.6423643054277829,0.7787488500459981,11.0
60,0.0036450391829559343,0.009171235983869139,0.00011817750838387673,0.005526196800913204,0.5252608359279177,0.7400758431109622,0.8315914432093958,0.5798,0.8108,0.88305,0.4801,0.6807,0.7858,0.0025508709570115982,0.008734647882240314,9.117718306013637e-05,0.006183776925228715,0.3672581550394757,0.7617535878512166,0.8754007395760145,0.835371926065386,27.6970459885352,0.4261326329612607,0.9356533158240316,0.9986868023637557,0.3226770929162833,0.6423643054277829,0.7792088316467342,12.0
65,0.0035467631850179416,0.008698761440436499,0.00010524029991231752,0.0051519982554185575,0.5281175729068673,0.7535270037601425,0.8454700179850811,0.5739,0.81585,0.89355,0.4891,0.70005,0.8023,0.002644506220651469,0.008473573373997798,8.021499460555724e-05,0.005829067153346329,0.36299399461270215,0.7617865544226092,0.8831251102693818,0.8307933299115607,28.32310101578514,0.40853658536585363,0.9219512195121952,0.9981707317073171,0.3265869365225391,0.6490340386384544,0.7918583256669733,13.0
70,0.0034796142271285475,0.008631612021657362,0.00010355717774719185,0.0051519977945288144,0.530140794156209,0.7558220765135081,0.8462302435863449,0.5787,0.82125,0.89525,0.4891,0.70005,0.8023,0.002644506220651469,0.008473573373997798,8.021499460555724e-05,0.005829067153346329,0.36299399461270215,0.7617865544226092,0.8831251102693818,0.8307933299115607,28.32310101578514,0.40853658536585363,0.9219512195121952,0.9981707317073171,0.3265869365225391,0.6490340386384544,0.7918583256669733,14.0
75,0.003474962131798341,0.0086269599810513,0.00010378353632789149,0.005151997849252957,0.5307484030862755,0.7564778408904356,0.8464981950946618,0.58015,0.8228,0.89585,0.4891,0.70005,0.8023,0.002644506220651469,0.008473573373997798,8.021499460555724e-05,0.005829067153346329,0.36299399461270215,0.7617865544226092,0.8831251102693818,0.8307933299115607,28.32310101578514,0.40853658536585363,0.9219512195121952,0.9981707317073171,0.3265869365225391,0.6490340386384544,0.7918583256669733,15.0
80,0.0035213985273163245,0.008673394683952996,0.00010471568819046728,0.005151996156636671,0.5307065519337791,0.7544002042228004,0.845917393994755,0.58005,0.8179,0.89455,0.4891,0.70005,0.8023,0.002644506220651469,0.008473573373997798,8.021499460555724e-05,0.005829067153346329,0.36299399461270215,0.7617865544226092,0.8831251102693818,0.8307933299115607,28.32310101578514,0.40853658536585363,0.9219512195121952,0.9981707317073171,0.3265869365225391,0.6490340386384544,0.7918583256669733,16.0
85,0.0034407139318722003,0.008541491872501339,0.0001023243976648132,0.005100777940629138,0.5346370590419607,0.7631621628664494,0.8479357554379776,0.5848,0.8252,0.8972,0.4924,0.7098,0.8038,0.002633817502594699,0.008225595701259731,7.493768288536223e-05,0.005591778198665032,0.371052086413673,0.7731516675404567,0.8908141725481651,0.8308546905997692,28.311859966542475,0.41354723707664887,0.9257278669043375,0.9982174688057041,0.3364765409383625,0.6637534498620056,0.8042778288868445,17.0
90,0.003425895038766427,0.008313240021323014,9.771552039514392e-05,0.004887344982556587,0.5468638771523329,0.7670811920057102,0.8522237831826032,0.5936,0.82225,0.895,0.50695,0.71885,0.81335,0.002665007548844542,0.008139407618042594,7.227879502006752e-05,0.005474400069198052,0.3804448259219371,0.7747026353898758,0.8923146227472117,0.832927289217736,28.13946015773125,0.417607223476298,0.9204288939051919,0.9977426636568849,0.3493560257589696,0.6688132474701012,0.8070377184912604,18.0
95,0.0033485223743482495,0.008235863547319812,9.698834650813268e-05,0.004887341172971562,0.5491022380973911,0.7715550098295143,0.8556764306526807,0.5989,0.8326,0.90265,0.50695,0.71885,0.81335,0.002665007548844542,0.008139407618042594,7.227879502006752e-05,0.005474400069198052,0.3804448259219371,0.7747026353898758,0.8923146227472117,0.832927289217736,28.13946015773125,0.417607223476298,0.9204288939051919,0.9977426636568849,0.3493560257589696,0.6688132474701012,0.8070377184912604,19.0
