planner,object,initial_pose_seed,planner_seed,step,selected_action,oracle_action,selected_gain_f@5,oracle_gain_f@5,oracle_regret_f@5,oracle_action_accuracy,score_gain_spearman,minus_x_gain_f@5,minus_y_gain_f@5,plus_z_gain_f@5,minus_x_score,minus_y_score,plus_z_score
er_gpis,green_Pepper,8,0,0,minus_x,minus_x,0.24595915251529865,0.24595915251529865,0.0,1.0,1.0,0.24595915251529865,0.19222763022955702,0.0604237866859767,3.0691440105438232,3.028444528579712,2.8993027210235596
er_gpis,green_Pepper,8,0,1,minus_x,minus_x,0.18125278131676092,0.18125278131676092,0.0,1.0,1.0,0.18125278131676092,0.09362614983715012,0.01518787299847768,3.1403114795684814,2.992248296737671,2.809237241744995
er_gpis,green_Pepper,8,0,2,plus_z,plus_z,0.008756090607005218,0.008756090607005218,0.0,1.0,1.0,0.007342409656594606,0.008420692734026236,0.008756090607005218,2.6601805686950684,2.7142903804779053,2.8108837604522705
er_gpis,green_Pepper,8,0,3,plus_z,minus_x,0.0035172894266968235,0.025319650474876387,0.021802361048179564,0.0,0.5,0.025319650474876387,0.003201718354031158,0.0035172894266968235,2.7852180004119873,2.723256826400757,2.7976508140563965
er_gpis,green_Pepper,8,0,4,minus_y,minus_y,0.023930044298426267,0.023930044298426267,0.0,1.0,0.5,0.012533970189821608,0.023930044298426267,0.0015924196113404898,2.6523141860961914,2.876866102218628,2.7164084911346436
er_gpis,green_Pepper,13,0,0,minus_x,minus_x,0.2563968006543159,0.2563968006543159,0.0,1.0,1.0,0.2563968006543159,0.17600151726716917,0.032126321940558866,3.4522159099578857,3.190918207168579,3.0164520740509033
er_gpis,green_Pepper,13,0,1,minus_x,minus_x,0.16135045286490557,0.16135045286490557,0.0,1.0,1.0,0.16135045286490557,0.06505696061060429,0.04129560113709396,2.7454161643981934,2.4652411937713623,2.4163410663604736
er_gpis,green_Pepper,13,0,2,minus_y,minus_y,0.02606558042271301,0.02606558042271301,0.0,1.0,1.0,0.004643654823073384,0.02606558042271301,0.010826299867540135,2.3938705921173096,2.544283390045166,2.4871816635131836
er_gpis,green_Pepper,13,0,3,minus_x,minus_x,0.012641035573108583,0.012641035573108583,0.0,1.0,0.5,0.012641035573108583,0.0,0.001072752057296622,2.9056284427642822,2.7396023273468018,2.633023738861084
er_gpis,green_Pepper,13,0,4,minus_x,minus_x,0.015108193614969512,0.015108193614969512,0.0,1.0,0.5,0.015108193614969512,0.0,0.0004978040045797716,2.8881890773773193,2.69240403175354,2.404869318008423
er_gpis,green_Pepper,4,0,0,minus_x,minus_x,0.19871211689014134,0.19871211689014134,0.0,1.0,1.0,0.19871211689014134,0.11485467370523084,0.023435798268098273,3.504361867904663,3.268453598022461,3.217116117477417
er_gpis,green_Pepper,4,0,1,minus_x,minus_x,0.1704058337960639,0.1704058337960639,0.0,1.0,1.0,0.1704058337960639,0.0696148677922449,0.015337985150300826,2.8491034507751465,2.729688882827759,2.4087204933166504
er_gpis,green_Pepper,4,0,2,minus_y,minus_y,0.006224665769327564,0.006224665769327564,0.0,1.0,0.5,0.0026722740212280494,0.006224665769327564,0.0020607711710578513,2.5540807247161865,2.679100751876831,2.65425443649292
er_gpis,green_Pepper,4,0,3,plus_z,minus_x,1.685632569958795e-05,0.005482063878959775,0.005465207553260187,0.0,-0.8660254037844387,0.005482063878959775,1.685632569958795e-05,1.685632569958795e-05,2.697500467300415,2.7096853256225586,2.907416582107544
er_gpis,green_Pepper,4,0,4,plus_z,minus_x,0.0,0.005648580616812726,0.005648580616812726,0.0,-0.5,0.005648580616812726,0.0005896156199581837,0.0,2.830434560775757,2.681583881378174,2.92643141746521
er_gpis,green_Pepper,1,0,0,minus_x,minus_x,0.2094328001248965,0.2094328001248965,0.0,1.0,1.0,0.2094328001248965,0.14113771140752884,0.03225967150572984,3.775650978088379,3.695401668548584,3.414942979812622
er_gpis,green_Pepper,1,0,1,minus_x,minus_x,0.15335489307630545,0.15335489307630545,0.0,1.0,1.0,0.15335489307630545,0.04108206751213572,0.014986889200972908,3.1257214546203613,2.7041263580322266,2.5881142616271973
er_gpis,green_Pepper,1,0,2,plus_z,minus_x,0.0036446983894411478,0.016451994868129205,0.012807296478688057,0.0,-0.5,0.016451994868129205,0.007692598455242616,0.0036446983894411478,2.605954170227051,2.5316922664642334,2.695685625076294
er_gpis,green_Pepper,1,0,3,minus_x,minus_x,0.014003053596946868,0.014003053596946868,0.0,1.0,0.5,0.014003053596946868,0.012301191096656172,0.0030518370401161343,3.042860269546509,2.7676455974578857,2.8846137523651123
er_gpis,green_Pepper,1,0,4,plus_z,minus_x,0.00015137183941904553,0.0017631710621925922,0.0016117992227735467,0.0,-0.5,0.0017631710621925922,0.0004707848607671261,0.00015137183941904553,2.7286250591278076,2.6345317363739014,2.843374729156494
er_gpis,green_Pepper,12,0,0,minus_x,minus_x,0.20634079023905016,0.20634079023905016,0.0,1.0,1.0,0.20634079023905016,0.11693539342516945,0.03570333358449074,3.162548542022705,3.0716371536254883,3.0623278617858887
