planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
pb_nbv,green_Pepper,8,0,0,0.36523333333333335,0.5350489537807945,0.36523333333333335,0.025331942046531053,12.868983621088702
pb_nbv,green_Pepper,8,0,1,0.42396666666666666,0.5954727404667712,0.42396666666666666,0.04810642549256547,11.783967363818267
pb_nbv,green_Pepper,8,0,2,0.5952,0.7462387161484453,0.5952,0.07130203847492426,7.9784244851621064
pb_nbv,green_Pepper,8,0,3,0.6083333333333333,0.7564766839378237,0.6083333333333333,0.09373471523034699,7.711543646185422
pb_nbv,green_Pepper,8,0,4,0.6148666666666667,0.7615076580109813,0.6148666666666667,0.11325015751990689,7.520980565650254
pb_nbv,green_Pepper,8,0,5,0.6218333333333333,0.7668276641660672,0.6218333333333333,0.13174512963904617,7.384010879289365
pb_nbv,green_Pepper,13,0,0,0.3591,0.5284379368699874,0.3591,0.025173419059472523,14.995070579845732
pb_nbv,green_Pepper,13,0,1,0.6458666666666667,0.7848347375243033,0.6458666666666667,0.04469689866202939,5.6964230578129795
pb_nbv,green_Pepper,13,0,2,0.7037666666666667,0.8261303386613973,0.7037666666666667,0.062238510869377456,5.0887346814828
pb_nbv,green_Pepper,13,0,3,0.859,0.9241527703066165,0.859,0.08706076174916964,3.2529781579524704
pb_nbv,green_Pepper,13,0,4,0.9727,0.9861610990013686,0.9727,0.1113210266485888,2.3805425865413836
pb_nbv,green_Pepper,13,0,5,0.9792666666666666,0.9895247398026205,0.9792666666666666,0.13177987117737291,2.215203187978184
pb_nbv,green_Pepper,4,0,0,0.4482,0.6189752796575059,0.4482,0.025980856380777725,12.612250569430781
pb_nbv,green_Pepper,4,0,1,0.4732,0.6424110779256041,0.4732,0.04972039783790935,12.102113780996834
pb_nbv,green_Pepper,4,0,2,0.4877,0.6556429387645358,0.4877,0.07087582195237786,11.446005982909329
pb_nbv,green_Pepper,4,0,3,0.6215333333333334,0.7665995148624759,0.6215333333333334,0.09262784177647126,6.680986863684085
pb_nbv,green_Pepper,4,0,4,0.6543,0.7910294384331741,0.6543,0.1135790307570407,6.283303598402399
pb_nbv,green_Pepper,4,0,5,0.7105666666666667,0.8307968119726405,0.7105666666666667,0.1351323942729067,5.382061881328748
pb_nbv,green_Pepper,1,0,0,0.4439666666666667,0.6149264756804174,0.4439666666666667,0.026098971174773278,12.250528730115123
pb_nbv,green_Pepper,1,0,1,0.7012,0.8243592758053139,0.7012,0.052722120194072526,5.683498630933847
pb_nbv,green_Pepper,1,0,2,0.9564,0.9777141688816193,0.9564,0.0764954428676971,2.693675997536592
pb_nbv,green_Pepper,1,0,3,0.9884,0.9941661637497485,0.9884,0.09905133778905337,2.370082512395627
pb_nbv,green_Pepper,1,0,4,0.9904666666666667,0.9952105033995378,0.9904666666666667,0.1223284319640842,2.2141642582950096
pb_nbv,green_Pepper,1,0,5,0.9964333333333333,0.9982134807072612,0.9964333333333333,0.14507733889804975,2.078447770831954
pb_nbv,green_Pepper,12,0,0,0.4388666666666667,0.6100171431219015,0.4388666666666667,0.026339008079423288,12.471256091036384
pb_nbv,green_Pepper,12,0,1,0.5710333333333333,0.7269525365470709,0.5710333333333333,0.05016673014709298,8.96112689390758
pb_nbv,green_Pepper,12,0,2,0.7955333333333333,0.8861248282775778,0.7955333333333333,0.07672434428423362,4.506564121974676
