planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,Bowl,0,0.2877604166666667,0.18958333333333333,57.98201602851336,92.09990651955712
actnerf,Bowl,1,0.2643229166666667,0.171875,48.73370795328794,72.96696775599551
actnerf,Bowl,2,0.36328125,0.21861979166666665,66.81455051521,98.20563986228966
actnerf,Bowl,3,0.2799479166666667,0.18216145833333333,49.51970889465154,80.11570221214438
actnerf,Bowl,4,0.2578125,0.19153645833333333,48.56146208805345,81.0925168625292
actnerf,Bowl,5,0.2981770833333333,0.202734375,56.03476360389026,91.55810544590759
actnerf,Bowl,6,0.30078125,0.203515625,45.026015014498256,93.13323797539753
actnerf,Bowl,7,0.2786458333333333,0.20377604166666666,53.13371062125926,86.67389044612582
actnerf,Bowl,8,0.3684895833333333,0.22187500000000002,61.70094426566843,95.95423130356068
actnerf,Bowl,9,0.3098958333333333,0.20638020833333334,54.4926698935908,83.6656567040371
actnerf,Bowl,10,0.23697916666666666,0.1747395833333333,40.60491623512004,75.0073203497745
actnerf,Bowl,11,0.2630208333333333,0.18281250000000002,46.48959983344659,84.4137420209762
actnerf,Bowl,12,0.2513020833333333,0.17005208333333335,41.183029673510696,73.45987646118728
actnerf,Bowl,13,0.2864583333333333,0.19934895833333333,47.8531197270033,82.5753107544217
actnerf,Bowl,14,0.3619791666666667,0.2256510416666667,68.35533435759233,95.27956892467273
actnerf,Corner,0,0.28125,0.17981770833333335,55.10087312256051,87.01654941977243
actnerf,Corner,1,0.20052083333333334,0.156640625,37.992000510589854,75.29313472651474
actnerf,Corner,2,0.3072916666666667,0.2002604166666667,60.30714144404377,94.80195945277376
actnerf,Corner,3,0.3502604166666667,0.211328125,60.47130557742857,87.93264479238752
actnerf,Corner,4,0.26171875,0.17447916666666666,52.278125831753044,89.3979501538142
actnerf,Corner,5,0.33203125,0.21601562500000002,57.96412854494404,94.3966875541276
actnerf,Corner,6,0.2981770833333333,0.18502604166666667,51.3254661568638,86.11763180238269
actnerf,Corner,7,0.3098958333333333,0.210546875,60.921185477139204,90.00652205685947
actnerf,Corner,8,0.33984375,0.21640625,60.350997191047874,89.76453521267433
actnerf,Corner,9,0.2604166666666667,0.1983072916666667,42.586737394909726,73.26320840004287
actnerf,Corner,10,0.28515625,0.18216145833333333,46.90128421128107,84.47021835745124
actnerf,Corner,11,0.22395833333333334,0.14270833333333335,38.985948953139165,67.89400725010736
actnerf,Corner,12,0.2942708333333333,0.1983072916666667,55.30055027435549,92.84690390169908
actnerf,Corner,13,0.33203125,0.2171875,52.93500887787499,87.49422975953694
actnerf,Corner,14,0.32421875,0.2002604166666667,61.67219810258414,91.12635326912618
actnerf,Cross,0,0.2604166666666667,0.18424479166666666,53.97038059218533,87.12485905066747
actnerf,Cross,1,0.24869791666666666,0.17005208333333333,48.89071313286268,83.21155194630066
actnerf,Cross,2,0.3619791666666667,0.22447916666666665,70.26324750662793,98.53750717374908
actnerf,Cross,3,0.2734375,0.2002604166666667,48.94152778865157,82.51497767403019
actnerf,Cross,4,0.2786458333333333,0.15455729166666668,57.30289930979139,92.91328483813486
actnerf,Cross,5,0.3307291666666667,0.21067708333333335,57.19802459946849,91.09877955955365
actnerf,Cross,6,0.3359375,0.20625000000000002,57.02541840429626,89.90460594262498
actnerf,Cross,7,0.296875,0.2061197916666667,58.665687432700174,89.7064911336923
actnerf,Cross,8,0.3059895833333333,0.20260416666666667,50.548354100049586,79.05818699191514
actnerf,Cross,9,0.3072916666666667,0.20455729166666667,57.810932305553884,89.25371390041482
actnerf,Cross,10,0.3424479166666667,0.20690104166666667,57.079231740417306,89.07478056585252
actnerf,Cross,11,0.2799479166666667,0.17591145833333335,51.79260417112014,87.07247459434461
actnerf,Cross,12,0.3046875,0.18867187500000002,52.4299943825662,85.50417240768736
actnerf,Cross,13,0.2760416666666667,0.20690104166666667,45.64117047477411,82.0199576243172
actnerf,Cross,14,0.2903645833333333,0.19140625,55.36323036748254,87.08531491391818
actnerf,Cube,0,0.27734375,0.1791666666666667,55.829136149764516,89.65661217084158
actnerf,Cube,1,0.23828125,0.165625,38.06139786892095,75.43587898549868
actnerf,Cube,2,0.3450520833333333,0.22278645833333333,66.99441612916428,96.330307965203
actnerf,Cube,3,0.2955729166666667,0.1977864583333333,53.29211696725793,83.21349884604184
actnerf,Cube,4,0.2552083333333333,0.173828125,51.304108724136114,85.08095605043273
actnerf,Cube,5,0.22526041666666666,0.17565104166666665,36.16542763475012,67.01687356037108
actnerf,Cube,6,0.3346354166666667,0.195703125,62.91280270598143,94.13831745289242
actnerf,Cube,7,0.2669270833333333,0.19505208333333335,55.51134834564997,86.8382254733915
actnerf,Cube,8,0.33203125,0.21276041666666667,51.37070202972632,82.28965985616179
actnerf,Cube,9,0.3138020833333333,0.20885416666666665,57.37800578365471,86.28862573567015
actnerf,Cube,10,0.3294270833333333,0.20247395833333334,55.20942906723192,86.80419895683379
actnerf,Cube,11,0.2747395833333333,0.1727864583333333,46.901284210593985,84.47021835731381
actnerf,Cube,12,0.3151041666666667,0.20716145833333335,57.15566466984897,94.4144255999699
actnerf,Cube,13,0.3372395833333333,0.2098958333333333,57.06962569254165,93.05930562504874
actnerf,Cube,14,0.2955729166666667,0.20078125,53.96439895663854,88.03215402684636
actnerf,Cylinder,0,0.2604166666666667,0.18424479166666666,53.97038059218533,87.12485905066747
actnerf,Cylinder,1,0.3268229166666667,0.19505208333333335,64.78819414709928,94.02871216779283
actnerf,Cylinder,2,0.3372395833333333,0.21106770833333335,64.78083101587151,96.29377372826876
actnerf,Cylinder,3,0.3359375,0.2109375,59.64450804656834,90.55302442413814
actnerf,Cylinder,4,0.2799479166666667,0.17005208333333335,53.51072662026818,95.71547608180164
actnerf,Cylinder,5,0.28125,0.19843750000000002,46.70122076202284,75.0418796860887
actnerf,Cylinder,6,0.3307291666666667,0.20338541666666665,63.94682444981678,96.60981455875236
actnerf,Cylinder,7,0.296875,0.19388020833333333,62.940339516896394,95.63602754919985
actnerf,Cylinder,8,0.2890625,0.2001302083333333,43.93605893860334,71.87882884137575
actnerf,Cylinder,9,0.31640625,0.21666666666666667,59.872802705533424,95.40316893924745
actnerf,Cylinder,10,0.2981770833333333,0.19466145833333334,49.56010032766506,81.93086320963214
actnerf,Cylinder,11,0.21484375,0.155078125,43.039825243211475,71.14513977781219
actnerf,Cylinder,12,0.2578125,0.17955729166666665,45.068415674276956,79.96366078098664
actnerf,Cylinder,13,0.2643229166666667,0.19218749999999998,43.01024664486485,81.26069094902051
actnerf,Cylinder,14,0.3020833333333333,0.1967447916666667,52.954223650491265,76.90164236037226
actnerf,L_Shaped,0,0.3072916666666667,0.19205729166666666,60.285437234734566,93.4305272757032
actnerf,L_Shaped,1,0.22916666666666666,0.16809895833333333,38.15453826028163,67.36156317822527
actnerf,L_Shaped,2,0.359375,0.23046875,67.49141706121925,96.93292725242237
actnerf,L_Shaped,3,0.2916666666666667,0.20572916666666666,49.609201380847,84.25936480134446
actnerf,L_Shaped,4,0.3372395833333333,0.2075520833333333,62.11064311402035,92.03024423590652
actnerf,L_Shaped,5,0.3502604166666667,0.23059895833333333,66.1788139720096,94.667407509129
actnerf,L_Shaped,6,0.3619791666666667,0.2143229166666667,56.132045556593916,96.45392466395121
actnerf,L_Shaped,7,0.3216145833333333,0.20859375,63.472965053675615,93.72868124476311
actnerf,L_Shaped,8,0.33203125,0.22083333333333333,54.75203536303851,87.18092037143566
actnerf,L_Shaped,9,0.33984375,0.20234375000000002,65.166440044005,100.29876365723489
actnerf,L_Shaped,10,0.3268229166666667,0.20169270833333333,50.89186061430183,85.83755939749778
actnerf,L_Shaped,11,0.21875,0.14270833333333335,39.61917568435417,69.22071950499732
actnerf,L_Shaped,12,0.31640625,0.20494791666666665,58.73198046255292,94.23472759436861
actnerf,L_Shaped,13,0.2513020833333333,0.19088541666666667,40.45223358128728,79.01226526462528
actnerf,L_Shaped,14,0.2630208333333333,0.18033854166666666,50.47142455894823,78.15108180428058
actnerf,Thin_Irregular,0,0.2604166666666667,0.18424479166666666,53.97038059218533,87.12485905066747
actnerf,Thin_Irregular,1,0.265625,0.171484375,49.03138624425665,90.52455939929779
actnerf,Thin_Irregular,2,0.31640625,0.208984375,59.34146453082095,93.89271891701533
actnerf,Thin_Irregular,3,0.2747395833333333,0.18294270833333334,44.677965022840084,72.85792526071873
actnerf,Thin_Irregular,4,0.32421875,0.19088541666666667,65.79748409899432,96.13261144573393
actnerf,Thin_Irregular,5,0.2669270833333333,0.18424479166666666,43.562114544342116,76.9206423688513
