planner,paired_scenes,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n
actnerf,120,0.0758476607272943,0.0019377934631448098,120,0.10755476517337585,0.003239807402014236,120,0.1619144417728454,0.03372501056362392,120,0.99,0.010333000205467301,120,0.031707104446081526,0.0029406948323742843,120,0.4227777777777778,0.023831078857979165,120,0.03222222222222223,0.017218581103607116,120,0.6533739745599042,0.013632049627660953,120,0.3701388888888889,0.027662172017245718,120
er_gpis,120,0.08081016186128004,0.0020337135054114067,120,0.08682688198224034,0.00272600884874409,120,0.34386858737117776,0.058695811283743675,120,0.9833333333333333,0.013591423670301092,120,0.006016720120960279,0.002164637330888055,120,0.6316666666666667,0.040174967005041945,120,0.030000000000000002,0.017139702791026043,120,0.7158890997807568,0.014507154981017071,120,0.5333333333333333,0.035241649453581915,120
fixed,120,0.07085485148003141,0.0017944119295891185,120,0.1515011343383178,0.003485905703878158,120,nan,nan,0,nan,nan,0,0.08064628285828639,0.0024522605857165386,120,0.2900000000000001,0.018469349277792604,120,0.030000000000000002,0.016499934640393423,120,nan,nan,0,0.0,0.0,120
pb_nbv,120,0.05275482953031762,0.004329530695496789,120,0.1603056960713432,0.009427220107118366,120,-0.35626264370224875,0.0730921855570154,120,0.9383333333333334,0.019012434871382516,120,0.10755086654102557,0.012373597936811602,120,0.19166666666666668,0.03836646479563934,120,0.041666666666666664,0.02405910478126352,120,0.4521904278001409,0.02934735415571191,120,0.5104166666666666,0.05295648494174836,120
pose_novelty,120,0.0817290307999455,0.0020372950248795187,120,0.08420549718708219,0.0023497728529704837,120,0.6186129711807321,0.029357392102644927,120,0.9866666666666667,0.012900909427334477,120,0.0024764663871366622,0.0005919818265917658,120,0.7100000000000001,0.020141538387805715,120,0.035,0.019496787065625784,120,-0.056574326465211475,0.0015367014688154972,120,0.5,0.0,120
ray_gpis,120,0.07911551862904134,0.0026304415293060433,120,0.08788033625612565,0.0039795229106443794,120,0.47221981234618776,0.06671178013942555,120,0.9783333333333334,0.015242810369936908,120,0.008764817627084313,0.005090840537247553,120,0.6799999999999999,0.041076647628453776,120,0.03833333333333333,0.02037833656869936,120,0.3345747477288473,0.03801362045291707,120,0.5229166666666667,0.03122588612117017,120
