planner,paired_scenes,final_recall@5,final_recall@5_ci95,final_recall@5_n,final_f@5,final_f@5_ci95,final_f@5_n,final_chamfer_mm,final_chamfer_mm_ci95,final_chamfer_mm_n
actnerf,120,0.9356541666666668,0.008910633359719767,120,0.965059191126624,0.005016706388459554,120,2.6772255157912337,0.0896506112682644,120
fixed,120,0.8880608333333332,0.008189964668908764,120,0.9400951448903094,0.004595181657836163,120,3.0265598034464594,0.07916464468555925,120
pb_nbv,120,0.7596891666666666,0.03375967179895858,120,0.8495950351417406,0.02343747945269304,120,5.344083964478227,0.6028878145771768,120
ray_gpis,120,0.9682336111111112,0.01573813790914231,120,0.9813984806353592,0.009967780206965756,120,2.3465877031601283,0.1195490265963195,120
