planner,paired_scenes,final_recall@5,final_recall@5_ci95,final_recall@5_n,final_f@5,final_f@5_ci95,final_f@5_n,final_chamfer_mm,final_chamfer_mm_ci95,final_chamfer_mm_n,final_visibility_coverage,final_visibility_coverage_ci95,final_visibility_coverage_n,visibility_coverage_auc,visibility_coverage_auc_ci95,visibility_coverage_auc_n,recall@5_auc,recall@5_auc_ci95,recall@5_auc_n,f@5_auc,f@5_auc_ci95,f@5_auc_n,cumulative_active_gain_f@5,cumulative_active_gain_f@5_ci95,cumulative_active_gain_f@5_n,unseen_surface_discovery_ratio,unseen_surface_discovery_ratio_ci95,unseen_surface_discovery_ratio_n,unique_visibility_gain_per_action,unique_visibility_gain_per_action_ci95,unique_visibility_gain_per_action_n,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n,representation_update_s,representation_update_s_ci95,representation_update_s_n,candidate_scoring_s,candidate_scoring_s_ci95,candidate_scoring_s_n,planning_time_s,planning_time_s_ci95,planning_time_s_n
actnerf,120,0.9356541666666668,0.008910633359719767,120,0.965059191126624,0.005016706388459554,120,2.6772255157912337,0.0896506112682644,120,0.2828300287120063,0.04873720375314877,120,0.20590753774348458,0.043254434403820846,120,0.7846658148148148,0.009515325185376114,120,0.8664742730508211,0.006168657938010012,120,0.3792383036364716,0.00968896731572405,120,0.25067737226695136,0.04686325774950488,120,0.038539677894240634,0.005022091178248655,120,0.0758476607272943,0.0019377934631448098,120,0.10755476517337585,0.003239807402014236,120,0.1619144417728454,0.03372501056362392,120,0.99,0.010333000205467301,120,0.031707104446081526,0.0029406948323742843,120,0.4227777777777778,0.023831078857979165,120,0.03222222222222223,0.017218581103607116,120,0.6533739745599042,0.013632049627660953,120,0.3701388888888889,0.027662172017245718,120,2.0085457628638523,0.016191162315525993,120,0.22952190156838093,0.0015851322842755822,120,2.2380676644322333,0.01773973670950546,120
er_gpis,120,0.9806775,0.006512944657857772,120,0.9898716967965526,0.003667738488487438,120,2.2720595302816,0.05332292646972678,120,0.2940572635123488,0.05202501232987611,120,0.21729760349927574,0.047259346716795006,120,0.8458967777777778,0.00857006827416375,120,0.9032845509582041,0.00547399719359927,120,0.4040508093064003,0.010168567527057033,120,0.2682056270628544,0.0526432504692967,120,0.04078512485430915,0.005640599987215352,120,0.08081016186128004,0.0020337135054114067,120,0.08682688198224034,0.00272600884874409,120,0.34386858737117776,0.058695811283743675,120,0.9833333333333333,0.013591423670301092,120,0.006016720120960279,0.002164637330888055,120,0.6316666666666667,0.040174967005041945,120,0.030000000000000002,0.017139702791026043,120,0.7158890997807568,0.014507154981017071,120,0.5333333333333333,0.035241649453581915,120,0.09336121481857845,0.001552532275497205,120,0.003959703724782836,7.038263889880129e-05,120,0.09732091854336128,0.0015914405294969378,120
fixed,120,0.8880608333333332,0.008189964668908764,120,0.9400951448903094,0.004595181657836163,120,3.0265598034464594,0.07916464468555925,120,0.2770267209438377,0.046914141660042576,120,0.18677997649594047,0.03656615122349803,120,0.6780458333333333,0.007810551069612714,120,0.7948060512209978,0.006093004502838409,120,0.3542742574001571,0.008972059647945594,120,0.24094115393962914,0.04354364861548383,120,0.03737901634060693,0.004727182680121349,120,0.07085485148003141,0.0017944119295891185,120,0.1515011343383178,0.003485905703878158,120,nan,nan,0,nan,nan,0,0.08064628285828639,0.0024522605857165386,120,0.2900000000000001,0.018469349277792604,120,0.030000000000000002,0.016499934640393423,120,nan,nan,0,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120
pb_nbv,120,0.7596891666666666,0.03375967179895858,120,0.8495950351417406,0.02343747945269304,120,5.344083964478227,0.6028878145771768,120,0.24432663621053527,0.04220319724763235,120,0.17494090716091518,0.03592697275535628,120,0.6188129444444445,0.025823491604722772,120,0.7475328277579515,0.019273731783220425,120,0.26377414765158813,0.021647653477483948,120,0.19734457451287318,0.03896041561805286,120,0.030838999393946447,0.004005590629358897,120,0.05275482953031762,0.004329530695496789,120,0.1603056960713432,0.009427220107118366,120,-0.35626264370224875,0.0730921855570154,120,0.9383333333333334,0.019012434871382516,120,0.10755086654102557,0.012373597936811602,120,0.19166666666666668,0.03836646479563934,120,0.041666666666666664,0.02405910478126352,120,0.4521904278001409,0.02934735415571191,120,0.5104166666666666,0.05295648494174836,120,0.3347979869651681,0.023714052021652884,120,0.05625101522833574,0.0008810715415357321,120,0.39104900219350386,0.023963898906305084,120
pose_novelty,120,0.9891080555555554,0.002697421114422634,120,0.9944660414898799,0.001384753082799678,120,2.176395294760641,0.030564390945091384,120,0.29819243824949143,0.05228618953557432,120,0.22005821970389672,0.04755958794067247,120,0.8552900555555555,0.0065711741159347505,120,0.9090198941750683,0.004305518800350723,120,0.4086451539997276,0.010186475124397595,120,0.27275055838761014,0.05284517093596508,120,0.04161215980173768,0.005736987635856733,120,0.0817290307999455,0.0020372950248795187,120,0.08420549718708219,0.0023497728529704837,120,0.6186129711807321,0.029357392102644927,120,0.9866666666666667,0.012900909427334477,120,0.0024764663871366622,0.0005919818265917658,120,0.7100000000000001,0.020141538387805715,120,0.035,0.019496787065625784,120,-0.056574326465211475,0.0015367014688154972,120,0.5,0.0,120,2.3222873084402334e-05,7.988650011151448e-07,120,0.0002489709886382722,8.460399828254103e-06,120,0.00027219386172267455,8.790360262013605e-06,120
ray_gpis,120,0.9682336111111112,0.01573813790914231,120,0.9813984806353592,0.009967780206965756,120,2.3465877031601283,0.1195490265963195,120,0.2843031398113285,0.05125285020472168,120,0.21350147631848954,0.04732682805824127,120,0.8397336666666667,0.013601273007590823,120,0.8987404380606235,0.009062928467947753,120,0.3955775931452068,0.013152207646530214,120,0.2570907984634825,0.052161471468575644,120,0.03883430011410508,0.0054254498650382855,120,0.07911551862904134,0.0026304415293060433,120,0.08788033625612565,0.0039795229106443794,120,0.47221981234618776,0.06671178013942555,120,0.9783333333333334,0.015242810369936908,120,0.008764817627084313,0.005090840537247553,120,0.6799999999999999,0.041076647628453776,120,0.03833333333333333,0.02037833656869936,120,0.3345747477288473,0.03801362045291707,120,0.5229166666666667,0.03122588612117017,120,0.26133908315019655,0.02415645380842577,120,7.247065003563574e-05,1.2980679391538184e-06,120,0.2614115538002322,0.024156087918231428,120
