planner,paired_scenes,final_visibility_coverage,final_visibility_coverage_ci95,final_visibility_coverage_n,visibility_coverage_auc,visibility_coverage_auc_ci95,visibility_coverage_auc_n,recall@5_auc,recall@5_auc_ci95,recall@5_auc_n,f@5_auc,f@5_auc_ci95,f@5_auc_n,cumulative_active_gain_f@5,cumulative_active_gain_f@5_ci95,cumulative_active_gain_f@5_n,unseen_surface_discovery_ratio,unseen_surface_discovery_ratio_ci95,unseen_surface_discovery_ratio_n,unique_visibility_gain_per_action,unique_visibility_gain_per_action_ci95,unique_visibility_gain_per_action_n
actnerf,120,0.2828300287120063,0.04873720375314877,120,0.20590753774348458,0.043254434403820846,120,0.7846658148148148,0.009515325185376114,120,0.8664742730508211,0.006168657938010012,120,0.3792383036364716,0.00968896731572405,120,0.25067737226695136,0.04686325774950488,120,0.038539677894240634,0.005022091178248655,120
er_gpis,120,0.2940572635123488,0.05202501232987611,120,0.21729760349927574,0.047259346716795006,120,0.8458967777777778,0.00857006827416375,120,0.9032845509582041,0.00547399719359927,120,0.4040508093064003,0.010168567527057033,120,0.2682056270628544,0.0526432504692967,120,0.04078512485430915,0.005640599987215352,120
fixed,120,0.2770267209438377,0.046914141660042576,120,0.18677997649594047,0.03656615122349803,120,0.6780458333333333,0.007810551069612714,120,0.7948060512209978,0.006093004502838409,120,0.3542742574001571,0.008972059647945594,120,0.24094115393962914,0.04354364861548383,120,0.03737901634060693,0.004727182680121349,120
pb_nbv,120,0.24432663621053527,0.04220319724763235,120,0.17494090716091518,0.03592697275535628,120,0.6188129444444445,0.025823491604722772,120,0.7475328277579515,0.019273731783220425,120,0.26377414765158813,0.021647653477483948,120,0.19734457451287318,0.03896041561805286,120,0.030838999393946447,0.004005590629358897,120
pose_novelty,120,0.29819243824949143,0.05228618953557432,120,0.22005821970389672,0.04755958794067247,120,0.8552900555555555,0.0065711741159347505,120,0.9090198941750683,0.004305518800350723,120,0.4086451539997276,0.010186475124397595,120,0.27275055838761014,0.05284517093596508,120,0.04161215980173768,0.005736987635856733,120
ray_gpis,120,0.2843031398113285,0.05125285020472168,120,0.21350147631848954,0.04732682805824127,120,0.8397336666666667,0.013601273007590823,120,0.8987404380606235,0.009062928467947753,120,0.3955775931452068,0.013152207646530214,120,0.2570907984634825,0.052161471468575644,120,0.03883430011410508,0.0054254498650382855,120
