planner,object,initial_pose_seed,planner_seed,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv,Thin_Irregular,10,0,0.7124342475863003,0.56697,0.56697,0.8750984288874724,0.7779333333333334,0.00407454282191913,-0.3,0.12292665365960502,0.2,0.761490520798543
pb_nbv,Thin_Irregular,5,0,0.8812709579795632,0.8111499999999999,0.8111499999999999,0.9998499774966245,0.9997,0.0020924209676184587,0.5,0.006776446442115169,0.6,0.8136277500001597
pb_nbv,Thin_Irregular,11,0,0.6564416969773815,0.4895033333333333,0.4895033333333333,0.6865148861646234,0.5226666666666666,0.012754914366130465,-1.0,0.16690556824704822,0.0,0.7210937519994332
pb_nbv,Thin_Irregular,0,0,0.6966702680785433,0.5455233333333334,0.5455233333333334,0.898375103277334,0.8155,0.004653215422445499,-0.3,0.13726515074716475,0.2,0.42946071440237576
fixed,green_Pepper,8,0,0.7927621839742237,0.6796533333333333,0.6796533333333333,0.929928126839186,0.8690333333333333,0.0031276969799337996,,0.0666549329146181,0.2,0.0
fixed,green_Pepper,13,0,0.7637768789884241,0.6379599999999999,0.6379599999999999,0.9220072225516088,0.8553,0.0035521357289555727,,0.09357437750744076,0.2,0.0
fixed,green_Pepper,4,0,0.8054318656856833,0.6893366666666666,0.6893366666666666,0.932365344579085,0.8733,0.0031318936191832825,,0.08400050213273921,0.2,0.0
fixed,green_Pepper,1,0,0.8193757432708038,0.7106166666666667,0.7106166666666667,0.937902711888409,0.8830666666666667,0.002881180233344871,,0.07483395537222268,0.2,0.0
fixed,green_Pepper,12,0,0.8315132342977577,0.7315100000000001,0.7315100000000001,0.9530805604508733,0.9103666666666667,0.002758890554695174,,0.06347702749793957,0.4,0.0
fixed,green_Pepper,7,0,0.8048334322716844,0.6886300000000001,0.6886300000000001,0.9283226463286121,0.8662333333333333,0.0032373400881539403,,0.07925937344552998,0.2,0.0
fixed,green_Pepper,14,0,0.8062663960314144,0.6924766666666666,0.6924766666666666,0.9688595586718911,0.9396,0.002475487321673004,,0.08294283389803654,0.4,0.0
fixed,green_Pepper,2,0,0.7989352135864696,0.6836333333333332,0.6836333333333332,0.9398731381521989,0.8865666666666666,0.0029356119050996804,,0.07678696994911346,0.2,0.0
fixed,green_Pepper,6,0,0.8071671483327136,0.6997166666666667,0.6997166666666667,0.9290112989307963,0.8674333333333333,0.0033072837458131203,,0.09406140864986871,0.2,0.0
fixed,green_Pepper,3,0,0.8190633555837549,0.7119266666666666,0.7119266666666666,0.9687354978429384,0.9393666666666667,0.0024741015405486677,,0.06609981235475212,0.4,0.0
fixed,green_Pepper,9,0,0.8017212024091659,0.6877133333333333,0.6877133333333333,0.9636768744494533,0.9299,0.0025451119306551242,,0.06901218291243809,0.4,0.0
fixed,green_Pepper,10,0,0.8188194057666266,0.7108533333333333,0.7108533333333333,0.9304431530535847,0.8699333333333333,0.003285603991145907,,0.08828596658309587,0.2,0.0
fixed,green_Pepper,5,0,0.796933313070806,0.6821266666666668,0.6821266666666668,0.924480613763063,0.8595666666666667,0.0031750016419616117,,0.07310783150522056,0.2,0.0
fixed,green_Pepper,11,0,0.8248547151832156,0.71768,0.71768,0.9707168956821574,0.9431,0.0024683390628415175,,0.07208069162961687,0.4,0.0
fixed,green_Pepper,0,0,0.8099566348906707,0.7001700000000001,0.7001700000000001,0.9327261731118147,0.8739333333333333,0.003160651701509899,,0.09225280318735596,0.2,0.0
fixed,Corner,8,0,0.7664817771852143,0.6387533333333334,0.6387533333333334,0.9267891319512762,0.8635666666666667,0.0035258898639348203,,0.09607357577537415,0.2,0.0
fixed,Corner,13,0,0.7881359448965265,0.6646933333333334,0.6646933333333334,0.9296799743123194,0.8686,0.0036919055298922344,,0.09644211813748578,0.2,0.0
fixed,Corner,4,0,0.8246780726458999,0.7122299999999999,0.7122299999999999,0.9483462745166775,0.9017666666666667,0.0030569554284607487,,0.08195870784167289,0.2,0.0
fixed,Corner,1,0,0.8271638231288303,0.7203100000000001,0.7203100000000001,0.9789145862051362,0.9587,0.002768235865120509,,0.0730654784547535,0.4,0.0
fixed,Corner,12,0,0.8074660100724822,0.69204,0.69204,0.9621352337790386,0.9270333333333334,0.002902031370221983,,0.0681482325616245,0.4,0.0
fixed,Corner,7,0,0.8401507753274423,0.7414433333333333,0.7414433333333333,0.9953787422141852,0.9908,0.0026051239058303356,,0.05931527616248402,0.4,0.0
fixed,Corner,14,0,0.7680221172582054,0.6423366666666667,0.6423366666666667,0.9237475111661196,0.8583,0.0037727180510835918,,0.07800872592449253,0.2,0.0
fixed,Corner,2,0,0.7910986307636024,0.6722633333333332,0.6722633333333332,0.9308624376336422,0.8706666666666667,0.0035393954489699,,0.09845448309765929,0.2,0.0
fixed,Corner,6,0,0.8519430056848947,0.7539966666666668,0.7539966666666668,0.9491014817669107,0.9031333333333333,0.0031109138772163333,,0.05425167495442098,0.2,0.0
fixed,Corner,3,0,0.8158042738599137,0.7031299999999999,0.7031299999999999,0.9141843714937203,0.8419333333333333,0.0037325600020133025,,0.08989982332779263,0.2,0.0
fixed,Corner,9,0,0.8246617808750146,0.7133133333333334,0.7133133333333334,0.9623865110246433,0.9275,0.002997930227398174,,0.079347520766383,0.4,0.0
fixed,Corner,10,0,0.8355151765863136,0.7343633333333335,0.7343633333333335,0.9776096513648912,0.9562,0.0027041703738345593,,0.0629276722945106,0.4,0.0
fixed,Corner,5,0,0.7858118197419092,0.6662133333333334,0.6662133333333334,0.9459630384372145,0.8974666666666666,0.003103205528730441,,0.05932645210318135,0.4,0.0
fixed,Corner,11,0,0.8389876549900741,0.7404833333333333,0.7404833333333333,0.9406966684910224,0.8880333333333333,0.0031394829055220344,,0.0654349093920408,0.2,0.0
fixed,Corner,0,0,0.7900316662515869,0.6750033333333333,0.6750033333333333,0.9612548041965306,0.9254,0.002975168819205452,,0.08164058440676406,0.4,0.0
fixed,L_Shaped,8,0,0.7879186201699648,0.6651400000000001,0.6651400000000001,0.945536985290241,0.8967,0.0027336950888141543,,0.06712924263730091,0.2,0.0
fixed,L_Shaped,13,0,0.8020212869515799,0.67933,0.67933,0.9176317783309883,0.8478,0.0032311082907868992,,0.07682655427977958,0.2,0.0
