planner,paired_scenes,final_pose_coverage,final_pose_coverage_ci95,pose_coverage_auc,pose_coverage_auc_ci95,mean_incremental_pose_novelty_deg,mean_incremental_pose_novelty_deg_ci95,mean_pairwise_view_distance_deg,mean_pairwise_view_distance_deg_ci95
actnerf,120,0.29538845486111115,0.006718745936967041,0.1946799045138889,0.0032423863385904706,53.25680650454404,1.4504697511720848,86.14574018084242,1.4627339761214877
er_gpis,120,0.32477213541666666,0.009727316369755238,0.21100585937500002,0.003724275573014038,62.48467941697839,1.682910015307084,93.21463082688427,1.687692918156847
fixed,120,0.26276041666666666,0.0012147343556261846,0.15276041666666665,0.0010364129768871719,42.69532396693412,1.0071619767754095e-10,80.01838581757649,3.053005179670473e-11
pb_nbv,120,0.19847005208333332,0.0166847606889951,0.1323600260416667,0.009856582457794794,29.24377406125963,3.757047527061961,53.35721159458199,5.850915820340935
pose_novelty,120,0.4010416666666667,0.0015728618838661437,0.23481770833333332,0.0013122521552484678,77.74669995548575,2.2837459154543808e-15,98.13814871718365,3.729341463352323e-15
ray_gpis,120,0.33515625,0.013121165953483718,0.21147786458333334,0.00569533817562878,63.57821005022283,2.749552082481346,91.50997901184877,3.328876513741918
