planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
actnerf,Bowl,15,0.8501207586721746,0.7598953333333333,0.9539742998342919,0.31044585011395587,0.20000000000000004,0.029248935695132053,0.6581026717593652
actnerf,Corner,15,0.8762249889597348,0.7982072592592592,0.9721420989962323,0.04686175638607196,0.1630826242458371,0.03144193345448236,0.6301242219488313
actnerf,Cross,15,0.865362376203699,0.7830740740740741,0.9684093090834274,0.07549916145589018,0.16444444444444445,0.030125205385257346,0.6489880645838101
actnerf,Cube,15,0.8773538265438243,0.8016885185185184,0.9720922578160235,0.08719318712199046,0.22119088529969388,0.031180986228349993,0.6528220090727601
actnerf,Cylinder,15,0.8712303354125337,0.7929108888888888,0.9675696991099926,0.14867237307775658,0.1958824762600666,0.0308593597299157,0.6606445387006942
actnerf,L_Shaped,15,0.8710374444158113,0.7914942222222223,0.9682377177552841,0.08704739166432361,0.1406353297441383,0.030560558689747806,0.6532251810419367
actnerf,Thin_Irregular,15,0.8487989672313432,0.7581333333333333,0.950352369724618,0.8063532016014604,0.06726210931651361,0.040058385473648705,0.6496500875804276
actnerf,green_Pepper,15,0.8716654869674477,0.791922888888889,0.967695776693122,0.08518738052642755,0.14281766487206912,0.03018147091211828,0.6734350217914077
er_gpis,Bowl,15,0.8607366493321228,0.7776144444444444,0.9671182097943458,0.3168910642485197,0.28666666666666674,0.02183513874658264,0.7692801674433356
er_gpis,Corner,15,0.9127794382740153,0.8613262222222224,0.9970597938679202,0.04785793800079143,0.3020256505152891,0.005346407319479005,0.7119389806019683
er_gpis,Cross,15,0.90874450948828,0.8543662222222222,0.9948252662089653,0.07704266952510883,0.39845299461620737,0.0016586212826166429,0.7227795142862592
er_gpis,Cube,15,0.919759010545423,0.8727893333333333,0.9980819255675588,0.08909679955288613,0.5228546882018368,0.0006665799514233347,0.7239372329671168
er_gpis,Cylinder,15,0.9138616270802796,0.8637193333333334,0.9960952597757127,0.15422656829709894,0.4437157890324957,0.0010851161313918686,0.7003785959760336
er_gpis,L_Shaped,15,0.9010841029879927,0.8411846666666666,0.9835967522129946,0.08783081336688602,0.15235257121980014,0.010515949093431641,0.8047842901291967
er_gpis,Thin_Irregular,15,0.8991418970366638,0.840077111111111,0.9911502141921203,0.8787991010551699,0.35642734410091836,0.004105329354543182,0.6984580639162278
er_gpis,green_Pepper,15,0.9101691729208555,0.8560968888888889,0.9910461527528039,0.08663587394774516,0.28845299461620744,0.00292061908821393,0.5955559529259173
fixed,Bowl,15,0.7677092912489951,0.643018,0.9137108353269923,0.28519765245955764,nan,0.07940196738926907,nan
fixed,Corner,15,0.8103968352845272,0.6980382222222224,0.9498033612368886,0.04689507323029073,nan,0.07628634901337601,nan
fixed,Cross,15,0.7897935560399562,0.6700955555555556,0.9374883335623819,0.07442559476812821,nan,0.08130602503304336,nan
fixed,Cube,15,0.8045537666087257,0.6922233333333333,0.9547304402029754,0.08656150779948493,nan,0.07909502123307292,nan
fixed,Cylinder,15,0.7939376428922281,0.6767553333333333,0.9444113562973774,0.14134990819132334,nan,0.08329373279066563,nan
