planner,object,initial_pose_seed,planner_seeds,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv,green_Pepper,8,1,0.7021268215074905,0.5471799999999999,0.5471799999999999,0.7668276641660672,0.6218333333333333,0.007384010879289365,-0.5,0.113600306393256,0.0,0.3360393554001348
pb_nbv,green_Pepper,13,1,0.8560520567659979,0.7701033333333334,0.7701033333333334,0.9895247398026205,0.9792666666666666,0.002215203187978184,0.25,0.026059344826941343,0.6,0.34927972059958845
pb_nbv,green_Pepper,4,1,0.7161138031601727,0.5632233333333334,0.5632233333333334,0.8307968119726405,0.7105666666666667,0.005382061881328748,-0.3,0.11147846977424822,0.2,0.31202485479734604
pb_nbv,green_Pepper,1,1,0.9196040180060118,0.8713333333333333,0.8713333333333333,0.9982134807072612,0.9964333333333333,0.002078447770831954,0.3415063509461097,0.0004465954953393414,0.8,0.3709186191976187
pb_nbv,green_Pepper,12,1,0.8334541804610197,0.7260333333333333,0.7260333333333333,0.9032281651007202,0.8235333333333333,0.003919733109895407,0.25,0.05331079009552071,0.2,0.3429904476040974
pb_nbv,green_Pepper,7,1,0.6531918954731448,0.4852833333333333,0.4852833333333333,0.6732414921610685,0.5074333333333333,0.010965275696489554,-0.8,0.18427885861464974,0.0,0.32143199059937616
pb_nbv,green_Pepper,14,1,0.8373786050755978,0.7270833333333332,0.7270833333333332,0.8803045571604524,0.7862,0.004103022127269674,-0.5,0.056289108969916034,0.2,0.3351359302032506
pb_nbv,green_Pepper,2,1,0.8656811050532942,0.7855566666666666,0.7855566666666666,1.0,1.0,0.002008434610253476,0.3333333333333333,0.026723417095078396,0.6,0.37740498839702924
pb_nbv,green_Pepper,6,1,0.6225491114134523,0.45307333333333333,0.45307333333333333,0.7177843313245287,0.5598,0.008174075471694455,-0.5,0.20758073111911854,0.0,0.33772247260058064
pb_nbv,green_Pepper,3,1,0.9142691426897006,0.86241,0.86241,0.9890820865345734,0.9784,0.002276315709797876,0.25,0.003311808303428032,0.6,0.3700787561989273
pb_nbv,green_Pepper,9,1,0.6517013633303834,0.48414999999999997,0.48414999999999997,0.6889257931998951,0.5254666666666666,0.009572994249426443,-0.9,0.18117511983371634,0.0,0.30250970920169495
pb_nbv,green_Pepper,10,1,0.6623888351629557,0.49571333333333334,0.49571333333333334,0.6897846879503865,0.5264666666666666,0.00998204345168491,-0.9,0.19256738048291142,0.0,0.3280773287973716
pb_nbv,green_Pepper,5,1,0.6633871269799948,0.5032433333333334,0.5032433333333334,0.8708220415537489,0.7712,0.00428236836858317,-0.4,0.13653236504387078,0.2,0.3605815180009813
pb_nbv,green_Pepper,11,1,0.7536920145621113,0.6167233333333334,0.6167233333333334,0.9500209995800084,0.9048,0.0027872322408940713,-0.2,0.09602331235521597,0.2,0.348897253999894
pb_nbv,green_Pepper,0,1,0.6607146395591309,0.49914333333333333,0.49914333333333333,0.8841361353914823,0.7923333333333333,0.004026284501427801,-0.5,0.16618213590136882,0.2,0.32908729680057147
pb_nbv,Corner,8,1,0.7963737819859977,0.6915666666666667,0.6915666666666667,0.9945875295339912,0.9892333333333333,0.0025390957508611067,0.1,0.06738939758446558,0.6,0.38476081239787163
pb_nbv,Corner,13,1,0.721410912211397,0.5704133333333333,0.5704133333333333,0.8250039166536113,0.7021333333333334,0.005483439627366256,-0.6,0.12860720900936634,0.0,0.39464300000108776
pb_nbv,Corner,4,1,0.9021773173147046,0.8332200000000001,0.8332200000000001,0.9997666122095156,0.9995333333333334,0.0025602951158694575,0.125,0.036999464350562936,0.6,0.41558226580236807
pb_nbv,Corner,1,1,0.7244434138920457,0.57325,0.57325,0.9144790403994717,0.8424333333333334,0.0037835378443766632,-0.5,0.12253770604427854,0.2,0.36902802720142064
pb_nbv,Corner,12,1,0.8359880914036077,0.7309133333333333,0.7309133333333333,0.9172997455654401,0.8472333333333333,0.003960457009427036,-0.125,0.04038260103213383,0.0,0.3902966184003162
pb_nbv,Corner,7,1,0.7657111937211991,0.62371,0.62371,0.8465974625144175,0.734,0.004326988586560038,-0.3,0.12484546238070493,0.0,0.3199465933997999
