level,variant,object,initial_pose_seed,score_map_correlation,action_flip,top_direction_deviation_deg,oracle_regret
mild,ray_gpis_pointwise,Cube,15,0.3823361358683091,0.0,0.00011459029153797543,0.03489958663939885
mild,ray_gpis_pointwise,Cube,16,0.03452288138017852,0.4,80.28271280630295,6.674006056295312e-06
mild,ray_gpis_pointwise,Cube,17,0.048289136335196346,0.45,55.118674786361375,9.707685935568255e-05
mild,ray_gpis_pointwise,Cube,18,0.5007565375371937,0.0,9.676128104211074,0.0
mild,ray_gpis_pointwise,Cube,19,0.486543938830396,0.0,0.6089734012890229,0.0
mild,ray_gpis_pointwise,Cube,20,0.03459571441609878,0.6,93.27300910459118,6.006304998549261e-05
mild,ray_gpis_pointwise,Cube,21,0.5682266751544975,0.0,1.2241471917035818,0.0
mild,ray_gpis_pointwise,Cube,22,0.4160558981047865,0.0,0.00011458393018168008,0.06795957710602432
mild,ray_gpis_pointwise,Cylinder,15,0.038616781586175326,0.25,46.188526591493826,0.0002204850671477243
mild,ray_gpis_pointwise,Cylinder,16,0.3806426670862897,0.0,11.925267974792625,0.004500211895191342
mild,ray_gpis_pointwise,Cylinder,17,0.6111890950446325,0.0,8.180541976868081,0.0
mild,ray_gpis_pointwise,Cylinder,18,0.1413179503318837,0.9,72.10825929716042,0.006591663030068862
mild,ray_gpis_pointwise,Cylinder,19,0.6008708371480886,0.0,10.835430717019253,0.0
mild,ray_gpis_pointwise,Cylinder,20,0.10223590702430967,1.0,152.26551711103608,0.0008980183194143732
mild,ray_gpis_pointwise,Cylinder,21,0.0808883254177157,0.05,7.667652173800876,0.0
mild,ray_gpis_pointwise,Cylinder,22,0.1842857347219043,0.05,73.00656501185736,0.00045447386269504284
mild,ray_gpis_pointwise,green_Pepper,15,0.49552929732204154,0.0,8.599614316455112,0.0
mild,ray_gpis_pointwise,green_Pepper,16,0.2579313057907987,0.0,15.801245571975247,0.0
mild,ray_gpis_pointwise,green_Pepper,17,0.4102489843213549,0.0,0.633255849788066,0.0
mild,ray_gpis_pointwise,green_Pepper,18,0.2667139934767681,0.05,4.183328153001539,0.0023655271472856456
mild,ray_gpis_pointwise,green_Pepper,19,0.3466820925841153,0.0,0.803605311890242,0.0
mild,ray_gpis_pointwise,green_Pepper,20,0.21995629720759896,0.05,16.480178825537244,0.000346029979840462
mild,ray_gpis_pointwise,green_Pepper,21,0.14651747396429385,0.6,57.13522653977468,0.003120630875389052
mild,ray_gpis_pointwise,green_Pepper,22,0.29632347806688153,0.0,4.648594019636283,0.0
mild,ray_gpis_pointwise,L_Shaped,15,0.08792629892423895,0.6,40.59668426167778,9.01126060642632e-05
mild,ray_gpis_pointwise,L_Shaped,16,0.05104396744106202,0.65,29.72484192842531,0.00648100392789609
mild,ray_gpis_pointwise,L_Shaped,17,0.06161267595559623,0.65,40.034582975432265,0.0019338196709464185
mild,ray_gpis_pointwise,L_Shaped,18,0.08311248283360034,0.05,16.171110190364885,0.00017073569209181684
mild,ray_gpis_pointwise,L_Shaped,19,0.07814874685282672,0.35,46.51557886923041,0.0004262218156259434
mild,ray_gpis_pointwise,L_Shaped,20,0.35288631551842525,0.05,0.6851844309413323,0.0005040495043454607
mild,ray_gpis_pointwise,L_Shaped,21,0.08158646143282215,0.75,41.80429541361113,0.004696136476210383
mild,ray_gpis_pointwise,L_Shaped,22,0.11872707570382238,0.1,6.349930367395757,6.667111140745696e-06
mild,ray_gpis_pointwise,Cross,15,0.5554588664746868,0.0,7.201327257018003,0.0
mild,ray_gpis_pointwise,Cross,16,0.41930189974822607,0.0,0.00011459029153797543,0.0
mild,ray_gpis_pointwise,Cross,17,0.6054459329938201,0.0,12.539306925174104,0.0
mild,ray_gpis_pointwise,Cross,18,0.17502378261615928,0.5,54.190028301481256,0.004192229302849381
mild,ray_gpis_pointwise,Cross,19,0.6151578822006455,0.0,5.111536652044821,0.0
mild,ray_gpis_pointwise,Cross,20,0.3640137903410391,0.05,9.347386646186504,0.0030961912156185767
mild,ray_gpis_pointwise,Cross,21,0.16752278124284728,0.3,35.26405010174176,0.002365602725002963
