level,variant,samples,score_map_correlation,score_map_correlation_ci95,action_flip,action_flip_ci95,top_direction_deviation_deg,top_direction_deviation_deg_ci95,oracle_regret,oracle_regret_ci95
mild,ray_gpis_pointwise,1280,0.3422277537754296,0.01265156546074447,0.190625,0.02152710456476073,24.745306757111592,2.0885251752464864,0.01242994138456802,0.001495930748229768
mild,ray_gpis,1280,0.5792089569194806,0.01555109469196529,0.1765625,0.020897067930203857,26.305427781021685,2.146958930086272,0.012244878114266963,0.0014943810317836809
moderate,ray_gpis_pointwise,1280,0.31373953012353517,0.01225843704827742,0.21875,0.02265634478357677,28.94362525902642,2.0825500932454957,0.01248346195944057,0.0015532745606363523
moderate,ray_gpis,1280,0.5495305310614322,0.015743317164345,0.2109375,0.02235905264143538,29.550967580918314,2.1611890869197152,0.012485281522260298,0.0015529678460454498
severe,ray_gpis_pointwise,1280,0.27242170183221937,0.011595309782196335,0.27421875,0.02444962737849343,33.41789787920074,2.110837179276698,0.012354276167247857,0.0015386770385560475
severe,ray_gpis,1280,0.5028286482176737,0.015287207020182254,0.2609375,0.024067425219163413,34.1698295118605,2.212153452588865,0.012361271426437163,0.0015535534919592828
