j_pos_0,j_pos_1,j_pos_2,j_pos_3,j_pos_4,j_pos_5,j_pos_6,j_pos_7,j_pos_8,j_pos_9,j_pos_10,j_pos_11,j_pos_12,j_pos_13,j_pos_14,j_pos_15,j_pos_16,j_pos_17,j_pos_18,j_pos_19,j_pos_20,j_pos_21,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,pip_1_fsr,pip_2_fsr,pip_3_fsr,thumb_pip_fsr,dip_1_fsr,dip_2_fsr,dip_3_fsr,thumb_dip_fsr,tip_1_fsr,tip_2_fsr,tip_3_fsr,thumb_tip_fsr,palm_1_fsr,palm_2_fsr,palm_3_fsr,palm_4_fsr
3.2946275e-05,1.1574502,-1.5208509,3.1407142,2.7420132,-1.5690049,0.5762194,-0.12215111,1.1348838,-0.3653235,1.5528102,0.32021523,1.2558776,0.37840626,-0.31142825,-0.12866725,0.8984347,-0.3659985,0.7582502,0.19624709,0.43977696,-0.3659562,-0.6959598,-0.8012454,-0.1757888,0.003365077,0.12644574,-0.18746339,-0.22522137,-0.15281963,0.93653643,-0.8106785,-0.5271465,0.98288536,-0.93928885,-0.42967692,-0.40556642,0.2987396,0.9415289,-0.99782413,-0.196454,0.01607475,0.95232254,-0.47010198,0.0,1.183,-1.54101,3.14161,2.7421,-1.56901,0.71959054,-0.050088383,1.2262886,-0.366,1.6659857,0.7818202,1.1866533,0.282714,-0.314,-0.12110482,0.90776163,-0.366,0.8588871,0.02476224,0.54631424,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7247909e-05,1.1574482,-1.520845,3.140704,2.7420135,-1.5690106,0.6067212,-0.15362184,1.3410686,-0.36359987,1.5289983,0.6189177,1.0815866,0.24094403,-0.2571993,-0.062856875,1.1066679,-0.36599854,0.7524327,0.18327557,0.6661321,-0.365958,-0.6777912,-0.5756482,0.0013543256,0.12782508,0.31678542,0.3316574,-0.42277497,-0.09568924,0.9797789,-0.8919972,-0.6305845,0.9965771,-0.9878578,-0.3420144,0.37888372,0.35230765,0.9883058,-0.97751194,-0.3823328,0.12819314,0.9904645,-0.32053715,0.0,1.183,-1.541,3.14161,2.7421,-1.569,0.63118005,-0.07009887,1.4311794,-0.366,1.5341182,0.9902239,0.980073,0.21119213,-0.23476803,-0.047430426,1.1144357,-0.366,0.7789338,0.051569924,0.75343966,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.426226e-05,1.1574522,-1.5208505,3.140716,2.742014,-1.5690111,0.6521328,-0.19058381,1.5255252,-0.36590865,1.4164004,0.82914287,0.8695535,0.084118955,-0.14446779,0.008330745,1.2682902,-0.36600086,0.7289908,0.15604222,0.87000483,-0.36596,-0.29409066,0.2520484,0.31510627,0.46753153,0.29149687,-0.37682143,-0.37117767,-0.026545787,0.8803376,-0.7836261,-0.7237859,-0.048875213,-0.9975716,-0.74247783,0.87577677,0.44660515,0.9976612,-0.6584324,-0.0744002,-0.06358659,0.97275174,-0.22765703,0.0,1.1830001,-1.541,3.14161,2.7421,-1.56901,0.5584825,-0.075298026,1.6035991,-0.366,1.3923601,0.9806514,0.7846923,0.06577316,-0.063241616,0.040040016,1.3098339,-0.366,0.7643621,0.03911609,0.94395924,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5897149e-05,1.1574546,-1.5208529,3.1407177,2.7420259,-1.5690107,0.7163853,-0.22956431,1.6268836,-0.36338377,1.3356807,0.84868723,0.69222903,0.09005023,-0.0010361638,0.055693917,1.2614759,-0.3660049,0.7806273,0.14877838,0.9827125,-0.36597732,0.15625136,0.54309,-0.05381871,0.8935063,0.060085613,-0.6504389,0.32430965,-0.19728543,0.5800484,-0.40805584,-0.5625967,-0.80977505,-0.8474565,0.16986959,0.9062589,0.3410102,0.019475684,-0.36094028,0.35209286,-0.08928353,0.3614232,-0.5615581,1e-05,1.1830001,-1.54101,3.14161,2.7421,-1.56901,0.6205583,-0.11306025,1.7146256,-0.366,1.2846739,0.8256531,0.6224814,0.09828775,0.11022456,0.10531247,1.3135617,-0.366,0.8317559,0.022026408,1.0131389,-0.366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3341641e-05,1.1574563,-1.5208538,3.1407158,2.7420137,-1.5690109,0.8010598,-0.23823625,1.6372428,-0.23663725,1.3945069,0.77716285,0.704709,0.24277022,0.16813071,0.0999885,1.1836301,-0.36599854,0.8633199,0.16632767,0.9806388,-0.3659778,0.38413915,0.48098284,-0.3524931,0.3926977,-0.5215127,0.45456028,0.28326494,-0.20076376,-0.18522179,0.71838886,0.38826728,-0.7159675,0.5605145,0.83397394,0.9812518,0.20464647,-0.45718586,-0.6189153,0.40490577,0.14191481,-0.23297217,-0.6406209,1e-05,1.1830001,-1.54101,3.14161,2.742,-1.569,0.6781232,-0.15385929,1.676985,-0.22000964,1.3635772,0.6801548,0.7363887,0.2677672,0.30963367,0.14690055,1.2206528,-0.366,0.91404045,0.050866216,0.9657945,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3305787e-05,1.1574556,-1.5208539,3.1407275,2.7420137,-1.5690054,0.75108427,-0.26335484,1.5696574,-0.16125385,1.3205832,0.725238,0.778784,0.39950228,0.27069205,0.13262624,0.9920563,-0.36599854,0.8510427,0.20786785,0.8747383,-0.3659788,0.20311499,0.8961966,-0.3018985,-0.4577073,-0.77394605,0.8054543,-0.32578558,-0.574643,-0.8354392,0.27293533,-0.565155,-0.43272084,0.85959655,0.94264877,0.6884768,-0.008036427,-0.8914372,-0.88284314,-0.41384143,0.82838297,-0.81085896,-0.6850414,1e-05,1.1830001,-1.54101,3.1416,2.742,-1.569,0.61176944,-0.27089852,1.5068287,-0.1644201,1.2484704,0.5920213,0.9114653,0.45975924,0.44985777,0.14526375,1.0390911,-0.366,0.82975215,0.21958543,0.80064446,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.8475131e-05,1.1574503,-1.5208489,3.1407263,2.7420187,-1.5690109,0.6514581,-0.3067369,1.4333682,-0.2223619,1.2030953,0.7203516,0.8610789,0.56774116,0.24688242,0.05102018,0.8128997,-0.36599854,0.6790577,0.33388114,0.68689,-0.36597946,0.40519974,0.31475705,0.13983488,-0.5061881,-0.53238034,0.9480153,-0.12341629,-0.37190887,-0.96708786,-0.4085666,-0.62222964,-0.36308002,0.70481706,0.9345449,-0.5759204,-0.607529,-0.97828746,-0.9501898,-0.87458324,0.9656766,-0.9621718,-0.60088176,1e-05,1.1830001,-1.541,3.1416,2.742,-1.569,0.58673084,-0.3463511,1.3106267,-0.24730974,1.122233,0.5183599,1.0544579,0.6493589,0.33301553,0.022008784,0.840617,-0.366,0.65231746,0.41550106,0.6054399,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.9892812e-05,1.15745,-1.5208485,3.1407251,2.7420137,-1.5690109,0.67841804,-0.2896193,1.2466652,-0.34708282,1.2717544,0.6686658,0.9986875,0.67110944,0.10539379,-0.1306585,0.61488503,-0.36599854,0.6330183,0.41382217,0.49054834,-0.3659805,0.55488145,0.23862052,-0.17205322,-0.11759198,-0.43147913,0.98960304,0.62752986,0.23397428,-0.9934176,-0.7668792,0.51261944,-0.30495277,0.57450074,0.2854424,-0.9151841,-0.9215058,-0.98067725,-0.990038,-0.088205665,0.3177731,-0.9618064,-0.533673,1e-05,1.1830001,-1.54101,3.1416,2.742,-1.569,0.7180099,-0.29740372,1.1028041,-0.366,1.2294729,0.45456386,1.1746433,0.7090734,0.14155929,-0.17076996,0.6354596,-0.366,0.6338649,0.4819791,0.4042303,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.1673195e-05,1.1574478,-1.5208458,3.1407146,2.7420137,-1.5690051,0.6819112,-0.252479,1.0373936,-0.36299294,1.3687891,0.59186816,1.0766817,0.5671396,-0.024996564,-0.21694781,0.53345966,-0.36599854,0.6995537,0.4186948,0.3065312,-0.3659816,0.5791749,0.1533306,-0.09282854,0.14131719,-0.88629586,0.89087236,0.37854135,0.53040797,-0.9986836,-0.40029854,0.86329556,-0.5398124,0.8399432,-0.47811246,-0.9830368,-0.7049514,-0.6122709,-0.95684505,0.63329077,-0.34211913,-0.9721723,-0.47575706,1e-05,1.1830001,-1.54101,3.14161,2.742,-1.569,0.7940303,-0.19088472,0.9022438,-0.366,1.402844,0.3461562,1.3433245,0.61305666,-0.055858746,-0.31234157,0.5125005,-0.366,0.7610453,0.41327316,0.20899412,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.7503471e-05,1.1574503,-1.520845,3.1407084,2.7420137,-1.5690058,0.67788476,-0.31542537,0.8921959,-0.3481806,1.5009234,0.44835582,1.1645114,0.40433484,-0.19550331,-0.19729777,0.62864697,-0.36599854,0.80876625,0.3636346,0.1651295,-0.36598182,0.127855,0.44681865,0.54409885,0.045788396,-0.6933092,0.5141598,-0.37106335,0.9060816,0.01307261,-0.42525202,0.90895844,-0.10091198,0.46536005,-0.8412025,-0.99115574,0.293055,0.6409652,-0.991369,0.67130435,-0.8299634,-0.43742368,-0.4601893,1e-05,1.1830001,-1.541,3.14161,2.742,-1.569,0.71726924,-0.003445536,0.9049481,-0.366,1.5908782,0.32528076,1.4395926,0.43903887,-0.26089704,-0.2517179,0.64509565,-0.366,0.8999166,0.24158038,0.11850521,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
