planner,object,initial_pose_seed,actions,frames_per_action,total_action_frames,f@5_auc,final_f@5,final_recall@5,final_chamfer_mm,accepted_keyframes,accepted_frame_ratio,mean_visibility_ratio,underrotation_rate,stall_rate,slip_rate,persistent_axis_rate,max_pose_error_deg,max_translation_error_mm
ray_gpis,Bowl,0,5,90,450,0.5796760243076952,0.8794262662483191,0.7848,4.056578925180086,24,0.05333333333333334,0.5474105873173148,1.0,0.6,0.0,0.0,0.0,0.0
ray_gpis,Bowl,1,5,90,450,0.6359274235305146,0.7059483242030798,0.5455333333333333,5.914843018901654,9,0.02,0.4983815210619741,1.0,0.0,0.2,0.0,0.0,0.0
ray_gpis,Bowl,2,5,90,450,0.7215153610303447,0.8766148661299382,0.7803333333333333,3.820150610723836,26,0.057777777777777775,0.4978064233427793,1.0,0.0,0.4,0.4,0.0,0.0
ray_gpis,Bowl,3,5,90,450,0.6782962606045632,0.7953016765385003,0.6601666666666667,4.7905676429935875,21,0.04666666666666667,0.4950181583251307,1.0,0.0,0.4,0.8,0.0,0.0
ray_gpis,Bowl,4,5,90,450,0.7613211016972132,0.8991431664312056,0.8167666666666666,3.705275816101169,25,0.05555555555555555,0.49789799417113195,1.0,0.0,0.0,0.0,0.0,0.0
ray_gpis,Bowl,5,5,90,450,0.745976182065849,0.9596879063719116,0.9225,2.8984411903152765,29,0.06444444444444444,0.520937454143808,1.0,0.2,0.2,0.4,0.0,0.0
ray_gpis,Bowl,6,5,90,450,0.6313764572778708,0.8352680824630196,0.7171333333333333,4.487180151507836,26,0.057777777777777775,0.5143804129264501,1.0,0.2,0.0,0.0,0.0,0.0
ray_gpis,Bowl,7,5,90,450,0.48949399661835874,0.7088999827853332,0.5490666666666667,5.698765589161256,10,0.022222222222222223,0.5061517622350812,1.0,0.2,0.2,0.4,0.0,0.0
ray_gpis,Bowl,8,5,90,450,0.702333070157,0.9270961858269405,0.8641,3.309710981524595,27,0.06,0.5150928257391136,1.0,0.4,0.2,0.4,0.0,0.0
ray_gpis,Bowl,9,5,90,450,0.7010962011620198,0.8128450169169585,0.6847,4.587980661719512,18,0.04,0.49693748007446453,1.0,0.6,0.2,0.4,0.0,0.0
ray_gpis,Bowl,10,5,90,450,0.5198887931979064,0.8594023268192532,0.7534666666666666,4.21132796701717,29,0.06444444444444444,0.5395497909442062,1.0,0.6,0.0,0.0,0.0,0.0
ray_gpis,Bowl,11,5,90,450,0.6965086520637966,0.7952291072647685,0.6600666666666667,4.657912415985181,17,0.03777777777777778,0.49707069939598514,1.0,0.0,0.2,0.4,0.0,0.0
ray_gpis,Bowl,12,5,90,450,0.6433216812417135,0.8784627462708887,0.7832666666666667,3.9130875023744354,21,0.04666666666666667,0.5329455374647339,1.0,0.4,0.2,0.0,0.0,0.0
ray_gpis,Bowl,13,5,90,450,0.7115108018328158,0.8420565076424271,0.7272,4.2800656589372466,27,0.06,0.5222618989300898,1.0,0.4,0.8,0.8,0.0,0.0
ray_gpis,Bowl,14,5,90,450,0.38492597577388965,0.38492597577388965,0.23833333333333334,11.039522480585351,0,0.0,0.4892153522130368,1.0,0.6,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,0,5,90,450,0.6718210621812543,0.910497357956093,0.8357,3.9108628179284084,27,0.06,0.581486060909735,1.0,0.2,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,1,5,90,450,0.7954432012052599,0.9749197020433267,0.9510666666666666,2.3878848560026253,43,0.09555555555555556,0.5793461185242877,1.0,0.0,0.2,0.4,0.0,0.0
ray_gpis,Thin_Irregular,2,5,90,450,0.7464456091908935,0.9433271107040964,0.8927333333333334,3.132139636481526,44,0.09777777777777778,0.5733546767974724,1.0,0.0,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,3,5,90,450,0.6896989870921799,0.936735778841042,0.881,3.31767343596975,31,0.06888888888888889,0.5637467050054461,1.0,0.4,0.2,0.4,0.0,0.0
ray_gpis,Thin_Irregular,4,5,90,450,0.7424955215600095,0.9540478348790182,0.9121333333333334,3.1428335861983347,26,0.057777777777777775,0.5691724918396226,1.0,0.4,0.2,0.0,0.0,0.0
ray_gpis,Thin_Irregular,5,5,90,450,0.6208813740593311,0.9446281573207627,0.8950666666666667,3.1341532213594143,31,0.06888888888888889,0.5627027037423906,1.0,0.4,0.2,0.0,0.0,0.0
ray_gpis,Thin_Irregular,6,5,90,450,0.689262270617179,0.938184649689419,0.8835666666666666,3.002687634668013,29,0.06444444444444444,0.5794987907781541,1.0,0.4,0.4,0.8,0.0,0.0
ray_gpis,Thin_Irregular,7,5,90,450,0.6903001067820305,0.9499658738909014,0.9047,3.0689094310219964,32,0.07111111111111111,0.5775090448767636,1.0,0.4,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,8,5,90,450,0.6328442114980307,0.8017255152580285,0.6690666666666667,7.243255453182074,19,0.042222222222222223,0.5889038731342698,1.0,0.6,0.4,0.6,0.0,0.0
ray_gpis,Thin_Irregular,9,5,90,450,0.6579629150981373,0.8951090159104302,0.8101333333333334,4.685738426178462,36,0.08,0.5647177368178972,1.0,0.0,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,10,5,90,450,0.6340311092192799,0.8889711873194578,0.8001333333333334,4.293812468968925,26,0.057777777777777775,0.574835840889738,1.0,0.6,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,11,5,90,450,0.6810003066524652,0.9488437281009109,0.9026666666666666,3.0894569515468526,31,0.06888888888888889,0.5662766263150308,1.0,0.4,0.2,0.0,0.0,0.0
ray_gpis,Thin_Irregular,12,5,90,450,0.8271498192683968,0.9777141688816193,0.9564,2.4626172443244907,35,0.07777777777777778,0.5806202610162553,1.0,0.2,0.4,0.8,0.0,0.0
ray_gpis,Thin_Irregular,13,5,90,450,0.7491750629571836,0.9095072790389125,0.8340333333333333,3.8186606309287763,24,0.05333333333333334,0.583656750952033,1.0,0.2,0.0,0.0,0.0,0.0
ray_gpis,Thin_Irregular,14,5,90,450,0.7401319992268341,0.9364719228587635,0.8805333333333333,2.9926403019618557,32,0.07111111111111111,0.5807808189742707,1.0,0.2,0.4,0.8,0.0,0.0
