object,episodes,f@5_auc,f@5_auc_ci95,final_f@5,final_f@5_ci95,final_recall@5,final_recall@5_ci95,final_chamfer_mm,final_chamfer_mm_ci95,accepted_keyframes,accepted_keyframes_ci95,accepted_frame_ratio,accepted_frame_ratio_ci95,mean_visibility_ratio,mean_visibility_ratio_ci95,underrotation_rate,underrotation_rate_ci95,stall_rate,stall_rate_ci95,slip_rate,slip_rate_ci95,persistent_axis_rate,persistent_axis_rate_ci95
Bowl,15,0.6402111988374366,0.053398008883152166,0.8106872091790955,0.0695319353001213,0.6991622222222222,0.08312509341202287,4.758094040868546,0.9665669458275613,20.6,4.284762459382472,0.04577777777777777,0.00952169435418327,0.5114038598856867,0.009097177195160436,1.0,0.0,0.28,0.12571968819560442,0.2,0.10820227970488114,0.26666666666666666,0.14650657929860278
Thin_Irregular,15,0.704576237107231,0.03063809533720146,0.9273766188461853,0.02190279584728879,0.8672622222222224,0.03599900480314406,3.5788884064481,0.6022494340218219,31.066666666666666,3.36487054398498,0.06903703703703704,0.007477490097744401,0.5751072333715579,0.004095634316545494,1.0,0.0,0.29333333333333333,0.10024538781299505,0.17333333333333334,0.0843931540140813,0.2533333333333333,0.17306728299838892
All added objects,30,0.6723937179723338,0.03243512497847543,0.8690319140126407,0.04163808171167062,0.7832122222222221,0.05400465342498201,4.168491223658323,0.5992568211259228,25.833333333333332,3.285200297724415,0.0574074074074074,0.007300445106054255,0.5432555466286222,0.012586457176312972,1.0,0.0,0.28666666666666657,0.07903573661854016,0.18666666666666668,0.06759221429240347,0.26,0.11143050615136514
