time_s,nf_precision_tau5mm,nf_recall_tau5mm,nf_fscore_tau5mm
0.0,0.6224489795918368,0.44438775510204087,0.5185586424833116
0.1,0.6251156462585034,0.4452544217687075,0.5200734095010012
0.2,0.6273650793650793,0.4460897959183674,0.5214213776534767
0.30000000000000004,0.6291428571428572,0.44688979591836736,0.5225817673300324
0.4,0.6286556527372854,0.446044703595724,0.5218357328638922
0.5,0.627891156462585,0.4450923226433431,0.5209204771159321
0.6000000000000001,0.626938775510204,0.44413994169096216,0.519940404878081
0.7000000000000001,0.6264878522837706,0.4436890184645287,0.5194763362912838
0.8,0.6264373177842566,0.4436384839650146,0.519424327224106
0.9,0.6270087463556852,0.44420991253644315,0.5200124135371036
1.0,0.6300680272108843,0.4466472303206997,0.5227345615054524
1.1,0.6327619047619047,0.4493955296404276,0.5255434413219929
1.2000000000000002,0.6331428571428571,0.4518717201166181,0.5273649915296788
1.3,0.6338114674441205,0.4552108843537415,0.5298658523721481
1.4000000000000001,0.6350437317784257,0.4592147716229349,0.5330028710514693
1.5,0.6379008746355685,0.46454810495626825,0.5375952042747866
1.6,0.6408901846452867,0.4701457725947522,0.5423979463018485
1.7000000000000002,0.643751214771623,0.4758289601554908,0.5471970256528675
1.8,0.6456559766763849,0.4813527696793003,0.5515277381162799
1.9000000000000001,0.6470787172011662,0.48651506316812443,0.5554256703730408
2.0,0.6482798833819242,0.49172011661807585,0.5592495782071711
2.1,0.64999416909621,0.49914868804664725,0.5646708491347733
2.2,0.6514907677356657,0.5060330417881439,0.5696225890074523
2.3000000000000003,0.6528318756073859,0.5125014577259476,0.5742173128346243
2.4000000000000004,0.6543556851311954,0.5187871720116619,0.5787382721936629
2.5,0.6559766763848396,0.525655976676385,0.5836298773851174
2.6,0.6576909620991254,0.5330845481049563,0.5888681552894945
2.7,0.6610845481049562,0.5412594752186589,0.5952011543181169
2.8000000000000003,0.6655393586005831,0.550390670553936,0.6025127182913009
2.9000000000000004,0.6712536443148689,0.5606763848396502,0.6110023416795763
3.0,0.6771428571428572,0.5711370262390671,0.6196388528027731
3.1,0.682530612244898,0.5805053449951411,0.627397289754231
3.2,0.6871020408163266,0.5881243926141886,0.6337721043236267
3.3000000000000003,0.6928163265306124,0.5970495626822158,0.6413778175124077
3.4000000000000004,0.6989698736637514,0.60644120505345,0.64942628275
3.5,0.7056365403304179,0.6163459669582119,0.657975779625131
3.6,0.7115451895043732,0.6250379008746355,0.6654920513267879
3.7,0.7166025267249757,0.6330651117589893,0.672248552749435
3.8000000000000003,0.719840621963071,0.6401127308066084,0.6776396337316523
3.9000000000000004,0.7218192419825074,0.6457609329446063,0.6816750861484188
