planner,paired_scenes,missing_patch_recall@5,missing_patch_recall@5_ci95,selected_f@5_gain,selected_f@5_gain_ci95,selected_recall@5_gain,selected_recall@5_gain_ci95,chamfer_reduction_mm,chamfer_reduction_mm_ci95,score_gain_correlation,score_gain_correlation_ci95,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_action_accuracy,oracle_action_accuracy_ci95,point_weighted_missing_patch_recall@5
pose_novelty,64,0.2827304697197831,0.0758756664936899,0.18161690978892375,0.014525673664068126,0.23175052083333333,0.019110617059880212,4.242470462486381,0.5332042383551462,0.4765625,0.14383817494989523,0.024303116657252787,0.00961741743303234,0.53125,0.1232270093499527,0.2763361735089078
ray_gpis_novelty_only,64,0.5066171075257776,0.09714887620655943,0.18847272794923714,0.014370997183138046,0.24208593750000001,0.019109018213406336,4.480038125620922,0.5377144625610115,0.5625,0.14229029403925547,0.017447298496939424,0.008839678378885395,0.6875,0.1144582650770334,0.5774593338497289
ray_gpis_uncertainty_only,64,0.5030137166872032,0.09626281529780001,0.18737892350105015,0.014145487863024985,0.23957708333333333,0.018429066343774465,4.498543279623846,0.5315078379868183,0.6294561200262715,0.11897169427649079,0.018541102945126404,0.009196941595122188,0.671875,0.11594437872675559,0.5768138394009812
ray_gpis_pointwise,64,0.5403687841622593,0.09802270854713735,0.19084307571465298,0.012988045008524901,0.24470208333333335,0.01719400446360878,4.546600994217442,0.5097444995866087,0.59375,0.13432508762947695,0.015076950731523564,0.007736255660670979,0.703125,0.11282072338449174,0.6160599018848438
ray_gpis_hit_only,64,0.48331949669466095,0.09555849381186834,0.18274990388855633,0.015143667377325339,0.23380208333333333,0.019792990100333065,4.314262103434885,0.5495407550746312,0.5390625,0.13508489004089655,0.02317012255762023,0.010620863135082838,0.609375,0.12047810572188349,0.49619158275238834
ray_gpis,64,0.5066171075257776,0.09714887620655943,0.18847272794923714,0.014370997183138046,0.24208593750000001,0.019109018213406336,4.480038125620922,0.5377144625610115,0.5625,0.14229029403925547,0.017447298496939424,0.008839678378885395,0.6875,0.1144582650770334,0.5774593338497289
