object,initial_pose_seed,target_point_count,planner,selected_action,missing_patch_recall@5,selected_f@5_gain,selected_recall@5_gain,chamfer_reduction_mm,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy
Bowl,15,217,pose_novelty,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,15,217,ray_gpis_novelty_only,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,15,217,ray_gpis_uncertainty_only,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,15,217,ray_gpis_pointwise,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,15,217,ray_gpis_hit_only,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,15,217,ray_gpis,minus_x,0.7603686635944701,0.16650704358669632,0.1847333333333333,2.8835837729275227,0.5,0.0,1.0
Bowl,16,390,pose_novelty,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,0.5,0.011169364617481081,0.0
Bowl,16,390,ray_gpis_novelty_only,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,-0.5,0.011169364617481081,0.0
Bowl,16,390,ray_gpis_uncertainty_only,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,-0.8660254037844387,0.011169364617481081,0.0
Bowl,16,390,ray_gpis_pointwise,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,-0.5,0.011169364617481081,0.0
Bowl,16,390,ray_gpis_hit_only,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,-0.5,0.011169364617481081,0.0
Bowl,16,390,ray_gpis,minus_x,0.015384615384615385,0.18654437443754923,0.23846666666666666,1.9292733632028103,-0.5,0.011169364617481081,0.0
Bowl,17,282,pose_novelty,minus_x,0.05673758865248227,0.11946601017901759,0.1326,2.8487546369433403,-1.0,0.04683087475653058,0.0
Bowl,17,282,ray_gpis_novelty_only,plus_z,0.9148936170212766,0.16629688493554817,0.19156666666666672,3.2041212543845177,0.5,0.0,1.0
Bowl,17,282,ray_gpis_uncertainty_only,plus_z,0.9148936170212766,0.16629688493554817,0.19156666666666672,3.2041212543845177,0.5,0.0,1.0
Bowl,17,282,ray_gpis_pointwise,plus_z,0.9148936170212766,0.16629688493554817,0.19156666666666672,3.2041212543845177,0.5,0.0,1.0
Bowl,17,282,ray_gpis_hit_only,plus_z,0.9148936170212766,0.16629688493554817,0.19156666666666672,3.2041212543845177,1.0,0.0,1.0
Bowl,17,282,ray_gpis,plus_z,0.9148936170212766,0.16629688493554817,0.19156666666666672,3.2041212543845177,0.5,0.0,1.0
Bowl,18,469,pose_novelty,minus_x,0.2601279317697228,0.17904492745244083,0.25270000000000004,2.064760774374008,1.0,0.0,1.0
Bowl,18,469,ray_gpis_novelty_only,minus_x,0.2601279317697228,0.17904492745244083,0.25270000000000004,2.064760774374008,1.0,0.0,1.0
