frame_id,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
30,0.0037374663638880578,0.023724488354285058,0.0007681832662213316,0.019987021990397,0.2532555274949083,0.4420699748564923,0.5857036282527881,0.43515,0.7385,0.9141,0.1786,0.31545,0.4309,0.002663384327545147,0.022309756142902065,0.0006929047251576063,0.01964637181535692,0.1399868885148862,0.36761393654589436,0.5875787063537493,0.9198892348450857,17.956002408410956,0.5386996904024768,0.848297213622291,1.0,0.08044579533941236,0.23465045592705167,0.4160081053698075,1.5
40,0.0017264904786330562,0.04006658689348981,0.0018728853161782677,0.03834009641485676,0.07398958208955224,0.13936180109777654,0.21037090063084427,0.6307,1.0,1.0,0.0393,0.0749,0.11755,0.002455339242646436,0.04290484061034513,0.0020270574538723478,0.04044950136769869,0.03489973978264197,0.07864512361300369,0.13984168865435356,0.929671508752347,18.735482832872336,0.40425531914893614,1.0,1.0,0.0182370820668693,0.04093211752786221,0.075177304964539,2.0
60,0.00819333052690798,0.027178780707960003,0.0006121621358930265,0.01898545018105202,0.1249055967633176,0.238468321299639,0.3579197778394891,0.29125,0.5091,0.65385,0.0795,0.1557,0.2464,0.002213447368308752,0.034114359104104014,0.0014420832039771358,0.03190091173579526,0.11718910059414055,0.23723773491710823,0.3299492385786802,0.8890573305500062,21.978389283156606,0.5314009661835749,0.9694041867954911,1.0,0.06585612968591692,0.13515704154002026,0.19756838905775076,3.0
80,0.004707463944772586,0.020496062501865857,0.0005396851929063602,0.01578859855709327,0.32512652758132954,0.5022439186691313,0.6175253234750461,0.45365,0.6858,0.8358,0.25335,0.3962,0.48965,0.0024933518489508493,0.015234432887289304,0.00037109018003687226,0.012741081038338454,0.3529867656908812,0.6393638323824938,0.7398582803660587,0.7682292970184633,34.32242443092545,0.48455598455598453,0.9263191763191764,0.9996782496782497,0.27760891590678827,0.48814589665653496,0.5872340425531914,4.0
90,0.0049849168299267626,0.01688528533247138,0.00035251449310885524,0.011900368502544617,0.36439443932613846,0.5595518843572536,0.6738352839497281,0.45665,0.693,0.8132,0.30315,0.4692,0.57525,0.00248587397942773,0.012305498958596731,0.00024292791059067666,0.009819624979169002,0.40956056058580714,0.7162724850099933,0.8014981467756545,0.7851788387661678,32.797987609273555,0.47167034584253126,0.9337748344370861,0.9960755457444199,0.3619047619047619,0.580952380952381,0.670516717325228,4.5
100,0.005002037009806329,0.016901282561245422,0.0003566559970112977,0.011899245551439092,0.37412782658885396,0.5608191256125871,0.67444826256218,0.46805,0.69135,0.80865,0.3116,0.47175,0.57845,0.0024924352317456824,0.011902317623866667,0.00022601717887559615,0.009409882392120985,0.4175833112469877,0.7251031570225895,0.808504749332043,0.795759885661339,31.77124931485389,0.46441523118767,0.9351767905711695,0.9963735267452403,0.37933130699088147,0.59209726443769,0.6802431610942249,5.0
120,0.005004125861962606,0.013055689512926561,0.00022814613155283973,0.008051563650963956,0.43563491955585765,0.6474900309976656,0.7596524372278785,0.4913,0.71475,0.8191,0.3913,0.5918,0.70825,0.00247921205051315,0.008103767105037286,0.00010106537504306282,0.005624555054524135,0.4805110487629559,0.8196945391497996,0.8965901809756248,0.8005465195624396,31.235355557689207,0.4719748559455212,0.9317269076305221,0.9975554391478959,0.48936170212765956,0.7317122593718338,0.8141843971631205,6.0
140,0.0019636415638987826,0.004095899558069738,1.4835983969673931e-05,0.002132257994170955,0.6076844772316291,0.9232746717205901,0.9985248191081846,0.62765,0.933,0.9981,0.58895,0.91375,0.99895,0.002871824129012878,0.0048815820209489845,1.8210260187697915e-05,0.0020097578919361066,0.49818315685448417,0.9146374008054056,0.9959990642489098,0.7934640008974733,31.950471570171544,0.414004914004914,0.8748157248157248,0.9926289926289926,0.6253292806484296,0.9582573454913881,0.9993920972644377,7.0
150,0.002034912069352457,0.004180406048680533,1.6325694770971474e-05,0.0021454939793280753,0.6113630583139227,0.9164806579198604,0.9934216473312026,0.62765,0.9229,0.9916,0.5959,0.91015,0.99525,0.00297681657258939,0.004887290816029597,1.9089781999528828e-05,0.0019104742434402067,0.5075538016207404,0.908589845221686,0.9907296818883414,0.7982379581607939,31.48441200443255,0.412562699498404,0.8590971272229823,0.9822161422708618,0.6593718338399189,0.9641337386018237,0.9993920972644377,7.5
160,0.0021384380372423493,0.004355086693851325,1.8007224141563615e-05,0.002216648656608976,0.589542762098483,0.910898372533414,0.9881613327598856,0.60545,0.91585,0.9845,0.57445,0.906,0.99185,0.0030709915356307276,0.00497150644095378,2.0342912160666064e-05,0.0019005149053230525,0.5025312649489426,0.9045790442131498,0.9862364569463673,0.801595590682656,31.16934569920204,0.40558347292015634,0.8514796203238414,0.9734226689000558,0.6603850050658562,0.964741641337386,0.9993920972644377,8.0
