frame_id,nksr_path,nksr_vs_gt_fscore@0mm,nksr_vs_gt_fscore@10mm,nksr_vs_gt_fscore@1mm,nksr_vs_gt_fscore@2mm,nksr_vs_gt_fscore@3mm,nksr_vs_gt_fscore@4mm,nksr_vs_gt_fscore@5mm,nksr_vs_gt_fscore@6mm,nksr_vs_gt_fscore@7mm,nksr_vs_gt_fscore@8mm,nksr_vs_gt_fscore@9mm,time_s
40,,0,0,0,0,0,0,0,0,0,0,0,2.0
60,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000060_xyz_normal_nksr_detail0.5.ply,0.0,0.4218352760020531,0.14358203125000002,0.2312461899179367,0.2733563156477242,0.30031036922122245,0.32146373703638603,0.34468501413760605,0.3677107864338836,0.3864705748636088,0.4041763779527559,3.0
80,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000080_xyz_normal_nksr_detail0.5.ply,0.0,0.6094342339522916,0.19188633288227333,0.331533477541672,0.41360884657344044,0.4569525631897472,0.49047671975045154,0.5184281023172767,0.5435120840173109,0.5673526799276672,0.58973184661601,4.0
100,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000100_xyz_normal_nksr_detail0.5.ply,0.0,0.6852484880357613,0.17854379779650031,0.3545226405363589,0.4560302460561564,0.5239867478025693,0.5714367410066449,0.6070912204345189,0.6313482544501173,0.6512835466981929,0.6694165391524184,5.0
120,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000120_xyz_normal_nksr_detail0.5.ply,0.0,0.6544219060113701,0.17990959632584,0.3134781245626312,0.39785871554575525,0.4445095629769101,0.49200039091999465,0.5292326483924997,0.55979433063548,0.5916322222222222,0.6281971054087703,6.0
140,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000140_xyz_normal_nksr_detail0.5.ply,0.0,0.7757600061321479,0.19155240223463688,0.36697398268957504,0.4823452924463603,0.546291849435598,0.5915043009473977,0.6275788533834585,0.6700778080640022,0.714056048226385,0.7484735975377586,7.0
160,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000160_xyz_normal_nksr_detail0.5.ply,0.0,0.818450579115913,0.16913579885981583,0.37399311956808007,0.511045428818112,0.559093982570806,0.5973802208548958,0.6425022847367421,0.6885276887464388,0.7361763355981881,0.7849612060897236,8.0
180,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000180_xyz_normal_nksr_detail0.5.ply,0.0,0.9053220323070551,0.2659915498223967,0.4603740975609756,0.5752137637398445,0.6422028105414769,0.6824387694561435,0.7198494495954441,0.7874997428571429,0.8492766837395503,0.8773556062117109,9.0
200,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000200_xyz_normal_nksr_detail0.5.ply,0.0,0.9007575522205886,0.2341274061469744,0.4559021001968935,0.5811561170555627,0.6453521336741016,0.6922398050189564,0.7351635140186915,0.7901269291537636,0.8352219499073466,0.8691632082519251,10.0
220,/home/ferry/data/Code2/Research/Inhand_Activate/reconstruction/offline/result/offline_tracking/cube_obj_01/003_ICP/mesh_nksr/recon_0_000220_xyz_normal_nksr_detail0.5.ply,0.0,0.8985545826263526,0.29631883863388436,0.5091044941072913,0.6128831929696082,0.6685982821077792,0.730221298292441,0.8013262962732146,0.8409135767289997,0.8597168985044286,0.8786548545759532,11.0
