tau_mm,fscore,precision,recall
0.0,0.09409090909090909,,
0.5,0.23036931818181816,,
1.0,0.33703787878787883,,
1.5,0.4177859848484849,,
2.0,0.4917727272727273,,
2.5,0.5537405303030303,,
3.0,0.6071212121212122,,
3.5,0.6527348484848485,,
4.0,0.6926818181818183,,
4.5,0.7285170454545455,,
5.0,0.7566287878787878,,
5.5,0.7819545454545456,,
6.0,0.8010454545454546,,
6.5,0.8181250000000001,,
7.0,0.831844696969697,,
7.5,0.8437405303030303,,
8.0,0.8548636363636364,,
8.5,0.8635965909090911,,
9.0,0.8717613636363635,,
9.5,0.8788712121212122,,
10.0,0.884128787878788,,
10.5,0.8899166666666669,,
11.0,0.8944507575757573,,
11.5,0.9006193181818182,,
12.0,0.905318181818182,,
12.5,0.9073011363636363,,
13.0,0.9124545454545455,,
13.5,0.9141022727272727,,
14.0,0.919166666666667,,
14.5,0.9201155303030303,,
15.0,0.9245454545454547,,
15.5,0.9264337121212123,,
16.0,0.9289545454545455,,
16.5,0.9304753787878786,,
17.0,0.9327992424242425,,
17.5,0.9358143939393939,,
18.0,0.9365984848484852,,
18.5,0.9405795454545456,,
19.0,0.941935606060606,,
19.5,0.9438295454545453,,
20.0,0.6865151515151516,,
