planner,paired_scenes,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n
pose_novelty,120,0.10282702081223305,0.002842079316449743,120,0.11181785193409892,0.003057283244108166,120,0.5016666666666667,0.045393837939480465,120,1.0,0.0,120,0.008990831121865876,0.0017854843700864003,120,0.6616666666666666,0.036172112177012904,120,0.030000000000000002,0.018352453487738576,120,-0.04549180301677162,0.02329325191417142,120,0.65625,0.03334377900057544,120
ray_gpis,120,0.10262973150216786,0.0031382623110928183,120,0.11452637817021137,0.0032109754089276552,120,0.43083333333333335,0.06531119723033815,120,1.0,0.0,120,0.011896646668043504,0.0030561080585784833,120,0.6349999999999999,0.04489725962203737,120,0.029999999999999995,0.017756434900963566,120,0.4894659157819542,0.03239139155680923,120,0.6333333333333333,0.045636171297765045,120
