planner,object,initial_pose_seed,planner_seed,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s,gain_consistency_max_abs_error,coverage_recall_max_abs_error,visibility_monotonic_min_delta
pose_novelty,green_Pepper,8,0,0.7313333333333333,0.7451475407980166,7.737618127698047,0.1436413738860487,0.08495309844651086,0.46924,0.5735706834266153,0.5352823356432247,0.12138433272137228,0.023661886367903527,0.10705646712864494,0.15529918072419063,0.1,1.0,0.048242713595545696,0.6,0.0,0.06617022524963088,1.0,2.030440082307905e-05,0.00022888919920660555,0.0002491936000296846,0.0,0.0,0.02090285295991054
pose_novelty,green_Pepper,13,0,0.8088333333333333,0.8445379436309396,5.958668790181398,0.14347010039537653,0.0843234381708275,0.60057,0.7155318590193317,0.516592341134005,0.12135151384748821,0.0236593362671808,0.10331846822680102,0.11345515682510218,0.7,1.0,0.010136688598301191,0.6,0.0,0.15874174069059105,0.75,1.76845962414518e-05,0.00018551279790699483,0.00020319739414844661,0.0,0.0,0.022234482356806515
pose_novelty,green_Pepper,4,0,0.8576666666666667,0.9180538420048607,5.35130819752982,0.14172884439057945,0.08590708749084253,0.6729966666666666,0.7863072617725335,0.47833587878937533,0.11883543436293241,0.023149597601960344,0.09566717575787506,0.10077397847938478,0.5,1.0,0.005106802721509718,0.8,0.0,-0.11163289220303978,0.5,2.6427002740092576e-05,0.00028672399930655955,0.00031315100204665214,0.0,0.0,0.020176467165755954
pose_novelty,green_Pepper,1,0,0.7085666666666667,0.7167470301293842,9.000461237386787,0.14663970007626828,0.08916129391598984,0.45129333333333327,0.5052113422020963,0.6416994216084376,0.12377102532369012,0.024108145780299,0.12833988432168753,0.15888249491119844,0.3,1.0,0.0305426105895109,0.4,0.0,-0.2511390102298822,0.5,1.8262601224705576e-05,0.00033240859920624644,0.000350671200430952,0.0,0.0,0.020294228719330648
pose_novelty,green_Pepper,12,0,0.9212333333333333,0.9590020299460417,4.203932590984526,0.1495727176310271,0.0892193501709064,0.6627633333333334,0.7763187150005832,0.5166344286999358,0.12656736849293046,0.024646741910320766,0.10332688573998716,0.10332688573998716,0.7,1.0,0.0,1.0,0.0,-0.04299695818517422,0.75,1.8836001981981098e-05,0.00032059179793577643,0.0003394277999177575,0.0,0.0,0.023443375314338766
pose_novelty,green_Pepper,7,0,0.857,0.918623539942316,4.915912343156723,0.14877800077006822,0.08967300523399623,0.5631733333333333,0.698615528035963,0.58807565379403,0.124423179707245,0.024192451267847373,0.117615130758806,0.1358222024472105,0.5,1.0,0.018207071688404474,0.6,0.0,0.11379796172763508,0.5,1.9975402392446994e-05,0.00018946280179079621,0.00020943820418324323,0.0,0.0,0.022999612952483595
pose_novelty,green_Pepper,14,0,0.8321,0.8934874289331627,5.589339047610201,0.14709641277825458,0.08971577675510739,0.6384133333333334,0.7416039057791289,0.6023871593430863,0.1234429532411825,0.024022381207465127,0.12047743186861723,0.12582502601179896,0.7,1.0,0.005347594143181733,0.6,0.0,-0.003450625300660065,0.75,1.8937801360152662e-05,0.00025345099857077,0.0002723887999309227,0.0,0.0,0.02138146385546133
pose_novelty,green_Pepper,2,0,0.7617,0.8335229124284049,6.281860583973946,0.14762838188184288,0.08750638269240851,0.5774533333333333,0.6996581554406827,0.3972853247925531,0.1260563332134135,0.024588962606761914,0.07945706495851061,0.082258053034589,0.7,1.0,0.0028009880760783814,0.6,0.0,-0.04059952594188838,0.5,2.3452399182133378e-05,0.0002798359957523644,0.0003032883949344978,0.0,0.0,0.023328205224936283
pose_novelty,green_Pepper,6,0,0.5633,0.6911095907787452,9.712972048984858,0.13761340443030223,0.08430186113488472,0.4627133333333333,0.5988229734303582,0.3409569798952519,0.11540835955448092,0.02250227511676381,0.06819139597905038,0.11448947277520923,0.2,1.0,0.04629807679615883,0.2,0.0,-0.08804678786107048,0.5,2.629839873407036e-05,0.00029155640222597865,0.00031785480096004905,0.0,0.0,0.01861655949906682
pose_novelty,green_Pepper,3,0,0.8822333333333333,0.9323946897847335,4.700043075845243,0.14897092345472826,0.09042133741430358,0.7026833333333333,0.8031789502491764,0.540456439355917,0.12481513984237964,0.0242740289588188,0.10809128787118341,0.10877207610343731,0.8,1.0,0.0006807882322539038,0.8,0.0,-0.04017304828250141,0.75,1.9325799075886608e-05,0.0001929060003021732,0.0002122317993780598,0.0,0.0,0.019799440656826914
pose_novelty,green_Pepper,9,0,0.8679,0.9278768265083972,4.792611570049388,0.14638641845706404,0.08681991365825581,0.6732233333333333,0.7844710057017494,0.4938840301415339,0.1256012848965033,0.02452312904741827,0.09877680602830678,0.10648909800823929,0.4,1.0,0.007712291979932506,0.6,0.0,0.09094979194513644,0.75,1.833659771364182e-05,0.00022946419776417314,0.00024780079547781497,0.0,0.0,0.02212536304299051
pose_novelty,green_Pepper,10,0,0.8410666666666666,0.9136732329084588,4.779503395203894,0.14475902545920763,0.08553922847504289,0.6254366666666668,0.7498486537306969,0.5393810932059633,0.1235379423303161,0.024109363153096655,0.10787621864119268,0.11169631328387578,0.6,1.0,0.0038200946426831138,0.6,0.0,-0.1847852934462455,1.0,1.8105999333783985e-05,0.00018818480020854622,0.00020629079954233022,0.0,0.0,0.022721054816971634
pose_novelty,green_Pepper,5,0,0.9083666666666667,0.9432845003327858,4.768121201009867,0.14461385270363636,0.08822909178096203,0.6342066666666667,0.7450463497009139,0.5817068232481026,0.12255086519115271,0.023893877893339778,0.11634136464962053,0.11634136464962053,0.9,1.0,0.0,1.0,0.0,0.08122126266178732,0.5,2.0282203331589697e-05,0.00021030559728387743,0.00023058780061546713,0.0,0.0,0.018706496069561096
pose_novelty,green_Pepper,11,0,0.8864333333333333,0.9370842787484774,4.660856887007529,0.14733157437743724,0.0904194001975214,0.6086866666666667,0.7251124453626373,0.6299178794484921,0.12399782191662793,0.024138987376859114,0.1259835758896984,0.1259835758896984,0.8,1.0,0.0,1.0,0.0,-0.06440044023012588,1.0,2.639680169522762e-05,0.00023202880111057312,0.0002584256028058007,0.0,0.0,0.020111013002663658
