planner,object,initial_pose_seed,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,mean_action_execution_error_deg
pose_novelty,Bowl,0,0.6306689863944175,3.9158656198620734,2.9704981774229657,24.82253509582511
pose_novelty,Bowl,1,0.6303174188724588,5.982639675603771,3.0379251137176264,21.16029243002576
pose_novelty,Bowl,2,0.565930553329517,6.910870833033737,4.490126109649918,28.9981459435663
pose_novelty,Bowl,3,0.5743386646108387,5.401795735349871,1.848301332513611,22.02484207806512
pose_novelty,Bowl,4,0.5801495120932899,9.45940286644929,6.593867860179854,35.9044996917782
pose_novelty,Bowl,5,0.5306193238638829,5.111998818913531,3.169140047300581,40.63852312952557
pose_novelty,Bowl,6,0.5787227364217079,9.960321104873458,3.881346296656976,28.651613382867275
pose_novelty,Bowl,7,0.5386180694095107,7.124508075049828,3.8521049863057177,15.453500641009427
pose_novelty,Bowl,8,0.5721691902742797,5.095721280393554,3.426384959780799,12.950201476431724
pose_novelty,Bowl,9,0.5471790013757428,9.172790490260354,7.183925740239287,45.9691223275284
pose_novelty,Bowl,10,0.5219586635235666,3.672934360975192,2.597463538094596,17.9398543398134
pose_novelty,Bowl,11,0.5622423713084695,5.338274683407356,3.1063939496310233,33.04193440417713
pose_novelty,Bowl,12,0.5271303871620472,4.446177014981374,2.3178726012445905,22.19036805088754
pose_novelty,Bowl,13,0.5693734081016562,5.508076958729613,4.158383411261293,48.461642823822274
pose_novelty,Bowl,14,0.5874702189159194,4.606138107494131,2.9257987518558606,35.81956968340737
pose_novelty,Corner,0,0.5722848969399006,5.335589627820288,2.589153144075201,28.052281540811276
pose_novelty,Corner,1,0.5949000114628639,5.725096595874878,2.226990525739131,52.51311365059039
pose_novelty,Corner,2,0.5620354243845954,4.286247207383407,2.992943912932953,46.7979442622845
pose_novelty,Corner,3,0.589963264823031,7.961652115302162,6.365466702934722,11.81161623322097
pose_novelty,Corner,4,0.6187295922843884,12.089342013631901,2.9106055509087585,37.10161049805485
pose_novelty,Corner,5,0.5899599187335015,6.509365804426177,3.0156166202638266,39.52061055779757
pose_novelty,Corner,6,0.5706293251071998,5.626078151076636,3.236727043877403,18.364531613683553
pose_novelty,Corner,7,0.6486533906592211,4.8068895587350875,2.0833625124214286,15.413940015549008
