planner,paired_scenes,f@5_auc,f@5_auc_ci95,final_f@5,final_f@5_ci95,score_gain_correlation,score_gain_correlation_ci95,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_action_accuracy,oracle_action_accuracy_ci95,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,action_repetition_rate,action_repetition_rate_ci95,planning_time_s,planning_time_s_ci95
er_gpis,120,0.7087802712847543,0.012229301786302087,0.8690143433407419,0.011112671424731439,0.3575,0.05200501295595473,0.014384044486164971,0.002986615302832877,0.6083333333333333,0.03751560895191067,0.5422553200793879,0.02125388413707783,0.5645833333333333,0.04472910930204455,0.09840957671842868,0.002095015871788656
pose_novelty,120,0.7193137653873735,0.011451123388974123,0.8794036012374311,0.01101407058862842,0.5016666666666667,0.045393837939480465,0.008990831121865876,0.0017854843700864003,0.6616666666666666,0.036172112177012904,-0.04549180301677162,0.02329325191417142,0.65625,0.03334377900057544,0.00027253124976899315,8.727056668418913e-06
ray_gpis,120,0.7158607136918232,0.012236740328703734,0.8784171546871052,0.012387137779189114,0.43083333333333335,0.06531119723033815,0.011896646668043504,0.0030561080585784833,0.6349999999999999,0.04489725962203737,0.4894659157819542,0.03239139155680923,0.6333333333333333,0.045636171297765045,0.13642635707200196,0.012929604829947866
ray_gpis_hit_only,120,0.7082205446315332,0.011067785726751576,0.883636804407685,0.009923213725247036,0.47894337567297407,0.05144398578268531,0.01544628457455394,0.0029497280669835125,0.6183333333333334,0.040174967005041945,0.40602738929915483,0.026044468981777254,0.5291666666666667,0.0482333821157795,0.17460491611159037,0.012820317424299678
ray_gpis_novelty_only,120,0.6883761829336594,0.01385361959766733,0.8602200791414009,0.01353264485526587,0.3991596638655463,0.06677500292704247,0.02202069526635344,0.004236838508532407,0.5483333333333333,0.0436413697118548,0.39352488178307976,0.034653735340203724,0.5854166666666667,0.04161338259636089,0.1389611311411621,0.01277027769506827
ray_gpis_pointwise,120,0.7158458051986785,0.012154440825949919,0.8789248500335455,0.012358009015000185,0.42833333333333334,0.06606424482611184,0.011840675018373865,0.003031178989169597,0.625,0.04535035724182098,0.33015622517042226,0.029344856055781323,0.6145833333333334,0.045622353088230656,0.13502963554545808,0.013221489848017654
ray_gpis_uncertainty_only,120,0.7137386060634332,0.01222507454835649,0.8768535248119631,0.012485702592871456,0.4442641406610783,0.06380069963440134,0.01259256291104516,0.0032319643629649124,0.62,0.043121497300207055,0.5818768648236082,0.029260671935803492,0.59375,0.04456592110042619,0.13661201081311444,0.01307556713911893
