planner,episodes,mean_visibility_ratio,mean_visibility_ratio_ci95,mean_pose_error_deg,mean_pose_error_deg_ci95,mean_translation_error_mm,mean_translation_error_mm_ci95,mean_action_execution_error_deg,mean_action_execution_error_deg_ci95
ray_gpis_novelty_only,120,0.573355373431928,0.00786386701483691,6.5889331829960645,0.46433122878443817,3.35356063526051,0.22006443448462742,32.434117276074325,1.8721760944951242
ray_gpis_uncertainty_only,120,0.575665865121357,0.007327395666121492,6.504176162912611,0.4458080761727137,3.3577307489090438,0.23295895880575304,34.36371506561315,1.9982256498995281
ray_gpis_pointwise,120,0.5784595120355078,0.0070408689730353914,6.442933480606445,0.44631015492192183,3.319506658456962,0.22199009167101555,34.475224352476815,1.9747592156577398
ray_gpis_hit_only,120,0.5821032696254889,0.007153059993593322,6.379330331283728,0.4184394666069582,3.3115486677992285,0.22317394582900094,33.324386888395416,1.8169679554813727
ray_gpis,120,0.5764843113869074,0.007247671700724032,6.369427045190245,0.4485785800327083,3.3021277080027915,0.21971072444856327,34.41817163677806,1.949726261834517
