planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
ray_gpis,Bowl,15,0.8065560849227793,0.7035804444444445,0.88888599622301,0.2774987107903628,-0.16666666666666666,0.04670204683430073,0.7792671258678567
ray_gpis,Corner,15,0.9113535056390901,0.8577348888888889,0.9925152193493367,0.04839558813825571,0.52,0.001283360741524772,0.18809601373817433
ray_gpis,Cross,15,0.9020712732320815,0.843254888888889,0.9879987529983544,0.07722086956129554,0.42666666666666675,0.002353530186650053,0.2521398708189023
ray_gpis,Cube,15,0.9142928587260788,0.8637906666666667,0.9940170509079381,0.08925536583746228,0.3266666666666666,0.0014869147131482024,0.21960125795255775
ray_gpis,Cylinder,15,0.90984953348504,0.857831111111111,0.9968428380143943,0.15526436621101697,0.6214273441009184,0.0005331005223263604,0.21229626173433908
ray_gpis,L_Shaped,15,0.9007812109378981,0.8424964444444445,0.9903103937752914,0.08754692564817372,0.4648803387171259,0.004797091505261154,0.27369366675252577
ray_gpis,Thin_Irregular,15,0.8947459062834039,0.8355553333333333,0.9902388942496397,0.8848976639306502,0.5,0.0019828696710713655,0.2867878215086806
ray_gpis,green_Pepper,15,0.9063388878978337,0.8505044444444446,0.9937763031291349,0.08646050721224921,0.56,0.0013046425520873404,0.296425844363159
ray_gpis_hit_only,Bowl,15,0.8003788377880495,0.69429,0.9189543618902237,0.2836346709281593,-0.05333333333333333,0.04943179649542832,0.5566482606333791
ray_gpis_hit_only,Corner,15,0.8889538096875995,0.8242448888888888,0.992182936455755,0.04810627902441973,0.5733333333333331,0.012201972304531834,0.2582500507128633
ray_gpis_hit_only,Cross,15,0.8791249084491807,0.8062902222222222,0.9854482387137306,0.07567313993845674,0.46,0.012904514885323412,0.31479548952757835
ray_gpis_hit_only,Cube,15,0.8975630362992961,0.8396004444444446,0.9926761520539779,0.08809506231825817,0.30666666666666664,0.00857892284267021,0.22900456446176334
ray_gpis_hit_only,Cylinder,15,0.8767058715204582,0.807976,0.9934313117158299,0.14829969147037264,0.545,0.015804487133937856,0.2788889982994768
ray_gpis_hit_only,L_Shaped,15,0.8874992232826486,0.8220733333333334,0.9955450566419581,0.08777626269282619,0.5515470053837925,0.01083187281659804,0.2909335930430949
ray_gpis_hit_only,Thin_Irregular,15,0.8788367641345614,0.8119922222222223,0.9846955045749622,0.856200719148598,0.49999999999999994,0.011372138187980309,0.2852557965699172
ray_gpis_hit_only,green_Pepper,15,0.8862468882001437,0.8193271111111111,0.9938277055484211,0.08581263232385347,0.56,0.014336208594106803,0.335566644694627
ray_gpis_novelty_only,Bowl,15,0.8065560849227793,0.7035804444444445,0.88888599622301,0.2774987107903628,-0.16,0.04670204683430073,0.700135551058726
ray_gpis_novelty_only,Corner,15,0.9059959338434763,0.8495511111111111,0.9928425200337528,0.048073746060371986,0.4848803387171259,0.004752724183585754,0.16922715553437737
ray_gpis_novelty_only,Cross,15,0.8969174223103977,0.836102,0.9886666141080379,0.07724300588237042,0.3983333333333334,0.00586488822081981,0.1380908301225808
ray_gpis_novelty_only,Cube,15,0.9142552351715584,0.8636991111111113,0.9941036280961916,0.08910290950033357,0.35154700538379247,0.0014457079150772647,0.15829528368518406
ray_gpis_novelty_only,Cylinder,15,0.9098069705012136,0.8576337777777777,0.9968390429976242,0.1546370713241312,0.5364273441009184,0.0007373193271086986,0.14589703819369282
ray_gpis_novelty_only,L_Shaped,15,0.8804326526705819,0.8139697777777778,0.9884116908671972,0.08679479180612296,0.41833333333333333,0.016420527168274156,0.209034033027124
ray_gpis_novelty_only,Thin_Irregular,15,0.8948689179348166,0.835762,0.9899102090802051,0.8843353831127913,0.4799999999999999,0.0021891886689105965,0.17709503381409208
ray_gpis_novelty_only,green_Pepper,15,0.9068621035170289,0.8515246666666666,0.9966485042753844,0.08682889092491276,0.5351196612828741,0.0011622083176961976,0.16313659513275763
ray_gpis_pointwise,Bowl,15,0.8087688410529483,0.7063317777777777,0.8940948751268692,0.2809638651015098,-0.12666666666666665,0.04593954055879623,0.578706495782938
ray_gpis_pointwise,Corner,15,0.9109724003174988,0.8574135555555557,0.9940053222787256,0.048252344351355746,0.5982136720504593,0.002292678499145178,0.1255966322491105
ray_gpis_pointwise,Cross,15,0.9025635874797062,0.8441139999999999,0.9892837470124843,0.07699075622060994,0.44666666666666666,0.0019319511419003215,0.13420755152767685
ray_gpis_pointwise,Cube,15,0.9142027458632926,0.8636555555555555,0.9959093043732264,0.08879076098769843,0.42000000000000004,0.001127314541172469,0.12502939876353436
ray_gpis_pointwise,Cylinder,15,0.9097079449620049,0.8572837777777778,0.9951835350761127,0.15570381287474,0.5848803387171259,0.0005264138294036943,0.12165953816643145
ray_gpis_pointwise,L_Shaped,15,0.904187909947098,0.8479244444444445,0.9962918938359656,0.08815252176849124,0.6733333333333335,0.00253349811690327,0.14674787248846408
ray_gpis_pointwise,Thin_Irregular,15,0.891298528444661,0.8307035555555555,0.9904981837856907,0.881266206151801,0.5466666666666666,0.003446039494343426,0.18368325592485665
ray_gpis_pointwise,green_Pepper,15,0.9070703779441768,0.8519431111111113,0.9955303417755856,0.08666771933447229,0.5333333333333333,0.001028040220768965,0.15807666249152488
ray_gpis_uncertainty_only,Bowl,15,0.7907290578667927,0.6803275555555556,0.8877377143520271,0.2755065225025947,-0.13797434948471088,0.054732925486585864,0.8472888257802406
ray_gpis_uncertainty_only,Corner,15,0.9102213399413016,0.8554340000000001,0.9906912756244667,0.04815799335246995,0.48666666666666664,0.0020927250868271094,0.4945779068537929
ray_gpis_uncertainty_only,Cross,15,0.8993814418448073,0.8390679999999998,0.988995758679311,0.07703766835532652,0.4977350269189626,0.003057952772491543,0.49302421760345944
ray_gpis_uncertainty_only,Cube,15,0.9128152650007699,0.8611171111111111,0.9922458587011843,0.08909184290752292,0.2796175443008376,0.0021278259550769527,0.5124490943332097
ray_gpis_uncertainty_only,Cylinder,15,0.9098992209274956,0.8575142222222222,0.9959518370703904,0.15573027498895486,0.6274957043532143,0.0007944938806652206,0.493794122226613
ray_gpis_uncertainty_only,L_Shaped,15,0.8959287862443804,0.8340366666666666,0.9946900613889843,0.0870342298397924,0.6749914087064286,0.006565371825707441,0.5378183082534096
ray_gpis_uncertainty_only,Thin_Irregular,15,0.8884664633329395,0.8253695555555555,0.9891482861212935,0.8787804812465086,0.5447520861406802,0.005587226396318857,0.6111323302756632
ray_gpis_uncertainty_only,green_Pepper,15,0.9057930992512682,0.8495855555555557,0.9923298096044179,0.08628511142277741,0.4684529946162075,0.0015944927473112755,0.487169653146833
