planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
ray_gpis_uncertainty_only,green_Pepper,8,0,0,0.36523333333333335,0.5350489537807945,0.36523333333333335,0.025331942046531053,12.868983621088702
ray_gpis_uncertainty_only,green_Pepper,8,0,1,0.6450666666666667,0.7842437996433782,0.6450666666666667,0.04846884375678051,7.302924983040151
ray_gpis_uncertainty_only,green_Pepper,8,0,2,0.9091666666666667,0.9524225229157574,0.9091666666666667,0.0754020730744319,4.33416372674595
ray_gpis_uncertainty_only,green_Pepper,8,0,3,0.9312,0.9643744821872411,0.9312,0.09665669253683574,4.173341493808208
ray_gpis_uncertainty_only,green_Pepper,8,0,4,0.9456666666666667,0.9720746959054308,0.9456666666666667,0.12117908408299213,3.9689893289390956
ray_gpis_uncertainty_only,green_Pepper,8,0,5,0.9709333333333333,0.985252333919632,0.9709333333333333,0.14437181588300985,3.86107125026199
ray_gpis_uncertainty_only,green_Pepper,13,0,0,0.3591,0.5284379368699874,0.3591,0.025173419059472523,14.995070579845732
ray_gpis_uncertainty_only,green_Pepper,13,0,1,0.6060666666666666,0.7547216802955461,0.6060666666666666,0.04469689866202939,6.606393454491169
ray_gpis_uncertainty_only,green_Pepper,13,0,2,0.8439,0.9153424806117467,0.8439,0.06767936320686024,4.231140401673433
ray_gpis_uncertainty_only,green_Pepper,13,0,3,0.869,0.9299090422685928,0.869,0.08942192676753459,4.124667383807351
ray_gpis_uncertainty_only,green_Pepper,13,0,4,0.9336666666666666,0.965695569729357,0.9336666666666666,0.11352716277244657,3.704165150340706
ray_gpis_uncertainty_only,green_Pepper,13,0,5,0.9729333333333333,0.9862810029059945,0.9729333333333333,0.13592604526903504,3.541738800939102
ray_gpis_uncertainty_only,green_Pepper,4,0,0,0.4482,0.6189752796575059,0.4482,0.025980856380777725,12.612250569430781
ray_gpis_uncertainty_only,green_Pepper,4,0,1,0.6788666666666666,0.8087201683675496,0.6788666666666666,0.04989168163734964,6.2289061868045055
ray_gpis_uncertainty_only,green_Pepper,4,0,2,0.9717666666666667,0.9848035302293819,0.9717666666666667,0.0766312023986491,3.7393841615186805
ray_gpis_uncertainty_only,green_Pepper,4,0,3,0.9808,0.9896291896611205,0.9808,0.09828713692960518,3.728313188172093
ray_gpis_uncertainty_only,green_Pepper,4,0,4,0.9832,0.9904254317338896,0.9832,0.11895786427141378,3.766465244832357
ray_gpis_uncertainty_only,green_Pepper,4,0,5,0.9874,0.9927372862537759,0.9874,0.14265592160428467,3.675648715912057
ray_gpis_uncertainty_only,green_Pepper,1,0,0,0.4439666666666667,0.6149264756804174,0.4439666666666667,0.026098971174773278,12.250528730115123
ray_gpis_uncertainty_only,green_Pepper,1,0,1,0.6865666666666667,0.8141589422297764,0.6865666666666667,0.052722120194072526,6.992325351988891
ray_gpis_uncertainty_only,green_Pepper,1,0,2,0.9476,0.9730950913945369,0.9476,0.0764954428676971,3.822015208172079
ray_gpis_uncertainty_only,green_Pepper,1,0,3,0.9698333333333333,0.9846856756070733,0.9698333333333333,0.09907513883436858,3.6304464168039865
ray_gpis_uncertainty_only,green_Pepper,1,0,4,0.9953,0.9965248951836633,0.9953,0.12252853530723826,3.500607156971696
ray_gpis_uncertainty_only,green_Pepper,1,0,5,0.9995666666666667,0.9988482379012973,0.9995666666666667,0.1463738637083673,3.253715861064943
ray_gpis_uncertainty_only,green_Pepper,12,0,0,0.4388666666666667,0.6100171431219015,0.4388666666666667,0.026339008079423288,12.471256091036384
ray_gpis_uncertainty_only,green_Pepper,12,0,1,0.6427,0.781663450335284,0.6427,0.05263961730685374,7.980919843073602
ray_gpis_uncertainty_only,green_Pepper,12,0,2,0.9555333333333333,0.976416668043207,0.9555333333333333,0.0795955290564964,4.229213152127889
ray_gpis_uncertainty_only,green_Pepper,12,0,3,0.9643333333333334,0.9811839256766224,0.9643333333333334,0.10066648825499268,4.1532135098016925
ray_gpis_uncertainty_only,green_Pepper,12,0,4,0.9740666666666666,0.9863345552144732,0.9740666666666666,0.12288071889278987,3.9554165332189593
ray_gpis_uncertainty_only,green_Pepper,12,0,5,0.9968333333333333,0.9979628965605317,0.9968333333333333,0.14424782142530718,3.7420833037478833
ray_gpis_uncertainty_only,green_Pepper,7,0,0,0.43546666666666667,0.6067248746052387,0.43546666666666667,0.027815744430831364,13.01843863536694
ray_gpis_uncertainty_only,green_Pepper,7,0,1,0.6375,0.7786259541984732,0.6375,0.05061822982107176,6.1552004014665895
ray_gpis_uncertainty_only,green_Pepper,7,0,2,0.9475333333333333,0.9730599390682231,0.9475333333333333,0.07706949539501383,3.5829405247958945
