planner,paired_scenes,final_recall@5,final_recall@5_ci95,final_recall@5_n,final_f@5,final_f@5_ci95,final_f@5_n,final_chamfer_mm,final_chamfer_mm_ci95,final_chamfer_mm_n,final_visibility_coverage,final_visibility_coverage_ci95,final_visibility_coverage_n,visibility_coverage_auc,visibility_coverage_auc_ci95,visibility_coverage_auc_n,recall@5_auc,recall@5_auc_ci95,recall@5_auc_n,f@5_auc,f@5_auc_ci95,f@5_auc_n,cumulative_active_gain_f@5,cumulative_active_gain_f@5_ci95,cumulative_active_gain_f@5_n,unseen_surface_discovery_ratio,unseen_surface_discovery_ratio_ci95,unseen_surface_discovery_ratio_n,unique_visibility_gain_per_action,unique_visibility_gain_per_action_ci95,unique_visibility_gain_per_action_n,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n,representation_update_s,representation_update_s_ci95,representation_update_s_n,candidate_scoring_s,candidate_scoring_s_ci95,candidate_scoring_s_n,planning_time_s,planning_time_s_ci95,planning_time_s_n
ray_gpis,120,0.9661655555555555,0.013253275172353893,120,0.9793231810808875,0.008381285425381345,120,3.845868183029786,0.09677632678953348,120,0.28370942241968666,0.051191819043032584,120,0.21331749966618332,0.04732819914365171,120,0.8318435277777778,0.012358383246230637,120,0.8932486576405256,0.0084251937789598,120,0.393502293590735,0.012516279907004229,120,0.25642996492074704,0.052120939825320345,120,0.03871555663577673,0.005404866619300663,120,0.07870045871814701,0.0025032559814008467,120,0.08625590330894325,0.0032692345248129594,120,0.4066217936855889,0.06727458470535341,120,0.9983333333333333,0.003266666666666665,120,0.007555444590796248,0.00413876163974938,120,0.6383333333333333,0.04408296693572484,120,0.03666666666666667,0.018546870496899417,120,0.31353848284202446,0.03623276363264673,120,0.55,0.041249836600983567,120,0.990033767157147,0.06266456546168893,120,9.568101993257491e-05,1.7194390705106593e-06,120,0.9901294481770795,0.06266471900852733,120
ray_gpis_hit_only,120,0.9698008333333333,0.009594088488506562,120,0.9820951584493572,0.005743006034801791,120,3.830768401212563,0.08131869064735314,120,0.28569304715004856,0.050614499374003495,120,0.209199807230618,0.045908652664452945,120,0.8032242777777778,0.013726677681741515,120,0.8744136674202422,0.009336343511475121,120,0.3962742709592048,0.010048538172173872,120,0.2577094800769933,0.05103001035639498,120,0.0391122815818491,0.0053011023939358295,120,0.07925485419184097,0.002009707634434774,120,0.0961875933494131,0.004180694018284831,120,0.4304017090063074,0.05712466452574923,120,0.9983333333333333,0.003266666666666665,120,0.016932739157572096,0.004071864109299871,120,0.5816666666666667,0.039088894834037005,120,0.03166666666666667,0.016723956438422352,120,0.3186679247428375,0.031838090956233446,120,0.47708333333333336,0.04638983453695446,120,1.0476411419981742,0.08922033327321097,120,9.880781666045853e-05,4.121262794919901e-06,120,1.0477399498148345,0.08922038371189052,120
ray_gpis_novelty_only,120,0.9664988888888888,0.013312836727223939,120,0.9795385257101754,0.008424009968568279,120,3.8443462733981155,0.09780304941301257,120,0.28257383763988936,0.051147402888783854,120,0.21306431367517462,0.047309032622623426,120,0.8264778611111112,0.01324382756666201,120,0.8894619151089815,0.009104596558014771,120,0.39371763822002304,0.012534679098246824,120,0.25508365784990034,0.05200393346218553,120,0.038488439679817264,0.005395123335722057,120,0.0787435276440046,0.002506935819649365,120,0.08865285397347626,0.0036768444658128,120,0.38058012701892213,0.0652649748340527,120,0.985,0.013254048586057342,120,0.009909326329471651,0.004449242353500995,120,0.6316666666666666,0.042263465580520215,120,0.03833333333333333,0.019843261644188905,120,0.23261394007106687,0.03497038926528447,120,0.50625,0.03778763868323744,120,1.0877623035715807,0.16386696191124217,120,9.122542648886641e-05,3.0409967084933875e-06,120,1.0878535289980695,0.16386889814453695,120
ray_gpis_pointwise,120,0.9697713888888889,0.013015501132220188,120,0.9813496504080824,0.008249846147034067,120,3.8177064549079844,0.09467120495075294,120,0.28473867975179,0.05124004047010419,120,0.2133484983488348,0.04713785391565202,120,0.8324212222222223,0.012357656637259828,120,0.8935965420014234,0.008408577682836683,120,0.3955287629179301,0.012708708387950839,120,0.2575382022742959,0.05215350714277148,120,0.03892140810219738,0.005427430628780413,120,0.07910575258358603,0.002541741677590168,120,0.0864589371338902,0.0033392091350163255,120,0.45955341801261473,0.06580562362742376,120,1.0,0.0,120,0.007353184550304195,0.004138427721848375,120,0.6683333333333332,0.0433940961617977,120,0.03666666666666667,0.01911826283573403,120,0.19671342592431706,0.02799897565440669,120,0.5583333333333333,0.04211042129567628,120,1.0638720091435971,0.10506137392897358,120,9.742662509476456e-05,1.9780403665435614e-06,120,1.0639694357686917,0.1050617927544349,120
ray_gpis_uncertainty_only,120,0.9649688888888889,0.013317946788801162,120,0.9789738251927596,0.008361675802738734,120,3.844132683600496,0.09736225479683025,120,0.2836572218915419,0.05117112842840591,120,0.21220301557699348,0.04697943850631021,120,0.8253065833333333,0.013660156968313556,120,0.8891543343012194,0.009275962677016037,120,0.393152937702607,0.011959620601713305,120,0.25629216062195687,0.052016369328484635,120,0.038705116530147764,0.0054028633254722975,120,0.0786305875405214,0.0023919241203426613,120,0.08819971430939444,0.0036038515650556407,120,0.43021713527728583,0.0676411777707916,120,0.9916666666666667,0.007180674864054766,120,0.009569126768873034,0.004353287339527021,120,0.6516666666666666,0.04533453573953255,120,0.03333333333333333,0.018748838743996018,120,0.5596568073091527,0.027268592512611992,120,0.5729166666666666,0.03639754736583725,120,1.1717820506132801,0.09893009378326349,120,0.00010001363026579687,3.0995971589282825e-06,120,1.1718820642435461,0.09893046723845783,120
