planner,object,initial_pose_seed,planner_seeds,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s
ray_gpis,Bowl,0,1,0.9462666666666667,0.9618863297313357,4.049192165467591,0.48509721079437074,0.34124491701688137,0.7854066666666666,0.8608262639642627,0.44674081399187815,0.42272049980829624,0.07540886670439834,0.08934816279837562,0.09477190424187218,0.6,1.0,0.005423741443496555,0.6,0.0,0.8304539082169832,0.25,1.285501301198383,9.61487996391952e-05,1.285597449998022
ray_gpis,Bowl,1,1,0.7957333333333333,0.882278208500687,5.1757315644586015,0.3319932486359392,0.2516790188631083,0.71675,0.8248934624378302,0.3239274552389555,0.2497715988120242,0.04447955157155465,0.0647854910477911,0.10443941074439618,-0.6,1.0,0.039653919696605075,0.2,0.0,0.808814409761959,0.75,1.2035259558062534,8.908899908419699e-05,1.2036150448053378
ray_gpis,Bowl,2,1,0.9318,0.9554859701944706,4.1617990540672665,0.44438917613855744,0.32535141181053934,0.8042066666666667,0.8696038759452327,0.3610331965812772,0.3663414143608488,0.06424382456438738,0.07220663931625544,0.08193660393607098,-0.1,1.0,0.009729964619815545,0.2,0.0,0.7707910133897915,0.75,1.1531303025985835,8.600720320828259e-05,1.1532163098017918
ray_gpis,Bowl,3,1,0.7187666666666667,0.8360929493662437,5.525354567182119,0.3059683343213408,0.23209739947545435,0.6329533333333333,0.7654703956532212,0.4272250398486218,0.2504129450078878,0.04637073497304504,0.08544500796972436,0.1539633149562027,-0.4,1.0,0.06851830698647834,0.2,0.0,0.7424321211947813,0.75,0.8683487723988946,9.787820454221219e-05,0.8684466506034368
ray_gpis,Bowl,4,1,0.9415,0.9632533450642932,3.954478253227468,0.43220877481322273,0.32988524861685486,0.8235299999999999,0.8885574916078305,0.35304302355961426,0.35134637785318856,0.06150937373507705,0.07060860471192285,0.07817043450629498,0.4,1.0,0.007561829794372121,0.4,0.0,0.7902053172922865,0.75,1.393869840996922,8.380460494663566e-05,1.3939536456018686
ray_gpis,Bowl,5,1,0.9068,0.9437074975525432,4.212632065258019,0.40560081507818374,0.3021415027563663,0.7667499999999999,0.848797314845973,0.3488926306938346,0.3206793322353729,0.05611827896513275,0.06977852613876692,0.08598105112124502,0.2,1.0,0.016202524982478095,0.4,0.0,0.8237795762760356,0.75,1.1300845985970227,9.803239954635501e-05,1.130182630996569
ray_gpis,Bowl,6,1,0.9158,0.9478722167678665,4.387858590294117,0.3973841009162824,0.284272832854052,0.7323133333333333,0.8197541978412319,0.5061518760240477,0.3352174024738031,0.060773954412156175,0.10123037520480953,0.12516310563304184,0.2,1.0,0.023932730428232296,0.4,0.0,0.6783862511444265,0.5,1.0769713178044185,9.419059788342565e-05,1.077065508402302
ray_gpis,Bowl,7,1,0.5720666666666666,0.7172175093588082,6.468381832320154,0.2450940586172883,0.1915636809492705,0.4990566666666667,0.653683316814136,0.12821861464300743,0.14258706593571052,0.02510804746762204,0.025643722928601488,0.1639323044141325,-0.9,1.0,0.13828858148553103,0.0,0.0,0.8938860794804302,1.0,1.5919551368046085,0.0001202534040203318,1.5920753902086289
ray_gpis,Bowl,8,1,0.9220666666666667,0.9594533661683604,4.114966197765757,0.4272111717979788,0.29811896944637495,0.7422333333333333,0.839571326328499,0.3427067781934433,0.34629948700228036,0.060687263792215874,0.06854135563868866,0.1010374022484749,0.3,1.0,0.03249604660978624,0.4,0.0,0.8220852883955136,0.75,1.4824749808001798,8.9142398792319e-05,1.4825641231989721
ray_gpis,Bowl,9,1,0.9273333333333333,0.9556062484640558,4.129337800064927,0.4569092680710615,0.33140675026067035,0.8003300000000001,0.8749133372536935,0.3684679999416738,0.3787589059819165,0.06622242264879384,0.07369359998833476,0.08104635657939689,-0.1,1.0,0.007352756591062137,0.4,0.0,0.7370901522087432,0.5,1.614492370406515,8.772200089879334e-05,1.6145800924074138
