planner,display_name,paired_scenes,clean_f@5_auc,noise_f@5_auc,noise_degradation_f@5_auc,noise_degradation_f@5_auc_ci95_low,noise_degradation_f@5_auc_ci95_high,clean_final_f@5,noise_final_f@5,noise_degradation_final_f@5,noise_degradation_final_f@5_ci95_low,noise_degradation_final_f@5_ci95_high,clean_score_gain_correlation,noise_score_gain_correlation,noise_degradation_score_gain_correlation,noise_degradation_score_gain_correlation_ci95_low,noise_degradation_score_gain_correlation_ci95_high,clean_oracle_regret_f@5,noise_oracle_regret_f@5,noise_degradation_oracle_regret_f@5,noise_degradation_oracle_regret_f@5_ci95_low,noise_degradation_oracle_regret_f@5_ci95_high,clean_consecutive_score_map_correlation,noise_consecutive_score_map_correlation,noise_degradation_consecutive_score_map_correlation,noise_degradation_consecutive_score_map_correlation_ci95_low,noise_degradation_consecutive_score_map_correlation_ci95_high
ray_gpis_novelty_only,Novelty only,120,0.894882753381635,0.8894619151089815,0.005420838272653445,0.003508164627910298,0.007139233943884385,0.9808564926086414,0.9795385257101754,0.0013179668984658684,-0.0020083538409865786,0.003890948931489133,0.39898851070669333,0.38058012701892213,0.018408383687771233,-0.034832670617423865,0.07147594403698217,0.011229610352240361,0.009909326329471651,-0.001320284022768708,-0.0030611044558480805,2.3281625102403643e-05,0.24904633005525312,0.23261394007106687,0.01643238998418627,0.0031533453486670302,0.029463260087742846
ray_gpis_uncertainty_only,Uncertainty only,120,0.8953331207456833,0.8891543343012194,0.006178786444463919,0.004175320495643235,0.008052616285613726,0.9798943709692037,0.9789738251927596,0.0009205457764443389,-0.003078108743094114,0.004320426861787751,0.4341522331115905,0.43021713527728583,0.003935097834304663,-0.04419425201219979,0.05251946448638168,0.010527570382643939,0.009569126768873034,-0.000958443613770907,-0.002453348381136255,0.0003557304109322054,0.6083963663998844,0.5596568073091527,0.04873955909073172,0.036075013438655726,0.06172313352077402
ray_gpis_pointwise,w/o receptive-field integration,120,0.8990703444355811,0.8935965420014234,0.0054738024341578345,0.003950572747560004,0.006942344914206837,0.9822499885575302,0.9813496504080824,0.0009003381494476992,-0.0015304176061368027,0.003028862748541714,0.4623042144509915,0.45955341801261473,0.002750796438376743,-0.05314992369730925,0.06032588019192308,0.008636224125496505,0.007353184550304195,-0.0012830395751923102,-0.002542657332575187,-0.0002170508437293897,0.21345464884607282,0.19671342592431706,0.01674122292175576,0.007077015073371438,0.02609422600191995
ray_gpis_hit_only,w/o miss-ray interpolation,120,0.8790535100732141,0.8744136674202422,0.004639842652971796,0.00041138308039028154,0.008608230348718797,0.9848532915645402,0.9820951584493572,0.002758133115182774,-0.0031395636565240775,0.008089554306718113,0.4950029339813175,0.4304017090063074,0.0646012249750101,0.010453390265282832,0.11710327542325759,0.01849853591822616,0.016932739157572096,-0.0015657967606540627,-0.004311729544516877,0.0010048264185207958,0.3295253008626669,0.3186679247428375,0.01085737611982942,-0.006049961899558258,0.027336076927726844
ray_gpis,Full Ray-GPIS,120,0.8987404380606235,0.8932486576405256,0.005491780420097794,0.003557030927287175,0.007188896628363013,0.9813984806353592,0.9793231810808875,0.0020752995544716444,-0.001161401781751452,0.004616949757226419,0.47221981234618776,0.4066217936855889,0.06559801866059896,0.019268893614930255,0.11143837235802269,0.008764817627084313,0.007555444590796248,-0.0012093730362880645,-0.002926671298295741,0.00010312104313942547,0.3345747477288473,0.31353848284202446,0.021036264886822805,0.007756352091674037,0.0342405184111665
