planner,object,initial_pose_seed,planner_seed,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s,gain_consistency_max_abs_error,coverage_recall_max_abs_error,visibility_monotonic_min_delta
ray_gpis_novelty_only,green_Pepper,19,0,0.9997333333333334,0.9998666488865182,2.787996781989932,0.14369751303011477,0.08404436629557172,0.7552566666666667,0.8393453844169739,0.5395520398383005,0.12270543073827805,0.02395386206353051,0.10791040796766009,0.12073163799651805,0.875,0.8,0.012821230028857955,0.8,0.0,0.2918028057526512,0.75,0.10890060740057379,6.324040004983545e-05,0.10896384780062363,0.0,0.0,0.02240626756028259
ray_gpis_novelty_only,green_Pepper,21,0,0.9794666666666667,0.9896268355112489,3.016202710568905,0.13765008569039164,0.08272441135498085,0.8447799999999999,0.9019845911129227,0.4311721721120849,0.11451827450866715,0.022305333100948323,0.08623443442241699,0.08654747190422371,0.8,1.0,0.00031303748180673275,0.6,0.0,0.18329995422293427,1.0,0.11205839360191021,5.1171003724448384e-05,0.11210956460563466,0.0,0.0,0.018069345982128726
ray_gpis_novelty_only,green_Pepper,20,0,0.9837,0.9917830317084236,3.0143437907099724,0.1426445701465629,0.08617599152812087,0.8294666666666666,0.8888767970348,0.5183063747945451,0.12070114528177431,0.023537795310792146,0.10366127495890902,0.10443903551852748,0.5,1.0,0.0007777605596184678,0.6,0.0,0.17493419546807046,0.5,0.21840393599704838,4.6718402882106605e-05,0.2184506543999305,0.0,0.0,0.020961297803452433
ray_gpis_novelty_only,green_Pepper,17,0,0.9915666666666667,0.995765477764574,2.9510247986763716,0.13672538556311523,0.08183485205278766,0.7980233333333334,0.8698458085548981,0.5224830350164824,0.1174244946839839,0.022971311749121273,0.10449660700329648,0.10449660700329648,0.6,1.0,0.0,1.0,0.0,0.28516465438315397,1.0,0.10991100059763995,5.632599932141602e-05,0.10996732659696136,0.0,0.0,0.017960476075846457
ray_gpis_novelty_only,green_Pepper,22,0,0.9994666666666666,0.9997332622032541,2.863936359062791,0.14298940702540502,0.08583821514387302,0.8181900000000001,0.8854022623671802,0.44138250894152264,0.11922411101751841,0.0232014357700077,0.08827650178830453,0.08827650178830453,1.0,1.0,0.0,1.0,0.0,0.21919328650720987,0.75,0.11543023479753174,5.415299965534359e-05,0.11548438779718709,0.0,0.0,0.02213047086933831
ray_gpis_novelty_only,green_Pepper,18,0,0.9989333333333333,0.9994663820704375,2.8333927039057016,0.149491895002397,0.08914286331624724,0.8299733333333332,0.8909333051352378,0.47591699479744176,0.12648878583163226,0.02463156415078912,0.09518339895948835,0.09549399583771519,0.8,1.0,0.00031059687822683203,0.6,0.0,0.1162302944037537,1.0,0.2247024168027565,5.412180325947702e-05,0.22475653860601597,0.0,0.0,0.023163065817885298
ray_gpis_novelty_only,green_Pepper,16,0,0.9969,0.9979538352938608,2.9098365921527147,0.14641210728163473,0.08795989023496235,0.8150999999999999,0.8809354880991893,0.5175182268349524,0.12395684957207645,0.02415590281427387,0.10350364536699048,0.10350364536699048,0.875,0.8,0.0,1.0,0.0,0.1459977954497189,0.5,0.21378455760132056,6.157279713079334e-05,0.21384613039845135,0.0,0.0,0.022285723045296385
ray_gpis_novelty_only,green_Pepper,15,0,0.9997,0.9998499774966245,2.9540248215198517,0.14520829934679064,0.08518297890256164,0.7576766666666666,0.8425059388173098,0.544172020119913,0.1248139300109843,0.02438108081419508,0.10883440402398259,0.12195127574562784,0.8,1.0,0.013116871721645263,0.6,0.0,0.3254985408560311,0.5,0.22495954000623897,5.8712804457172754e-05,0.22501825281069615,0.0,0.0,0.02289313059111532
ray_gpis_novelty_only,Corner,19,0,0.9869666666666667,0.9934405878306968,3.097004722803831,0.07558971270152873,0.04427784299494346,0.6790033333333333,0.7925256803136613,0.5319810258018748,0.06419378438089979,0.012682410882057515,0.10639620516037496,0.11921595932632936,0.1,1.0,0.0128197541659544,0.4,0.0,0.5706111238269626,0.5,0.12211176459677517,5.7837797794491055e-05,0.12216960239456967,0.0,0.0,0.011181689133920432
ray_gpis_novelty_only,Corner,21,0,0.9998333333333334,0.9999166597216435,3.0457626562565565,0.07423897633659353,0.04579992943047354,0.8588699999999999,0.9050660377469624,0.5271005326599453,0.0629206412195507,0.012432133240193715,0.10542010653198905,0.10542344058766222,0.5,0.8,3.334055673165359e-06,0.6,0.0,0.0011610565918974518,0.5,0.2302383088011993,5.269060202408582e-05,0.2302909994032234,0.0,0.0,0.008425180502988669
ray_gpis_novelty_only,Corner,20,0,0.9892,0.9945706816810779,3.0951581429690123,0.07924643176338482,0.04765369964363836,0.7782333333333333,0.8594703121182515,0.4612047564794156,0.06582807735777031,0.012976505854701437,0.09224095129588313,0.10083803306314425,0.5,1.0,0.008597081767261127,0.6,0.0,0.30578936827649345,0.25,0.23769088260014543,6.031420198269188e-05,0.2377511968021281,0.0,0.0,0.011161039676277504
ray_gpis_novelty_only,Corner,17,0,0.9985666666666667,0.9992828193538703,3.0114336404949427,0.08015212376496145,0.04781111449763409,0.8227733333333334,0.8841265181302246,0.46502118505559253,0.06817564819241069,0.013459881163029586,0.09300423701111851,0.10629094915597988,0.7,1.0,0.013286712144861369,0.6,0.0,0.23408945087791017,0.75,0.22846996159642002,5.6048802798613905e-05,0.22852601039921866,0.0,0.0,0.010765690815164985
