planner,paired_scenes,representation_update_s,representation_update_s_ci95,representation_update_s_n,candidate_scoring_s,candidate_scoring_s_ci95,candidate_scoring_s_n,planning_time_s,planning_time_s_ci95,planning_time_s_n
ray_gpis,64,0.2439411266751449,0.029086903683412598,64,5.531391821023135e-05,1.245053710345834e-06,64,0.24399644059335515,0.02908681581339296,64
ray_gpis_novelty_only,64,0.23862506558748464,0.028701169000875597,64,5.572176582973043e-05,1.3307051928255962e-06,64,0.23868078735331438,0.02870100243005008,64
