planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
ray_gpis,Bowl,8,0.774649831944169,0.6496275,0.860376344200928,0.265387658941546,-0.425,0.06294425314707329,0.7795048611309795
ray_gpis,Corner,8,0.8815517559389457,0.8157504166666667,0.9979165633628735,0.04754309840218778,0.518525635094611,0.006429196924670689,0.30279831691857745
ray_gpis,Cross,8,0.8675267794106771,0.79504,0.9935627346506442,0.07659140366401475,0.684375,0.0041362976543597,0.34691667597608694
ray_gpis,Cube,8,0.8846535827148209,0.8203920833333334,0.9980538708471992,0.08892046329747222,0.531698729810778,0.0037594702226365654,0.2933192317375044
ray_gpis,Cylinder,8,0.8822675378165152,0.8171166666666667,0.9965699871760876,0.15640457182650314,0.596650635094611,0.0021694212201459366,0.2825321601768139
ray_gpis,L_Shaped,8,0.9054363250898378,0.8535741666666666,0.9952619096501618,0.09023486196289766,0.656025635094611,0.0007218802308581907,0.1905655468461838
ray_gpis,Thin_Irregular,8,0.8690785064977559,0.7974416666666666,0.9927848888907074,0.8742212322851988,0.625,0.0036788338799650937,0.32410242976081477
ray_gpis,green_Pepper,8,0.8787258487841794,0.8115641666666666,0.9966891483813765,0.08517006333964992,0.8125,0.002000139666968262,0.3226997664514195
ray_gpis_novelty_only,Bowl,8,0.774649831944169,0.6496275,0.860376344200928,0.265387658941546,-0.48749999999999993,0.06294425314707329,0.7253865122167543
ray_gpis_novelty_only,Corner,8,0.8808283244985059,0.8143316666666667,0.9969450841872914,0.04744553315857449,0.534150635094611,0.0066878064524300476,0.2191040819805902
ray_gpis_novelty_only,Cross,8,0.8674689295998583,0.7949379166666666,0.9929842365424562,0.07651211440198534,0.5927083333333334,0.004251997275997307,0.20584157273139497
ray_gpis_novelty_only,Cube,8,0.8846535827148209,0.8203920833333334,0.9980538708471992,0.08887372684865344,0.531698729810778,0.0037594702226365654,0.1869369200794665
ray_gpis_novelty_only,Cylinder,8,0.882336600043527,0.8172454166666667,0.9961916705218161,0.15512154652296012,0.546650635094611,0.0018796517749485042,0.18295305404247728
ray_gpis_novelty_only,L_Shaped,8,0.8996306935420265,0.8440279166666667,0.9933896877805795,0.08989006693094484,0.48125,0.004390616090796007,0.15709699487648815
ray_gpis_novelty_only,Thin_Irregular,8,0.8683257815520975,0.7959979166666666,0.9929125295648915,0.8741986529477523,0.5625,0.004332463947727561,0.22916893167772942
ray_gpis_novelty_only,green_Pepper,8,0.874978696942314,0.8060583333333333,0.9967556813668677,0.08536294610363818,0.78125,0.003417437083769406,0.21776519088044044
