time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,cube_obj_01_picked_frame,cube_obj_01_unc_q95,cube_obj_01_unc_q99,cube_obj_01_unc_max,cube_obj_01_unc_top,cube_obj_01_score_q95,cube_obj_01_score_q99,cube_obj_01_score_max,cube_obj_01_score_top,cube_obj_02_002_picked_frame,cube_obj_02_002_unc_q95,cube_obj_02_002_unc_q99,cube_obj_02_002_unc_max,cube_obj_02_002_unc_top,cube_obj_02_002_score_q95,cube_obj_02_002_score_q99,cube_obj_02_002_score_max,cube_obj_02_002_score_top,cube_purple_picked_frame,cube_purple_unc_q95,cube_purple_unc_q99,cube_purple_unc_max,cube_purple_unc_top,cube_purple_score_q95,cube_purple_score_q99,cube_purple_score_max,cube_purple_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,1.0459300830960274,1.0818013846874237,1.0818013846874237,1.0818013846874237,0.8676541857421398,0.9936915181577206,1.0272253900766373,1.010469174385071,120,1.1676281690597534,1.2124882936477661,1.2124882936477661,1.2124882936477661,1.0094588220119476,1.1353043162822722,1.1742006540298462,1.155389779806137,120,0.961028516292572,1.0040733814239502,1.0040733814239502,1.0040733814239502,0.7324701339006423,0.9060991132259368,0.937053918838501,0.9211470514535904,120,1.0189731121063232,1.0297107696533203,1.0297107696533203,1.0297107696533203,0.860186207294464,0.930810723900795,0.9560701251029968,0.9404754430055619,120,1.0360905349254608,1.0809330940246582,1.0809330940246582,1.0809330940246582,0.868501579761505,1.002551919221878,1.041576862335205,1.024864423274994
7.0,1.030225709080696,1.0649150609970093,1.0649150609970093,1.0649150609970093,0.8296673350036142,0.9650053201615809,0.9977124184370041,0.9805736482143402,140,1.1573898792266846,1.2044620513916016,1.2044620513916016,1.2044620513916016,1.002147567272186,1.1292455506324768,1.1633785963058472,1.1450080752372742,140,0.9295457601547241,0.9663797616958618,0.9663797616958618,0.9663797616958618,0.6555764406919479,0.8208122014999389,0.8601958155632019,0.8403332978487015,140,0.9982506632804871,1.011240005493164,1.011240005493164,1.011240005493164,0.8000391840934753,0.9058147293329238,0.9294720888137817,0.9174845606088639,140,1.0357165336608887,1.0775784254074097,1.0775784254074097,1.0775784254074097,0.8609061479568481,1.0041487991809845,1.0378031730651855,1.0194686591625213
8.0,1.0070338770747185,1.040071353316307,1.040071353316307,1.040071353316307,0.7694614406675099,0.9128434532880783,0.9522473812103271,0.934269892424345,160,1.13538943529129,1.180816650390625,1.180816650390625,1.180816650390625,0.9525765001773834,1.0917250776290892,1.1257143020629883,1.1092424273490906,160,0.8540772199630737,0.8875928521156311,0.8875928521156311,0.8875928521156311,0.44583350867032995,0.6524220705032348,0.7212544679641724,0.691390660405159,160,0.989730954170227,1.0037904977798462,1.0037904977798462,1.0037904977798462,0.7961130797863004,0.893832460641861,0.9151067733764648,0.9048614799976349,160,1.0489378988742828,1.088085412979126,1.088085412979126,1.088085412979126,0.8833226740360259,1.013394204378128,1.046913981437683,1.0315850019454955
9.0,0.9535642117261887,0.9855072945356369,0.9855072945356369,0.9855072945356369,0.6714078493416309,0.8110573194921016,0.853762611746788,0.8325305536389351,180,1.0093448162078857,1.0400314331054688,1.0400314331054688,1.0400314331054688,0.726369833946228,0.8126461327075958,0.8497158885002136,0.828450146317482,180,0.837671160697937,0.8630331158638,0.8630331158638,0.8630331158638,0.39838667809963224,0.6175617033243178,0.6900884509086609,0.6560315310955047,180,0.9495686888694763,0.9771127700805664,0.9771127700805664,0.9771127700805664,0.7167584627866744,0.8285279387235641,0.8595975041389465,0.8438870579004287,180,1.0176721811294556,1.0618518590927124,1.0618518590927124,1.0618518590927124,0.844116422533989,0.9854935032129287,1.015648603439331,1.0017534792423248
