time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Corner_picked_frame,Corner_unc_q95,Corner_unc_q99,Corner_unc_max,Corner_unc_top,Corner_score_q95,Corner_score_q99,Corner_score_max,Corner_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,L_Shaped_picked_frame,L_Shaped_unc_q95,L_Shaped_unc_q99,L_Shaped_unc_max,L_Shaped_unc_top,L_Shaped_score_q95,L_Shaped_score_q99,L_Shaped_score_max,L_Shaped_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,1.2145063772797584,1.23240128159523,1.23240128159523,1.23240128159523,1.1768201127648354,1.2163742938637734,1.2234573662281036,1.2196638315916062,120,1.1681578159332275,1.1753208637237549,1.1753208637237549,1.1753208637237549,1.116698557138443,1.14043954372406,1.1499453783035278,1.1442569255828858,120,1.2339692115783691,1.272407054901123,1.272407054901123,1.272407054901123,1.1562036156654358,1.2493062436580658,1.2634457349777222,1.2559338748455047,120,1.1943917274475098,1.2005445957183838,1.2005445957183838,1.2005445957183838,1.1781188309192658,1.195827022790909,1.1992658376693726,1.1978022158145905,120,1.2615067541599274,1.2813326120376587,1.2813326120376587,1.2813326120376587,1.256259447336197,1.2799243652820587,1.281172513961792,1.2806623101234436
7.0,1.182214480638504,1.2012012004852295,1.2012012004852295,1.2012012004852295,1.144110879302025,1.1755999934673307,1.1880875527858734,1.1811164185404777,140,1.1470825672149658,1.1587923765182495,1.1587923765182495,1.1587923765182495,1.0891825258731842,1.1163950479030609,1.136797547340393,1.1240657687187194,140,1.16822275519371,1.193852186203003,1.193852186203003,1.193852186203003,1.0870466709136963,1.1404226267337798,1.1648623943328857,1.1522880256175996,140,1.1520458459854126,1.1708276271820068,1.1708276271820068,1.1708276271820068,1.143954873085022,1.1656579339504243,1.1695177555084229,1.1674495697021485,140,1.2615067541599274,1.2813326120376587,1.2813326120376587,1.2813326120376587,1.256259447336197,1.2799243652820587,1.281172513961792,1.2806623101234436
8.0,1.177005310356617,1.1977095007896423,1.1977095007896423,1.1977095007896423,1.1327533453702925,1.1685867607593536,1.184431254863739,1.1759907901287079,160,1.1470825672149658,1.1587923765182495,1.1587923765182495,1.1587923765182495,1.0891825258731842,1.1163950479030609,1.136797547340393,1.1240657687187194,160,1.1531838178634644,1.1898667812347412,1.1898667812347412,1.1898667812347412,1.0506033599376678,1.1259989261627197,1.1607178449630737,1.1433925747871398,160,1.1630783081054688,1.1753205060958862,1.1753205060958862,1.1753205060958862,1.1542245328426362,1.1681837379932403,1.1737079620361328,1.17098970413208,160,1.2446765482425688,1.2668583393096924,1.2668583393096924,1.2668583393096924,1.2370029628276824,1.2637693309783935,1.2665016651153564,1.265515112876892
9.0,1.133668214082718,1.1652604043483734,1.1652604043483734,1.1652604043483734,1.0731739312410356,1.1408234912157058,1.1563329100608826,1.1489405021071435,180,1.1962286233901978,1.2246882915496826,1.2246882915496826,1.2246882915496826,1.1402297854423522,1.2055859673023224,1.2167158126831055,1.211403340101242,180,1.1641452312469482,1.2093086242675781,1.2093086242675781,1.2093086242675781,1.0716043293476105,1.1620161306858063,1.1913927793502808,1.1773679852485657,180,1.1411106586456299,1.1469348669052124,1.1469348669052124,1.1469348669052124,1.1226661324501037,1.1414663183689118,1.1447298526763916,1.1430582582950592,180,1.0331883430480957,1.0801098346710205,1.0801098346710205,1.0801098346710205,0.9581954777240753,1.054225548505783,1.0724931955337524,1.0639324247837068
