object_name,method,reconstruction_seed,trial_seed,placement_success,regrasp_success,conditional_regrasp_success,sequential_success,placement_margin_m,placement_tilt_deg,placement_tilt_limit_deg,predicted_grasp_width_m,actual_grasp_width_m,contact_error_m,antipodal_margin,failure_reason
Big_Cylinder,aurora_real,0,0,True,False,False,False,0.027780699027377686,5.356529987558396,37.698290336493386,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,1,True,False,False,False,0.02778069902737773,6.5550519185488065,37.698290336493436,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,2,True,False,False,False,0.027780699027377745,3.097800656689588,37.69829033649345,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,3,True,False,False,False,0.02778069902737773,1.1591849953711442,37.698290336493436,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,4,True,False,False,False,0.027780699027377675,3.7266023903895995,37.69829033649338,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,5,True,False,False,False,0.027780699027377773,3.708587241231295,37.69829033649348,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,6,True,False,False,False,0.02778069902737775,5.005588511142475,37.69829033649345,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,7,True,False,False,False,0.027780699027377714,0.8247031988536317,37.69829033649342,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,8,True,False,False,False,0.027780699027377724,6.338324132515143,37.69829033649343,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,9,True,False,False,False,0.02778069902737774,0.8342992223775622,37.69829033649344,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,10,True,False,False,False,0.027780699027377787,2.247355646508071,37.69829033649349,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,11,True,False,False,False,0.02778069902737769,0.797604052768104,37.69829033649339,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,12,True,False,False,False,0.02778069902737772,2.0546544212674993,37.69829033649343,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,13,True,False,False,False,0.02778069902737773,3.4594681937860274,37.698290336493436,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,14,True,False,False,False,0.02778069902737773,4.973486478319724,37.698290336493436,0.07496483981607666,nan,inf,-1.0,no_gt_contact
Big_Cylinder,aurora_real,0,15,True,False,False,False,0.02778069902737775,1.8703127729553797,37.69829033649345,0.07496483981607666,nan,inf,-1.0,no_gt_contact
