planner,object,initial_pose_seed,planner_seed,step,selected_action,oracle_action,selected_gain_f@5,oracle_gain_f@5,oracle_regret_f@5,oracle_action_accuracy,score_gain_spearman,minus_x_gain_f@5,minus_y_gain_f@5,plus_z_gain_f@5,minus_x_score,minus_y_score,plus_z_score
ray_gpis,green_Pepper,19,0,0,minus_x,minus_x,0.25718573722663596,0.25718573722663596,0.0,1.0,1.0,0.25718573722663596,0.1705727632055608,0.10661445336583741,0.0007762620225548744,0.00043932307744398713,7.386160723399371e-05
ray_gpis,green_Pepper,19,0,1,minus_x,minus_x,0.15014376092131532,0.15014376092131532,0.0,1.0,1.0,0.15014376092131532,0.09410557712663248,0.04297383507355956,0.00010137956996913999,9.917460556607693e-05,3.434487007325515e-05
ray_gpis,green_Pepper,19,0,2,minus_x,minus_x,0.05232245732184704,0.05232245732184704,0.0,1.0,1.0,0.05232245732184704,0.01854934764651006,0.03410766694876133,4.58027352578938e-05,2.4943272364907898e-05,4.0018465369939804e-05
ray_gpis,green_Pepper,19,0,3,minus_x,minus_x,0.007316708582421838,0.007316708582421838,0.0,1.0,1.0,0.007316708582421838,0.005183702196909112,0.0048952234308153875,2.494319596735295e-05,2.4518269128748216e-05,2.392500391579233e-05
ray_gpis,green_Pepper,19,0,4,minus_x,minus_x,0.0067620853398659975,0.0067620853398659975,0.0,1.0,1.0,0.0067620853398659975,0.0008270687419381639,0.0007596038670784067,2.4662607756908983e-05,2.3509708626079373e-05,2.3361362764262594e-05
ray_gpis,green_Pepper,21,0,0,minus_x,minus_x,0.20230388869001548,0.20230388869001548,0.0,1.0,1.0,0.20230388869001548,0.0945629237569745,0.04883506170816143,0.0005326829268597066,0.00028171404846943915,3.360946357133798e-05
ray_gpis,green_Pepper,21,0,1,minus_x,minus_x,0.11779139941729089,0.11779139941729089,0.0,1.0,1.0,0.11779139941729089,0.06805320031578166,0.00997849336620693,9.660338400863111e-05,4.833449929719791e-05,2.44443399424199e-05
ray_gpis,green_Pepper,21,0,2,plus_z,minus_x,0.008139176644073265,0.013340228103055018,0.005201051458981754,0.0,0.5,0.013340228103055018,0.0001051723766972712,0.008139176644073265,2.4255057724076323e-05,2.4222965294029564e-05,2.462110023770947e-05
ray_gpis,green_Pepper,21,0,3,minus_x,minus_x,0.008995046943239049,0.008995046943239049,0.0,1.0,1.0,0.008995046943239049,0.002787390784576904,0.0032504717569604713,3.112461490673013e-05,2.3296388462767936e-05,2.540828791097738e-05
ray_gpis,green_Pepper,21,0,4,plus_z,plus_z,0.0010836129228455338,0.0010836129228455338,0.0,1.0,1.0,0.0002541808898478548,0.00010168773417562615,0.0010836129228455338,2.8134418244007975e-05,2.2515117962029763e-05,3.621578071033582e-05
ray_gpis,green_Pepper,20,0,0,minus_x,minus_x,0.2866656099890772,0.2866656099890772,0.0,1.0,1.0,0.2866656099890772,0.11989117232425295,0.07115007415275221,0.0007744253380224109,0.0001234162918990478,7.808481313986704e-05
