sequence,keyframes,condition,trial,target_rotation_rms_deg,target_translation_rms_mm,actual_rotation_rms_deg,actual_rotation_p95_deg,actual_translation_rms_mm,actual_translation_p95_mm,clean_points,reconstruction_points,chamfer_l1_mm,pred_to_ref_mean_mm,ref_to_pred_mean_mm,precision_2mm,recall_2mm,fscore_2mm,precision_5mm,recall_5mm,fscore_5mm,precision_10mm,recall_10mm,fscore_10mm
capture_001,164,clean,0,0.0,0.0,0.0,0.0,0.0,0.0,45532,45532,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
capture_001,164,1deg_1mm,0,1.0,1.0,1.0,1.7276134358573862,1.0,1.768775715968089,45532,46153,0.7838097567150313,0.7885167936987921,0.7791027197312705,0.9727645006825125,0.9722612668013705,0.9725128186414315,0.9973782852685632,0.9974084160590354,0.99739335043624,0.9998266634888306,0.9998682245453747,0.9998474435852065
capture_001,164,1deg_1mm,1,1.0,1.0,1.0,1.588179437291878,1.0,1.6796598509035627,45532,46168,0.7778328562498321,0.783758379409306,0.7719073330903583,0.9789031363715127,0.9800140560484933,0.979458281203699,0.9977040374285219,0.9977158921198278,0.9977099647389608,1.0,1.0,1.0
capture_001,164,1deg_1mm,2,1.0,1.0,1.0,1.530708997448799,1.0,1.6425928147391258,45532,46727,0.8157690681313928,0.8260032696739548,0.8055348665888309,0.9729278575555889,0.9740402354388122,0.9734837287250298,0.9984377340723779,0.9982210313625582,0.998329370957806,1.0,1.0,1.0
capture_001,164,1deg_1mm,3,1.0,1.0,0.9999999999999998,1.4674571225064208,1.0,1.7295035910660157,45532,45926,0.7907097908662268,0.7945514428082615,0.7868681389241922,0.9751774593911945,0.9748967758938768,0.9750370974424776,0.9953838784130994,0.9955635596942809,0.9954737109456501,1.0,1.0,1.0
capture_001,164,1deg_1mm,4,1.0,1.0,1.0,1.7307125277016158,1.0,1.6270872441501485,45532,46192,0.7691029128636834,0.7757400537256581,0.7624657720017084,0.9780048493245583,0.9798822805938681,0.9789426648184142,0.9978134741946657,0.9977158921198278,0.9977646807713482,1.0,1.0,1.0
capture_001,164,1deg_1mm,5,1.0,1.0,1.0,1.5423823033282142,1.0,1.7462370823766282,45532,46377,0.7854013398559535,0.7931499279613778,0.7776527517505291,0.9780063393492464,0.9799262057454098,0.9789653312771632,0.9981240701209652,0.9981551436352455,0.9981396066362646,0.9999784375875973,0.9999780374242291,0.9999782375058731
capture_001,164,1deg_1mm,6,1.0,1.0,1.0,1.596635257699778,1.0,1.567822168100035,45532,46016,0.7714244154950406,0.7772771651928875,0.7655716657971936,0.9794636648122392,0.982012650443644,0.980736501393885,0.9989786161335188,0.9991654221207064,0.99907201039489,1.0,1.0,1.0
capture_001,164,1deg_1mm,7,1.0,1.0,1.0,1.6259497899274196,1.0,1.6784456521798072,45532,45892,0.7908804207530301,0.7933501038574218,0.7884107376486383,0.9753769720212673,0.9754019151366072,0.9753894434194731,0.9985400505534734,0.9985724325748924,0.998556241301655,1.0,1.0,1.0
capture_001,164,1deg_1mm,8,1.0,1.0,0.9999999999999999,1.681420145820971,1.0,1.6618199415548196,45532,46012,0.8118101324541284,0.8155785616369136,0.8080417032713431,0.9728114404937842,0.9736668716507072,0.9732389681013703,0.9993914630965836,0.9994289730299569,0.9994102177113139,0.9999565330783274,0.9999341122726874,0.9999453225498274
capture_001,164,1deg_1mm,9,1.0,1.0,1.0,1.6265690043142822,1.0000000000000002,1.6353907932622511,45532,46209,0.7808236309151543,0.7868736200779369,0.7747736417523717,0.9797874872860265,0.9819028375647896,0.9808440219021702,0.999112726957952,0.9991214969691645,0.999117111944313,1.0,1.0,1.0
capture_001,164,1deg_1mm,10,1.0,1.0,1.0,1.695248295474516,1.0,1.493902468571767,45532,45879,0.7915023102904177,0.7941928121555865,0.788811808425249,0.9800562348787026,0.9801897566546605,0.9801229912192767,0.9977331676802023,0.9975841166652025,0.9976586366056166,1.0,1.0,1.0
capture_001,164,1deg_1mm,11,1.0,1.0,1.0000000000000002,1.6305691791757926,1.0,1.5956416267988718,45532,46300,0.7751529985631813,0.782018870555251,0.7682871265711116,0.9788336933045356,0.9793551787753668,0.9790943666015278,0.9981209503239741,0.9980453307563911,0.9980831391078573,0.9999784017278618,0.9999780374242291,0.9999782195760123
