condition,rotation_rms_deg,translation_rms_mm,samples,sequences,fscore_2mm,fscore_2mm_std,fscore_2mm_ci95,fscore_5mm,fscore_5mm_std,fscore_5mm_ci95,fscore_10mm,fscore_10mm_std,fscore_10mm_ci95,chamfer_l1_mm,chamfer_l1_mm_std,chamfer_l1_mm_ci95
clean,0.0,0.0,3,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1deg_1mm,1.0,1.0,60,3,0.9720103457274475,0.006243971352904492,0.001579942741514359,0.9971433679244122,0.0013363392579535407,0.0003381404864745663,0.9999475649039608,0.00012868105047449086,3.2560798276731704e-05,0.8441170487830095,0.04549811023728166,0.011512610317882867
2deg_2mm,2.0,2.0,60,3,0.9022433252306307,0.015797722278501045,0.003997375265786103,0.9884213181948154,0.002185809364298668,0.0005530860800396468,0.9971273339504005,0.0012483082604236597,0.00031586557076552704,1.1134438582088342,0.06371736256259598,0.016122717225854018
5deg_5mm,5.0,5.0,60,3,0.7982099232563978,0.024707923712507778,0.006251967301116523,0.9631721500238459,0.005909676609462068,0.0014953545005413158,0.9877546249222521,0.0021770418905298957,0.000550867603086522,1.5745756352274443,0.10829833500424053,0.0274032596623698
10deg_10mm,10.0,10.0,60,3,0.6857993296126242,0.03607724163148009,0.009128801659700455,0.9025448861807681,0.020307418803346272,0.005138485928881538,0.9738651156063359,0.005266660709335832,0.0013326490288689975,2.3082579913758723,0.19373209974021038,0.04902098480008243
