planner,paired_scenes,representation_update_s,representation_update_s_ci95,representation_update_s_n,candidate_scoring_s,candidate_scoring_s_ci95,candidate_scoring_s_n,planning_time_s,planning_time_s_ci95,planning_time_s_n
ray_gpis,120,0.26062707149832326,0.025031715870433797,120,6.994098161764365e-05,1.0993974472136657e-06,120,0.26069701247994087,0.0250313610102336,120
ray_gpis_hit_only,120,0.29069290343834536,0.026416418215148757,120,8.242929157859179e-05,1.0975500707560796e-06,120,0.2907753327299239,0.026416194671491103,120
ray_gpis_novelty_only,120,0.2743778779748997,0.025112042973487268,120,7.956213652505539e-05,2.1133119626549353e-06,120,0.27445744011142476,0.025111419766024354,120
ray_gpis_pointwise,120,0.26304990943176865,0.024681830605948626,120,6.991225345700513e-05,9.035586067064329e-07,120,0.2631198216852257,0.024681810102431517,120
ray_gpis_uncertainty_only,120,0.26023271209838034,0.024795019798991697,120,7.187055320779716e-05,1.155270207756779e-06,120,0.2603045826515881,0.02479467324904227,120
