planner,paired_scenes,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n
ray_gpis,120,0.07911551862904134,0.0026304415293060433,120,0.08788033625612565,0.0039795229106443794,120,0.47221981234618776,0.06671178013942555,120,0.9783333333333334,0.015242810369936908,120,0.008764817627084313,0.005090840537247553,120,0.6799999999999999,0.041076647628453776,120,0.03833333333333333,0.02037833656869936,120,0.3345747477288473,0.03801362045291707,120,0.5229166666666667,0.03122588612117017,120
ray_gpis_hit_only,120,0.07980648081487753,0.0021960382652757063,120,0.0983050167331037,0.004667378033637735,120,0.4950029339813175,0.053640156505854276,120,0.9733333333333334,0.0160257309439408,120,0.01849853591822616,0.004685892435267328,120,0.6066666666666667,0.03766946718723182,120,0.025,0.015077187026347158,120,0.3295253008626669,0.03193889918127769,120,0.46875,0.03506427920934049,120
ray_gpis_novelty_only,120,0.07900712102369777,0.0026130322804155423,120,0.09023673137593814,0.004328218846732666,120,0.39898851070669333,0.06605060030736991,120,0.9616666666666666,0.01872730347446841,120,0.011229610352240361,0.005332378629767304,120,0.6516666666666667,0.04110174526771689,120,0.03333333333333333,0.018748838743996018,120,0.24904633005525312,0.038331867407476496,120,0.5104166666666666,0.03400947220035038,120
ray_gpis_pointwise,120,0.07928582021347555,0.0027370420770022027,120,0.08792204433897206,0.003982179694559769,120,0.4623042144509915,0.06690925802797623,120,0.9766666666666667,0.014804097648608728,120,0.008636224125496505,0.005102857328165095,120,0.6783333333333333,0.04480929233695353,120,0.04,0.020007527994996988,120,0.21345464884607282,0.031873424317999076,120,0.55625,0.0373400346314048,120
ray_gpis_uncertainty_only,120,0.07881469669581026,0.002647891078638943,120,0.08934226707845422,0.004047331724136773,120,0.4341522331115905,0.06982472891767219,120,0.9683333333333334,0.016067642961143908,120,0.010527570382643939,0.005140517888081178,120,0.6483333333333333,0.04545306276845026,120,0.04,0.02205419350101908,120,0.6083963663998844,0.023336503109096556,120,0.5479166666666667,0.03988029986087697,120
