planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
ray_gpis,Bowl,15,0.8054524622920012,0.6958384444444444,0.8760172927164495,0.27902939560703055,-0.20666666666666664,0.05850290148832949,0.827787263008316
ray_gpis,Corner,15,0.9194070774098592,0.8717208888888889,0.9984145216198713,0.04841532598016128,0.5283333333333333,0.0018754648640782177,0.22205194504844733
ray_gpis,Cross,15,0.9082640074115526,0.853472,0.9914273945489296,0.07682833188769027,0.58,0.0019403043665201527,0.28080879548042176
ray_gpis,Cube,15,0.9195973647100734,0.8724742222222222,0.9968718474398024,0.0890030568070168,0.5006645291237259,0.0008796304481782986,0.18733204294141942
ray_gpis,Cylinder,15,0.9149478810909623,0.865836888888889,0.9991162218038052,0.1563743439035407,0.6444016935856294,0.00037940437857516033,0.24566726033798728
ray_gpis,L_Shaped,15,0.9075494831007996,0.8524842222222222,0.9960317325291211,0.08741897267378945,0.6604358942726815,0.003902661886432092,0.27610390788758604
ray_gpis,Thin_Irregular,15,0.9018796226067977,0.8448513333333333,0.9965328505002835,0.8845181774248388,0.5159486989694217,0.001907911766145164,0.3407682336608136
ray_gpis,green_Pepper,15,0.9128256058629417,0.8611913333333333,0.9967759839246104,0.08642420626384871,0.5546410161513776,0.0007302618184159205,0.2960785334657868
ray_gpis_hit_only,Bowl,15,0.8028987381883809,0.6904071111111112,0.919351422532971,0.2855070705240514,0.046666666666666655,0.054485109166355405,0.5987880931137326
ray_gpis_hit_only,Corner,15,0.8955063852665514,0.8351484444444445,0.9972521969419126,0.04811613812334059,0.5314273441009185,0.014282768545284766,0.2633311892865901
ray_gpis_hit_only,Cross,15,0.8885320103474312,0.8218515555555556,0.9887578585159317,0.07528737824754493,0.5733333333333334,0.010815818166454305,0.3284462052153924
ray_gpis_hit_only,Cube,15,0.8975741936593911,0.8395946666666667,0.9904941251813046,0.08766239710598892,0.4922115345075184,0.011403637073660019,0.20829641315294886
ray_gpis_hit_only,Cylinder,15,0.8828837722861984,0.8178584444444444,0.9951882896452297,0.15199735529748054,0.513094010767585,0.01700017036893547,0.2992409389071043
ray_gpis_hit_only,L_Shaped,15,0.8937054000805501,0.8317904444444444,0.9962801713978141,0.08732372359620341,0.657102560939348,0.010613147308298833,0.279637753795163
ray_gpis_hit_only,Thin_Irregular,15,0.8788271038764269,0.8091504444444445,0.993973316239869,0.842162021266912,0.5413076828180442,0.01693503380752245,0.32389157439253446
