dataset,frame,height,width,latency_ms,predicted_pixels,prompt_mask_iou
Tracking/BundleTrack/results/001,000601,720,1280,14.553102984791622,11262,0.6850360677738635
Tracking/BundleTrack/results/001,000615,720,1280,14.475996984401718,9484,0.6902099274082794
Tracking/BundleTrack/results/001,000640,720,1280,13.945309998234734,8114,0.877168792370447
Tracking/BundleTrack/results/001,000684,720,1280,13.984249002533033,8448,0.9217019410023028
Tracking/BundleTrack/results/001,000698,720,1280,14.188149012625217,7622,0.8461538461538461
Tracking/BundleTrack/results/001,000709,720,1280,14.57747700624168,10503,0.7793097151205259
Tracking/BundleTrack/results/001,000723,720,1280,14.220256998669356,5995,0.8415659886832849
Tracking/BundleTrack/results/001,000732,720,1280,13.590198010206223,6245,0.6445746919146378
Tracking/BundleTrack/results/001,000754,720,1280,13.277827994897962,8550,0.9028559295041937
Tracking/BundleTrack/results/001,000769,720,1280,15.414105000672862,6001,0.8925831202046036
Tracking/BundleTrack/results/001,000780,720,1280,15.337826014729217,9107,0.9224964307566795
Tracking/BundleTrack/results/001,000801,720,1280,13.986535021103919,7428,0.8798439859084046
Tracking/BundleTrack/results/001,000840,720,1280,13.994651002576575,9015,0.6939546599496221
Tracking/BundleTrack/results/001,000867,720,1280,14.741955004865304,7542,0.712585647313379
Tracking/BundleTrack/results/001,000880,720,1280,14.314992993604392,8860,0.8815501614751536
Tracking/BundleTrack/results/001,000904,720,1280,13.979846000438556,9161,0.9377563576702215
Tracking/BundleTrack/results/001,000914,720,1280,13.390940002864227,5563,0.8481731654897144
Tracking/BundleTrack/results/001,000962,720,1280,13.50260601611808,7003,0.8886043533930857
Tracking/BundleTrack/results/001,001014,720,1280,13.977955997688696,7035,0.893299920865207
Tracking/BundleTrack/results/001,001056,720,1280,14.96964498073794,7598,0.914179104477612
Tracking/BundleTrack/results/001,001162,720,1280,13.896338001359254,9708,0.7524607738037228
Tracking/BundleTrack/results/001,001191,720,1280,14.80943599017337,8150,0.9284980011422045
Tracking/BundleTrack/results/002,000026,720,1280,13.811215001624078,10565,0.9156312451125206
Tracking/BundleTrack/results/002,000040,720,1280,14.12407899624668,12313,0.8630085852930198
Tracking/BundleTrack/results/002,000048,720,1280,14.604262018110603,14588,0.896551724137931
Tracking/BundleTrack/results/002,000056,720,1280,14.922075002687052,16450,0.8067854412888811
Tracking/BundleTrack/results/002,000062,720,1280,13.591027993243188,14098,0.9220303506017792
Tracking/BundleTrack/results/002,000072,720,1280,14.186088024871424,16150,0.8274338997607509
Tracking/BundleTrack/results/002,000082,720,1280,14.338570006657392,13462,0.8698013434328998
Tracking/BundleTrack/results/002,000091,720,1280,18.376722000539303,14614,0.880760596857256
Tracking/BundleTrack/results/002,000109,720,1280,15.19859698601067,15872,0.8848326550446456
Tracking/BundleTrack/results/002,000144,720,1280,14.524808007990941,14568,0.8440002647428685
Tracking/BundleTrack/results/002,000163,720,1280,13.600917009171098,13199,0.9107167614030223
Tracking/BundleTrack/results/002,000169,720,1280,15.058859018608928,18330,0.7107963655799038
Tracking/BundleTrack/results/002,000181,720,1280,17.043662985088304,12521,0.9388203225562202
Tracking/BundleTrack/results/002,000197,720,1280,14.193543000146747,15039,0.8123096857790736
Tracking/BundleTrack/results/002,000208,720,1280,14.306489989394322,17595,0.7625027660986944
Tracking/BundleTrack/results/002,000218,720,1280,14.62440800969489,10930,0.8447768513977439
Tracking/BundleTrack/results/002,000241,720,1280,13.828817987814546,13265,0.9069064748201439
Tracking/BundleTrack/results/002,000256,720,1280,14.262213982874528,11221,0.9227669024510611
Tracking/BundleTrack/results/002,000283,720,1280,14.545121986884624,14524,0.8098037920327674
Tracking/BundleTrack/results/002,000307,720,1280,14.301449991762638,13763,0.9298839458413927
Tracking/BundleTrack/results/002,000327,720,1280,14.698347018565983,11801,0.9195856724914999
Tracking/BundleTrack/results/002,000349,720,1280,19.046491011977196,10968,0.8918872758326217
Tracking/BundleTrack/results/002,000378,720,1280,13.973365013953298,12197,0.798373727007184
Tracking/BundleTrack/results/002,000396,720,1280,15.154624008573592,10820,0.8928195224719101
Tracking/BundleTrack/results/002,000412,720,1280,15.688239014707506,11487,0.9255423258848475
Tracking/BundleTrack/results/002,000438,720,1280,14.996129990322515,14669,0.879897617641268
Tracking/BundleTrack/results/002,000446,720,1280,13.933123991591856,13670,0.9306142575373345
Tracking/BundleTrack/results/002,000458,720,1280,14.606410986743867,13604,0.9357083792723263
Tracking/BundleTrack/results/002,000470,720,1280,14.50551298330538,10519,0.9295486851457001
Tracking/BundleTrack/results/002,000482,720,1280,15.467115998035297,11751,0.9253061224489796
Tracking/BundleTrack/results/002,000494,720,1280,13.968988001579419,11403,0.9143883130661878
Tracking/BundleTrack/results/002,000513,720,1280,14.652912999736145,13322,0.8626944812670062
Tracking/BundleTrack/results/002,000522,720,1280,13.87093000812456,13800,0.9030885380919698
Tracking/BundleTrack/results/002,000534,720,1280,14.75201899302192,12334,0.932970192162203
Tracking/BundleTrack/results/002,000549,720,1280,14.4368140026927,14723,0.8956889152967584
Tracking/BundleTrack/results/002,000566,720,1280,14.080115011893213,13348,0.8152211894611783
Tracking/BundleTrack/results/002,000588,720,1280,14.242187986383215,16431,0.8031238864473216
