planner,paired_scenes,selected_gain_f@5_per_action,selected_gain_f@5_per_action_ci95,selected_gain_f@5_per_action_n,oracle_gain_f@5_per_action,oracle_gain_f@5_per_action_ci95,oracle_gain_f@5_per_action_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,correlation_valid_rate,correlation_valid_rate_ci95,correlation_valid_rate_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,zero_unique_gain_action_rate,zero_unique_gain_action_rate_ci95,zero_unique_gain_action_rate_n,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,consecutive_score_map_correlation_n,action_repetition_rate,action_repetition_rate_ci95,action_repetition_rate_n
ray_gpis,64,0.07285874433148284,0.003307710052170082,64,0.08522272218427007,0.004118896006681524,64,0.3890625,0.08764486272341097,64,1.0,0.0,64,0.012363977852787224,0.0051355481348503065,64,0.575,0.054870554742755956,64,0.021875000000000002,0.01771499874557025,64,0.39522971535830365,0.05041046496416286,64,0.58984375,0.061120740343795006,64
ray_gpis_uncertainty_only,64,0.07359062630624236,0.0031517270828502536,64,0.08454056731609502,0.00420948143958809,64,0.4106139686562879,0.09732725240417188,64,0.9906250000000001,0.010439059264767743,64,0.01094994100985267,0.005123723653665143,64,0.621875,0.06422563578250252,64,0.034375,0.023996563700756084,64,0.6623592262839328,0.038598348334131116,64,0.625,0.061734197258173786,64
