planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
ray_gpis,Bowl,8,0.7795684947727699,0.6793504166666666,0.8624376239568396,0.265909267030168,-0.19999999999999998,0.04986965582586027,0.7665246913584682
ray_gpis,Corner,8,0.8226181489659319,0.7687345833333333,0.9471855749061879,0.04706245762187186,0.3375,0.012401978480076216,0.3577337424895839
ray_gpis,Cross,8,0.8153217407286735,0.7725425000000001,0.9589931877694811,0.07649238245616796,0.55,0.0023804991364936496,0.4035964975977222
ray_gpis,Cube,8,0.8236241142266578,0.7859333333333334,0.9485312000250757,0.08898466905534663,0.4375,0.01000390652103831,0.33133815661478594
ray_gpis,Cylinder,8,0.8250587949368687,0.7862616666666666,0.9483176231097907,0.15529755653390057,0.4375,0.006564636258985653,0.32673174997138926
ray_gpis,L_Shaped,8,0.8405103507036498,0.7993225,0.963103406277671,0.08893641396600993,0.4625,0.007444252830987217,0.21947529166800261
ray_gpis,Thin_Irregular,8,0.7960985909822398,0.7543500000000001,0.9461730692915927,0.8741863229913518,0.4125,0.006922157454262697,0.39004837230851197
ray_gpis,green_Pepper,8,0.830796042094645,0.79046125,0.9633277061823262,0.08579133891910998,0.675,0.0033247363145937872,0.3663892208579649
ray_gpis_uncertainty_only,Bowl,8,0.783049874048487,0.68406,0.8625313727514645,0.26409633055322607,-0.2765544456622768,0.05166756646098301,0.8719208696367
ray_gpis_uncertainty_only,Corner,8,0.8341898634442176,0.78595875,0.9688412167081848,0.04731672116549231,0.48682690528383293,0.005324919448604093,0.6757412630207271
ray_gpis_uncertainty_only,Cross,8,0.8099808732323095,0.7626204166666667,0.95552751299151,0.07615069575351421,0.5741025403784439,0.0038599048098669044,0.7094407399327124
ray_gpis_uncertainty_only,Cube,8,0.8285015321740247,0.79579,0.9575268226124772,0.08892058119309337,0.36160254037844386,0.0068587315152973975,0.6430842989630015
ray_gpis_uncertainty_only,Cylinder,8,0.8274138869064769,0.7910349999999999,0.954099113736522,0.15710958627687904,0.5332531754730548,0.0037991125492463,0.581613572782399
ray_gpis_uncertainty_only,L_Shaped,8,0.8456502508322017,0.80677125,0.9644148367106813,0.08920791264029299,0.5782291281149712,0.005027658192750214,0.5016854110543529
ray_gpis_uncertainty_only,Thin_Irregular,8,0.7906682483460292,0.7445975,0.9424010261630352,0.8690607439089929,0.34084936490538903,0.008661316764956122,0.6722290204515176
ray_gpis_uncertainty_only,green_Pepper,8,0.8319066148460273,0.7929870833333332,0.962002768835471,0.0852417949079391,0.6866025403784439,0.0024003183371173243,0.6431586344300521
