planner,object,initial_pose_seed,planner_seed,step,selected_action,oracle_action,selected_gain_f@5,oracle_gain_f@5,oracle_regret_f@5,oracle_action_accuracy,score_gain_spearman,minus_x_gain_f@5,minus_y_gain_f@5,plus_z_gain_f@5,minus_x_score,minus_y_score,plus_z_score
ray_gpis_uncertainty_only,green_Pepper,19,0,0,minus_x,minus_x,0.1900492835599924,0.1900492835599924,0.0,1.0,1.0,0.1900492835599924,0.051328709861895416,-0.012826184532257923,0.0006673952448181808,0.0003788938629440963,0.000207850884180516
ray_gpis_uncertainty_only,green_Pepper,19,0,1,minus_x,minus_x,0.16838150676679764,0.16838150676679764,0.0,1.0,1.0,0.16838150676679764,0.1305881453198674,0.08432021349800689,0.00015082786558195949,0.00014427880523726344,0.00012539903400465846
ray_gpis_uncertainty_only,green_Pepper,19,0,2,minus_x,minus_x,0.062247642115932145,0.062247642115932145,0.0,1.0,1.0,0.062247642115932145,0.02614740623303169,0.039829329231642174,0.00011652911052806303,0.00011167878255946562,0.00011366063699824736
ray_gpis_uncertainty_only,green_Pepper,19,0,3,minus_x,minus_x,0.012472397720834971,0.012472397720834971,0.0,1.0,0.5,0.012472397720834971,0.009219537422826218,0.009773574968213627,0.00011316144809825346,0.00011235306010348722,0.00011101940617663786
ray_gpis_uncertainty_only,green_Pepper,19,0,4,minus_x,minus_x,0.016674573916507618,0.016674573916507618,0.0,1.0,0.0,0.016674573916507618,0.0038386156877909805,0.0034477865246989037,0.00011422688112361357,0.00010922009096248075,0.00011422688112361357
ray_gpis_uncertainty_only,green_Pepper,21,0,0,minus_x,minus_x,0.1339448164351117,0.1339448164351117,0.0,1.0,1.0,0.1339448164351117,0.024632577726098948,0.024550104311200638,0.0005494953948073089,0.00036216730950400233,0.00017157028196379542
ray_gpis_uncertainty_only,green_Pepper,21,0,1,minus_x,minus_x,0.13457346564128447,0.13457346564128447,0.0,1.0,1.0,0.13457346564128447,0.09757696623158651,0.05226450062276189,0.00014666671631857753,0.00014357100008055568,0.00011391768202884123
ray_gpis_uncertainty_only,green_Pepper,21,0,2,plus_z,minus_x,0.01445381984362959,0.025339678653288678,0.010885858809659088,0.0,-0.5,0.025339678653288678,0.017054893787901926,0.01445381984362959,0.0001111125384340994,0.00011012906179530546,0.0001113770340452902
ray_gpis_uncertainty_only,green_Pepper,21,0,3,minus_x,minus_x,0.017775493458903724,0.017775493458903724,0.0,1.0,1.0,0.017775493458903724,0.007410064303588038,0.015986090115696516,0.00011114979133708403,0.00010873207793338224,0.00011106038436992094
ray_gpis_uncertainty_only,green_Pepper,21,0,4,minus_x,minus_x,0.01749968162325244,0.01749968162325244,0.0,1.0,1.0,0.01749968162325244,0.004366241397517068,0.007687537182811122,0.00011167878255946562,0.00010887736425502226,0.0001107809875975363
ray_gpis_uncertainty_only,green_Pepper,20,0,0,minus_x,minus_x,0.16503732380675473,0.16503732380675473,0.0,1.0,1.0,0.16503732380675473,0.04405064842269102,-0.014219828335701012,0.000580933119636029,0.00021667050896212459,0.00018535758135840297
ray_gpis_uncertainty_only,green_Pepper,20,0,1,minus_y,minus_x,0.1649501516372962,0.19979071393104453,0.03484056229374832,0.0,0.8660254037844387,0.19979071393104453,0.1649501516372962,0.10788569675828008,0.00017104129074141383,0.00017104129074141383,0.0001162087355623953
ray_gpis_uncertainty_only,green_Pepper,20,0,2,minus_x,minus_x,0.09219703846802119,0.09219703846802119,0.0,1.0,1.0,0.09219703846802119,0.05321840091405661,0.027060562137862343,0.00011725926742656156,0.00011535191879374906,0.00011007318244082853
ray_gpis_uncertainty_only,green_Pepper,20,0,3,minus_x,minus_x,0.01370716636652003,0.01370716636652003,0.0,1.0,0.8660254037844387,0.01370716636652003,0.01067942549877321,0.011130433880036317,0.00011129507765872404,0.00011081078991992399,0.00011129507765872404
