planner,object,pairs,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv_d30,Bowl,15,0.6379595965770242,0.4842746666666666,0.4842746666666666,0.7111229713859294,0.5783377777777778,0.007369829254074223,-0.5866666666666666,0.16452731852483915,0.04000000000000001,0.2580719895601699
pb_nbv_d30,Corner,15,0.7280468803637955,0.5831780000000001,0.5831780000000001,0.8218062839472962,0.7063288888888889,0.005361287687482767,-0.5783333333333334,0.12211819003721054,0.06666666666666667,0.2817918562927904
pb_nbv_d30,Cross,15,0.7038393272766501,0.5576053333333334,0.5576053333333334,0.80442051899453,0.6851666666666666,0.0061607938140597045,-0.5950000000000001,0.13151293440927395,0.09333333333333332,0.27058186706650306
pb_nbv_d30,Cube,15,0.7084031217250851,0.5645864444444444,0.5645864444444444,0.7862028171894181,0.6668266666666667,0.007313619214600369,-0.6016666666666667,0.13962931358966799,0.05333333333333334,0.884323076493165
pb_nbv_d30,Cylinder,15,0.6892857075849455,0.537136,0.537136,0.7758921552930497,0.6509422222222222,0.007384368155961236,-0.6133333333333334,0.148079098783756,0.05333333333333334,1.3101391882399913
pb_nbv_d30,L_Shaped,15,0.7174406659121584,0.5729526666666666,0.5729526666666666,0.7959609414968667,0.6780733333333334,0.006932020216010122,-0.6255555555555555,0.13313193707172039,0.06666666666666667,0.26704657754657085
pb_nbv_d30,Thin_Irregular,15,0.6812777032238562,0.5276553333333333,0.5276553333333333,0.7588975462952045,0.6262333333333332,0.009574188953390865,-0.5766666666666668,0.14385276161486213,0.09333333333333332,0.3179779258935013
pb_nbv_d30,green_Pepper,15,0.6848230023636384,0.5264382222222223,0.5264382222222223,0.7855077597370215,0.6550355555555556,0.006855524811036962,-0.72,0.15097062983063778,0.08,0.8119903343736466
pb_nbv_d50,Bowl,15,0.720744432114571,0.5902106666666666,0.5902106666666666,0.8344688282101502,0.7518355555555556,0.005077293570990065,-0.3416666666666667,0.10795454716567177,0.25333333333333335,0.3192029138001574
pb_nbv_d50,Corner,15,0.7380196632987535,0.5979519999999999,0.5979519999999999,0.8483543278485312,0.747708888888889,0.005153289636674082,-0.5150000000000001,0.11928881881774091,0.13333333333333333,0.3251765893854706
pb_nbv_d50,Cross,15,0.6996994329019053,0.5505373333333333,0.5505373333333333,0.820163292434758,0.7051755555555556,0.00563407354779723,-0.5716666666666668,0.13468991245821685,0.10666666666666666,0.3274231741730667
pb_nbv_d50,Cube,15,0.7301652412095682,0.5938902222222223,0.5938902222222223,0.8413237444904857,0.7444377777777778,0.005710295243090173,-0.39,0.11976506954922501,0.16,0.2945524550393263
pb_nbv_d50,Cylinder,15,0.7346032302128213,0.5992753333333333,0.5992753333333333,0.8375109715782775,0.7359800000000001,0.00562536764733599,-0.46943375672974064,0.11296847978475542,0.14666666666666667,0.3264045219335821
pb_nbv_d50,L_Shaped,15,0.7273124641169504,0.5927615555555554,0.5927615555555554,0.8112214869440587,0.7079400000000001,0.0068101852585753615,-0.49944444444444447,0.13088263414488427,0.14666666666666667,0.32256220004075054
pb_nbv_d50,Thin_Irregular,15,0.6978660906668092,0.5511571111111112,0.5511571111111112,0.7863895101946129,0.67318,0.00913251136831129,-0.48500000000000004,0.13982009039277007,0.12000000000000002,0.4182665747470066
pb_nbv_d50,green_Pepper,15,0.7214390136418065,0.5779071111111111,0.5779071111111111,0.8271746975330463,0.715328888888889,0.005801837362650482,-0.47833333333333333,0.12202566214094146,0.12000000000000001,0.3114063579332044
pb_nbv_d50_no_partition,Bowl,15,0.6522806831543301,0.49859511111111116,0.49859511111111116,0.7085771905260503,0.5669244444444443,0.0070817776587802795,-0.6333333333333333,0.1570094953689,0.06666666666666667,0.32088142246667606
