planner,episodes,f@5_auc,f@5_auc_std,f@5_auc_ci95,recall@5_auc,recall@5_auc_std,recall@5_auc_ci95,surface_coverage_auc,surface_coverage_auc_std,surface_coverage_auc_ci95,final_f@5,final_f@5_std,final_f@5_ci95,final_recall@5,final_recall@5_std,final_recall@5_ci95,final_chamfer_m,final_chamfer_m_std,final_chamfer_m_ci95,score_gain_correlation,score_gain_correlation_std,score_gain_correlation_ci95,oracle_regret,oracle_regret_std,oracle_regret_ci95,oracle_action_accuracy,oracle_action_accuracy_std,oracle_action_accuracy_ci95,planning_time_s,planning_time_s_std,planning_time_s_ci95
pb_nbv_d30,120,0.6938845006283942,0.09224692718236428,0.01657427342269466,0.5442283333333333,0.11390106257755586,0.02046493484345329,0.5442283333333333,0.11390106257755586,0.02046493484345329,0.7799763742924145,0.12288082948340266,0.022078355653398964,0.6558680555555555,0.16553508923062055,0.029742170430615576,0.007118954013327032,0.003773378244693675,0.0006779738324634097,-0.6121527777777779,0.27407440154979185,0.04924374402702173,0.141727772982746,0.06289208549243426,0.011300003728193316,0.06833333333333333,0.11104303470076617,0.019951424671066195,0.5502403519332923,0.4537277013998895,0.08152257437893536
pb_nbv_d50,120,0.7212311960203981,0.10034547283235136,0.018029362649284335,0.5817114166666667,0.13116460319544668,0.02356672534406327,0.5817114166666667,0.13116460319544668,0.02356672534406327,0.8258258574042401,0.12718094738728936,0.022850970330828224,0.7226983333333333,0.1799734677384831,0.032336355846641254,0.006118106704428084,0.0038206653759460915,0.0006864700487243915,-0.46881810848010647,0.3426277681330623,0.061560926577190894,0.1234244018067757,0.06730966948188778,0.012093723878504388,0.14833333333333334,0.1940718652687424,0.03486945589263426,0.3306243483815706,0.0451882518379234,0.00811910449845871
pb_nbv_d50_no_partition,120,0.6863077535075118,0.08912690081657666,0.016013689220574303,0.5334415,0.11044296374721442,0.019843608179384884,0.5334415,0.11044296374721442,0.019843608179384884,0.7483651063777562,0.1114847356391801,0.020030786361996678,0.6108313888888888,0.14602721767456467,0.026237134469627034,0.007920317035574404,0.003644790127471287,0.0006548700318398936,-0.6964583333333334,0.26487606837391375,0.04759105278031325,0.1517775103899611,0.06093407497743745,0.010948202290125764,0.05333333333333334,0.13097921802925666,0.023533416652632595,0.3212728237567717,0.04198781121638657,0.007544072033370904
pb_nbv_d70,120,0.7475328277579517,0.10727122010094697,0.019273731783220425,0.6188129444444445,0.1437250182197107,0.025823491604722772,0.6188129444444445,0.1437250182197107,0.025823491604722772,0.8495950351417405,0.130445263286795,0.02343747945269304,0.7596891666666666,0.18789517384664545,0.03375967179895857,0.0053440839644782285,0.003355474289104233,0.0006028878145771766,-0.35626264370224886,0.40680694391378347,0.07309218555701541,0.1075508665410256,0.06886735597700419,0.012373597936811602,0.19166666666666668,0.21353506087343646,0.038366464795639335,0.3881951212200996,0.1318438635877308,0.02368877003228
