planner,object,initial_pose_seed,planner_seeds,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv_d70,Cylinder,14,1,0.7357206603084506,0.5923766666666668,0.5923766666666668,0.953737771810208,0.9115666666666666,0.0026748781132032115,-0.1,0.10454805731772385,0.2,0.3561298025975702
pb_nbv_d70,Cylinder,2,1,0.6679127590653,0.5025666666666666,0.5025666666666666,0.7462649142236245,0.5952333333333333,0.008157473880401373,-0.8,0.1709755095916007,0.0,0.34874297640053553
pb_nbv_d70,Cylinder,6,1,0.7294044545081484,0.5778166666666668,0.5778166666666668,0.7825910520442325,0.6428333333333334,0.006819945178185963,-0.7,0.10967756420469119,0.0,0.3650570840007276
pb_nbv_d70,Cylinder,3,1,0.7425895281540249,0.6117766666666667,0.6117766666666667,0.9637305699481865,0.93,0.0025558110228996616,0.0,0.10718944932493131,0.2,0.34585443859541554
pb_nbv_d70,Cylinder,9,1,0.7296655783817204,0.5791833333333334,0.5791833333333334,0.8057562548516152,0.6747,0.006140982198326829,-0.7,0.11452596529793632,0.0,0.3819051382015459
pb_nbv_d70,Cylinder,10,1,0.6582159113341877,0.49097999999999997,0.49097999999999997,0.6803906043811031,0.5156,0.010739050327447515,-0.9,0.18269292331116102,0.0,0.3552392850018805
pb_nbv_d70,Cylinder,5,1,0.6433504720316235,0.47598,0.47598,0.7188247352237787,0.5610666666666667,0.009257718807160338,-0.6,0.15271467844348816,0.0,0.39859990299737547
pb_nbv_d70,Cylinder,11,1,0.8960940010776397,0.82348,0.82348,0.9585683786645375,0.9204333333333333,0.002658657554299884,-0.125,0.044338758814626456,0.2,0.35407934719987677
pb_nbv_d70,Cylinder,0,1,0.5540363839222081,0.38350333333333336,0.38350333333333336,0.5806543183592364,0.4091,0.012413707561606374,-0.9,0.2620243326747104,0.0,0.3276488320014323
pb_nbv_d70,Cross,8,1,0.6338001404895648,0.4659,0.4659,0.6652132321861582,0.4983666666666667,0.008461661073529948,-0.7,0.16309986534050597,0.0,0.3130357660003938
pb_nbv_d70,Cross,13,1,0.6981856157003324,0.5398999999999999,0.5398999999999999,0.7413467589679044,0.589,0.007698271087038113,-0.8,0.1260839910142271,0.0,0.3427968117975979
pb_nbv_d70,Cross,4,1,0.6900241035215859,0.5278666666666666,0.5278666666666666,0.7312328187777543,0.5763333333333334,0.007888012851872753,-0.3,0.1265366530662853,0.0,0.3503423930000281
pb_nbv_d70,Cross,1,1,0.7272020356118596,0.5854733333333333,0.5854733333333333,0.8539119804400978,0.7450666666666667,0.004568217169908199,-0.4,0.12590350263324265,0.2,0.32343611659889576
pb_nbv_d70,Cross,12,1,0.7227842211353498,0.5768933333333333,0.5768933333333333,0.9187435800400066,0.8497,0.0033471729771093624,-0.4,0.11964482239722599,0.2,0.3590382808004506
pb_nbv_d70,Cross,7,1,0.711584651169239,0.5590766666666667,0.5590766666666667,0.8352454720167725,0.7171,0.004828713238784238,-0.7,0.12137867963928026,0.0,0.3216876086007687
pb_nbv_d70,Cross,14,1,0.9236032360422206,0.8773533333333333,0.8773533333333333,0.9939469139321585,0.9879666666666667,0.0022117538995093966,0.0,0.0015507958600123883,0.6,0.33880812400166177
pb_nbv_d70,Cross,2,1,0.9041689754335038,0.8411200000000001,0.8411200000000001,0.9716342445796554,0.9448333333333333,0.002459182259889824,-0.125,0.01055098505281984,0.4,0.35685615340335064
pb_nbv_d70,Cross,6,1,0.7297697269933094,0.5955999999999999,0.5955999999999999,0.9662301860785665,0.9346666666666666,0.002672833560194453,-0.1,0.10789602363526159,0.2,0.3498683331999928
pb_nbv_d70,Cross,3,1,0.6657145695761396,0.5037,0.5037,0.7841698919937587,0.6449666666666667,0.006559026066281984,-0.8,0.16560020866758435,0.0,0.36728977999737256
pb_nbv_d70,Cross,9,1,0.8538310159382382,0.7666566666666667,0.7666566666666667,0.9963366286947357,0.9927,0.0021696531616824796,0.0,0.028212555972596597,0.4,0.3679082231989014
pb_nbv_d70,Cross,10,1,0.6470951456151501,0.4804500000000001,0.4804500000000001,0.7245440244887548,0.5680666666666667,0.009081409871213161,-0.6,0.18320356877188684,0.0,0.3514704300003359
pb_nbv_d70,Cross,5,1,0.84187890401808,0.7389133333333334,0.7389133333333334,0.940734071288597,0.8881,0.002874642507537289,-0.5,0.05271560155265516,0.4,0.36721317599876785
pb_nbv_d70,Cross,11,1,0.7205685369771736,0.5729333333333333,0.5729333333333333,0.8720744430867563,0.7731666666666667,0.004359949159183617,-0.375,0.1349487750421109,0.2,0.3793185943999561
pb_nbv_d70,Cross,0,1,0.5879851141380354,0.4166833333333333,0.4166833333333333,0.6072423398328691,0.436,0.011970430769519872,-0.9,0.23521295773069612,0.0,0.34463836739741965
pb_nbv_d70,Bowl,8,1,0.6575654358718594,0.4899833333333333,0.4899833333333333,0.6655101087609261,0.4987,0.006284167891947912,-0.9,0.16124218341016358,0.0,0.3423908978002146
pb_nbv_d70,Bowl,13,1,0.762064443136859,0.6182066666666668,0.6182066666666668,0.8092639266506578,0.6796333333333333,0.004538690787631123,-0.6,0.07391912216002619,0.0,0.32499515139934376
pb_nbv_d70,Bowl,4,1,0.6802609067283407,0.5169066666666666,0.5169066666666666,0.7226976625367225,0.5658,0.005257766274623379,-0.5,0.13406839307974575,0.0,0.35385412920004455
pb_nbv_d70,Bowl,1,1,0.6591160315412548,0.4978166666666667,0.4978166666666667,0.8348609600745689,0.7165333333333334,0.004159367308535776,-0.75,0.13029712756724274,0.0,0.3595034739977564
pb_nbv_d70,Bowl,12,1,0.8465185661814048,0.7483066666666666,0.7483066666666666,0.9574464388107939,0.9183666666666667,0.002725237284235393,0.375,0.04346355535183342,0.4,0.33376500500162365
pb_nbv_d70,Bowl,7,1,0.7307544016450057,0.5815633333333333,0.5815633333333333,0.7873888439773645,0.6493333333333333,0.004739034549563965,-0.6,0.10690593916878777,0.0,0.3820101010016515
pb_nbv_d70,Bowl,14,1,0.8628072659160931,0.7723433333333334,0.7723433333333334,0.9627273355922827,0.9281333333333334,0.0026269016501699266,-0.3,0.032994145847691024,0.0,0.34562715599895455
