scenario,metric,full,ablation,ablated,positive_means_full_better,mean_improvement,ci95_low,ci95_high,p_two_sided,pairs,wins,ties,losses
sparse,target_recall@5_auc,0.5898960372645022,ray_gpis_novelty_only,0.5920406293058418,True,-0.0021445920413395055,-0.019442661297148646,0.01106777545999931,0.820892333984375,64,8,48,8
ghost,post_outlier_oracle_regret,0.01304369431812674,ray_gpis_uncertainty_only,0.011281986793472174,True,-0.001761707524654568,-0.0034593895595716137,-0.00017647724151106993,0.03809974445590569,64,18,18,28
hole,target_recall@5_auc,0.5715202677273702,ray_gpis_hit_only,0.5497990861897417,True,0.021721181537628358,0.005943388547033757,0.03726071362893826,0.001624769289037431,64,29,21,14
