scenario,metric,full,ablation,ablated,positive_means_full_better,mean_improvement,ci95_low,ci95_high,p_two_sided,pairs,wins,ties,losses,p_holm,supported
sparse,target_recall@5_auc,0.5898960372645022,ray_gpis_novelty_only,0.5920406293058418,True,-0.0021445920413395055,-0.019442661297148646,0.01106777545999931,0.820892333984375,64,8,48,8,0.820892333984375,False
ghost,post_outlier_oracle_regret,0.01304369431812674,ray_gpis_uncertainty_only,0.011281986793472174,True,-0.001761707524654568,-0.0034593895595716137,-0.00017647724151106993,0.03809974445590569,64,18,18,28,0.07619948891181139,False
hole,target_recall@5_auc,0.5715202677273702,ray_gpis_hit_only,0.5497990861897417,True,0.021721181537628358,0.005943388547033757,0.03726071362893826,0.001624769289037431,64,29,21,14,0.004874307867112293,True
pose_stability,severe_score_map_correlation,0.5028286482176738,ray_gpis_pointwise,0.27242170183221937,True,0.23040694638545445,0.20586101685290076,0.2535088480818496,3.876016365657101e-12,64,63,0,1,1.5504065462628402e-11,True
