planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
ray_gpis_hit_only,green_Pepper,19,0,0,0.22736666666666666,0.3704950979060862,0.22736666666666666,0.02392820271246222,21.025778725743294
ray_gpis_hit_only,green_Pepper,19,0,1,0.43083333333333335,0.6022131624927198,0.43083333333333335,0.04930751563173948,10.851243510842323
ray_gpis_hit_only,green_Pepper,19,0,2,0.6780333333333334,0.808128563198983,0.6780333333333334,0.0689532695984925,5.820374935865402
ray_gpis_hit_only,green_Pepper,19,0,3,0.8233666666666667,0.9031279135664796,0.8233666666666667,0.09390709463845097,4.087669309228659
ray_gpis_hit_only,green_Pepper,19,0,4,0.8593333333333333,0.9243456435998566,0.8593333333333333,0.1141175331948352,3.7722389679402113
ray_gpis_hit_only,green_Pepper,19,0,5,0.9042,0.9496901585967861,0.9042,0.1373643468600976,3.432865021750331
ray_gpis_hit_only,green_Pepper,21,0,0,0.2999,0.4614201092391722,0.2999,0.026123420185650018,18.599489703774452
ray_gpis_hit_only,green_Pepper,21,0,1,0.5331333333333333,0.695482019393834,0.5331333333333333,0.04730607855121394,8.95070843398571
ray_gpis_hit_only,green_Pepper,21,0,2,0.7632666666666666,0.8657416159401112,0.7632666666666666,0.07298756807823539,4.754969850182533
ray_gpis_hit_only,green_Pepper,21,0,3,0.8248,0.9039894782989917,0.8248,0.09668615561265266,4.286869429051876
ray_gpis_hit_only,green_Pepper,21,0,4,0.8866666666666667,0.9399293286219081,0.8866666666666667,0.11475550159478139,3.5097876098006964
ray_gpis_hit_only,green_Pepper,21,0,5,0.8869,0.9400604165562563,0.8869,0.13093928805862007,3.426042152568698
ray_gpis_hit_only,green_Pepper,20,0,0,0.23973333333333333,0.38674983867498386,0.23973333333333333,0.024955593592602177,17.65557751059532
ray_gpis_hit_only,green_Pepper,20,0,1,0.4677,0.6373237037541732,0.4677,0.050265952628941755,9.349465370178223
ray_gpis_hit_only,green_Pepper,20,0,2,0.7351,0.847328684225693,0.7351,0.07604303626114908,4.822317510843277
ray_gpis_hit_only,green_Pepper,20,0,3,0.8078666666666666,0.893723725938491,0.8078666666666666,0.10041450354356622,4.110526759177446
ray_gpis_hit_only,green_Pepper,20,0,4,0.8532666666666666,0.9208244900895716,0.8532666666666666,0.12402074099132161,3.696661675348878
ray_gpis_hit_only,green_Pepper,20,0,5,0.9477666666666666,0.9731829616826109,0.9477666666666666,0.14495231197715408,3.088871017098427
ray_gpis_hit_only,green_Pepper,17,0,0,0.18023333333333333,0.3054198322365634,0.18023333333333333,0.021868826817508857,22.40089885890484
ray_gpis_hit_only,green_Pepper,17,0,1,0.4465,0.61735222951953,0.4465,0.0479362993251562,12.47469987720251
ray_gpis_hit_only,green_Pepper,17,0,2,0.6596333333333333,0.7949145393560827,0.6596333333333333,0.07157143935078698,6.430463399738073
ray_gpis_hit_only,green_Pepper,17,0,3,0.7467666666666667,0.855027383928401,0.7467666666666667,0.09401202293323573,4.925278015434742
ray_gpis_hit_only,green_Pepper,17,0,4,0.8764333333333333,0.934148117883218,0.8764333333333333,0.11532824860032517,3.5973796620965004
ray_gpis_hit_only,green_Pepper,17,0,5,0.8908,0.9422466680770044,0.8908,0.1347224455111269,3.4428236540406942
ray_gpis_hit_only,green_Pepper,22,0,0,0.24336666666666668,0.3914640358167341,0.24336666666666668,0.026982228175366524,19.792277365922928
ray_gpis_hit_only,green_Pepper,22,0,1,0.47396666666666665,0.6431172120581651,0.47396666666666665,0.051837884532620115,11.294735595583916
ray_gpis_hit_only,green_Pepper,22,0,2,0.6720333333333334,0.8038515978549072,0.6720333333333334,0.07398553046780719,6.295469123870134
ray_gpis_hit_only,green_Pepper,22,0,3,0.8435666666666667,0.9151463648362774,0.8435666666666667,0.09812568612460684,3.8736043497920036
ray_gpis_hit_only,green_Pepper,22,0,4,0.8642333333333333,0.9271729218445472,0.8642333333333333,0.12255568955738563,3.6437311209738255
ray_gpis_hit_only,green_Pepper,22,0,5,0.9688666666666667,0.9841871804422172,0.9688666666666667,0.14430469124359863,2.9813358560204506
ray_gpis_hit_only,green_Pepper,18,0,0,0.2649,0.41884733971064914,0.2649,0.026334074248451404,18.533900380134583
ray_gpis_hit_only,green_Pepper,18,0,1,0.4938,0.6611326817512385,0.4938,0.05280885608477927,8.964037522673607
ray_gpis_hit_only,green_Pepper,18,0,2,0.7558,0.8609181000113908,0.7558,0.07691842960278429,4.643763415515423
ray_gpis_hit_only,green_Pepper,18,0,3,0.8195333333333333,0.9008170593192394,0.8195333333333333,0.10003298114695709,4.065349232405424
ray_gpis_hit_only,green_Pepper,18,0,4,0.8763,0.9340723764856366,0.8763,0.12400506430303324,3.578617237508297
ray_gpis_hit_only,green_Pepper,18,0,5,0.9259,0.9615244820603354,0.9259,0.14711537324795607,3.2059447839856148
ray_gpis_hit_only,green_Pepper,16,0,0,0.20623333333333332,0.34194600270815484,0.20623333333333332,0.02563259321026537,21.81152254343033
ray_gpis_hit_only,green_Pepper,16,0,1,0.4664333333333333,0.6361466596958607,0.4664333333333333,0.053205415239188404,10.672304779291153
ray_gpis_hit_only,green_Pepper,16,0,2,0.6755666666666666,0.8063739630373804,0.6755666666666666,0.07723603883447974,5.4247817024588585
ray_gpis_hit_only,green_Pepper,16,0,3,0.8371666666666666,0.9113671414315522,0.8371666666666666,0.10338475174126054,3.8916468620300293
ray_gpis_hit_only,green_Pepper,16,0,4,0.9016,0.9482541018090029,0.9016,0.12827978332744674,3.3979809377342463
ray_gpis_hit_only,green_Pepper,16,0,5,0.9576,0.978340825500613,0.9576,0.15223059636682906,3.0371909961104393
ray_gpis_hit_only,green_Pepper,15,0,0,0.24083333333333334,0.3881799865681666,0.24083333333333334,0.023302895275815257,20.297158509492874
