planner,paired_scenes,final_visibility_coverage,final_visibility_coverage_ci95,final_visibility_coverage_n,visibility_coverage_auc,visibility_coverage_auc_ci95,visibility_coverage_auc_n,recall@5_auc,recall@5_auc_ci95,recall@5_auc_n,f@5_auc,f@5_auc_ci95,f@5_auc_n,cumulative_active_gain_f@5,cumulative_active_gain_f@5_ci95,cumulative_active_gain_f@5_n,unseen_surface_discovery_ratio,unseen_surface_discovery_ratio_ci95,unseen_surface_discovery_ratio_n,unique_visibility_gain_per_action,unique_visibility_gain_per_action_ci95,unique_visibility_gain_per_action_n
er_gpis,64,0.2873353054863789,0.06957174403182259,64,0.21110893554876559,0.06256569258415097,64,0.6705314583333334,0.01197581131270864,64,0.7792793403897265,0.009159340826176459,64,0.5612142283745734,0.013526165233955533,64,0.2580690939102072,0.06939869931407817,64,0.03929237118860076,0.007392134621194258,64
pose_novelty,64,0.2981665398555045,0.07156932132105381,64,0.21809654945648632,0.06427971676496536,64,0.6809401562499999,0.009900196860165135,64,0.7874181377496919,0.007338550127313777,64,0.5645626360954521,0.013159784975169623,64,0.27214473625406965,0.07233830668507939,64,0.04145861806242587,0.007800226606977848,64
ray_gpis,64,0.2837133079393094,0.06916338198884778,64,0.2120378080768656,0.06395387136058586,64,0.6747703645833334,0.014686929916079361,64,0.7821116583371872,0.010758899798921575,64,0.5593446773366776,0.017722254802309458,64,0.2540757379247416,0.069454366795138,64,0.03856797167918686,0.007278371938275531,64
ray_gpis_hit_only,64,0.2921601638449327,0.0709112657546339,64,0.2143690508802818,0.06452238884420568,64,0.6582320833333333,0.015207956022790904,64,0.7695959555813731,0.011397198204678364,64,0.5630699908834411,0.013353386470913765,64,0.2654113170473995,0.07183008213372884,64,0.04025734286031152,0.007586475953041789,64
