planner,paired_scenes,final_recall@5,final_recall@5_ci95,final_recall@5_n,final_f@5,final_f@5_ci95,final_f@5_n,final_chamfer_mm,final_chamfer_mm_ci95,final_chamfer_mm_n
er_gpis,64,0.9031526041666667,0.012277235312050333,64,0.9483598441118373,0.007119959500678102,64,3.4302225285500754,0.08536766551859334,64
pose_novelty,64,0.9087947916666668,0.010304413692964217,64,0.9517082518327159,0.005765520276296731,64,3.373463227035245,0.07023610323050575,64
ray_gpis,64,0.902584375,0.020431629100925493,64,0.9464902930739414,0.01315233217615412,64,3.4304953296668828,0.14274846818575493,64
ray_gpis_hit_only,64,0.9070161458333333,0.014322117558948732,64,0.9502156066207049,0.008337675504078596,64,3.3797684191085864,0.0941840039555247,64
