planner,object,initial_pose_seed,planner_seed,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s,gain_consistency_max_abs_error,coverage_recall_max_abs_error,visibility_monotonic_min_delta
ray_gpis_hit_only,green_Pepper,19,0,0.9042,0.9496901585967861,3.432865021750331,0.1373643468600976,0.08138633756995961,0.67147,0.779581582221895,0.5791950606906999,0.11621700828040481,0.022687228829527076,0.11583901213813999,0.12562087571323455,0.5,1.0,0.009781863575094562,0.6,0.0,0.22278777676964448,0.5,0.10848934980167542,5.388140270952135e-05,0.10854323120438494,0.0,0.0,0.01964575396675302
ray_gpis_hit_only,green_Pepper,21,0,0.8869,0.9400604165562563,3.426042152568698,0.13093928805862007,0.08205333159180368,0.7202533333333333,0.821176541030512,0.47864030731708407,0.10762746537446367,0.02096317357459401,0.09572806146341681,0.09621751151604867,0.5,1.0,0.0004894500526318568,0.8,0.0,0.43621209209173906,0.75,0.11750060159829445,5.5745203280821445e-05,0.11755634680157527,0.0,0.0,0.01618378646383868
ray_gpis_hit_only,green_Pepper,20,0,0.9477666666666666,0.9731829616826109,3.088871017098427,0.14495231197715408,0.08713963724197135,0.6915366666666666,0.7958334008373452,0.586433123007627,0.12306795218351756,0.02399934367691038,0.11728662460152542,0.13180357590139405,0.6,1.0,0.01451695129986863,0.6,0.0,0.3597966173512863,0.5,0.10950689839955885,5.696600128430873e-05,0.10956386440084316,0.0,0.0,0.020931570985832468
ray_gpis_hit_only,green_Pepper,17,0,0.8908,0.9422466680770044,3.4428236540406942,0.1347224455111269,0.0814287292747644,0.65297,0.7650551041688031,0.636826835840441,0.11537677336919186,0.022570723738723604,0.12736536716808822,0.1470247143847849,0.7,1.0,0.01965934721669671,0.6,0.0,0.38881794389864394,0.25,0.10237119579978753,6.833979568909854e-05,0.10243953559547662,0.0,0.0,0.019394196910801714
ray_gpis_hit_only,green_Pepper,22,0,0.9688666666666667,0.9841871804422172,2.9813358560204506,0.14430469124359863,0.08642965007838047,0.6919833333333333,0.7954227409446745,0.592723144625483,0.12057586866910493,0.023464492613646422,0.11854462892509662,0.1282759601645444,0.5,1.0,0.009731331239447782,0.8,0.0,0.37166810499494485,0.5,0.11187034680042415,5.347740079741925e-05,0.11192382420122157,0.0,0.0,0.021749001686212993
ray_gpis_hit_only,green_Pepper,18,0,0.9259,0.9615244820603354,3.2059447839856148,0.14711537324795607,0.08809801097715153,0.7081666666666667,0.8094252256905996,0.5426771423496862,0.12404798792386265,0.024156259799900933,0.10853542846993725,0.11556741334580489,0.3,1.0,0.007031984875867647,0.6,0.0,0.4067812475288368,0.5,0.10931736560014542,6.658100173808634e-05,0.10938394660188351,0.0,0.0,0.02311030894492283
ray_gpis_hit_only,green_Pepper,16,0,0.9576,0.978340825500613,3.0371909961104393,0.15223059636682906,0.09020751678618452,0.6925366666666667,0.792457056015636,0.6363948227924581,0.12992840511123863,0.02531960063131274,0.12727896455849164,0.12727896455849164,0.8,1.0,0.0,1.0,0.0,0.1786377007602239,0.5,0.10980882800358813,5.425380077213049e-05,0.10986308180436026,0.0,0.0,0.023950813039382318
ray_gpis_hit_only,green_Pepper,15,0,0.9378,0.9679017442460522,3.204002045094967,0.14253173482801998,0.08368058941194353,0.6530566666666667,0.7683429194430161,0.5797217576778857,0.1220735056708031,0.023845767910440945,0.11594435153557714,0.12245694539160171,0.7,1.0,0.006512593856024584,0.8,0.0,0.4491098436108366,0.5,0.10636489839816932,6.143479840829969e-05,0.10642633319657761,0.0,0.0,0.022385786958591974
ray_gpis_hit_only,Corner,19,0,0.8859,0.9394983827350337,3.6579519510269165,0.07504531746266942,0.04412066717048266,0.6150466666666666,0.7337799574193884,0.5984692677960008,0.06364267795631984,0.01257353183428565,0.11969385355920018,0.12588177676856144,0.5,1.0,0.006187923209361279,0.6,0.0,0.5824705877945087,0.5,0.11549769059929531,5.39555971045047e-05,0.11555164619639982,0.0,0.0,0.009934328218802482
ray_gpis_hit_only,Corner,21,0,0.9053666666666667,0.9503332691870331,3.4808898344635963,0.0805605312990924,0.0467055722129753,0.7126666666666666,0.8069401857140874,0.6002713965072586,0.06931948338219894,0.013696444232693488,0.12005427930145171,0.12112301706976188,0.8,1.0,0.0010687377683101574,0.8,0.0,0.29350114641195646,1.0,0.11399360940267797,5.773100710939616e-05,0.11405134040978737,0.0,0.0,0.01310530447428434
ray_gpis_hit_only,Corner,20,0,0.9091,0.9523859410193285,3.4749298356473446,0.0803914229314047,0.04764947564500403,0.6630699999999999,0.776357712115467,0.5347478799401577,0.06698975474652699,0.013205504088305415,0.10694957598803154,0.11317527467261426,0.4,1.0,0.006225698684582714,0.6,0.0,0.37726989561122337,0.5,0.11200743700319435,5.526100285351277e-05,0.11206269800604787,0.0,0.0,0.012508151581493675
ray_gpis_hit_only,Corner,17,0,0.9662666666666667,0.9828439682647317,3.1729605980217457,0.08081917755833094,0.04787781987697104,0.6696933333333333,0.7701858280687264,0.6290248286685949,0.06885138706694227,0.013593291921703488,0.12580496573371897,0.12580496573371897,0.9,1.0,0.0,1.0,0.0,0.2878601316191908,0.75,0.11442051940248348,6.15885976003483e-05,0.11448210800008382,0.0,0.0,0.011432744608534481
ray_gpis_hit_only,Corner,22,0,0.9319666666666667,0.9647854517848824,3.388028359040618,0.07714274219270807,0.04671855204562521,0.71652,0.8134289048701981,0.5568463746495307,0.06384414280910063,0.012587440458186239,0.11136927492990614,0.11294680548930522,0.5,1.0,0.0015775305593990873,0.8,0.0,0.30525587377706925,0.75,0.10829164939932526,5.98551967414096e-05,0.10835150459606666,0.0,0.0,0.011449471934568398
ray_gpis_hit_only,Corner,18,0,0.9005333333333333,0.9476638136663393,3.555063623934984,0.07876645077152251,0.045973926677863854,0.65737,0.7704897674303964,0.5839233244247456,0.06646959747315535,0.013118806421352153,0.11678466488494912,0.12297693321887529,0.3,1.0,0.006192268333926165,0.4,0.0,0.28700548104579626,0.25,0.11106617800542154,4.973960167262703e-05,0.11111591760709416,0.0,0.0,0.010798976064939805
ray_gpis_hit_only,Corner,16,0,0.9111333333333334,0.9535005406913873,3.407989861443639,0.08342512744498391,0.049277670066911486,0.6337933333333334,0.7548298598735717,0.5125900324282131,0.06873356496261088,0.013529846277199423,0.10251800648564262,0.1362272073960569,0.1,1.0,0.03370920091041427,0.4,0.0,0.47494583630904635,0.75,0.1099051437980961,5.6253801449202e-05,0.1099613975995453,0.0,0.0,0.011734752653218515
ray_gpis_hit_only,Corner,15,0,0.9677,0.9835848960715556,3.1714069191366434,0.08371499181770865,0.05097247834676416,0.7812266666666666,0.8602781992873656,0.5070848833757224,0.06885470082484485,0.013551167613598059,0.10141697667514449,0.10258638774766879,0.7,1.0,0.001169411072524329,0.8,0.0,0.17550192125560268,0.5,0.1036666108033387,5.686519725713879e-05,0.10372347600059584,0.0,0.0,0.011987669641108596
ray_gpis_hit_only,L_Shaped,19,0,0.9554333333333334,0.9772088028229037,3.0907155014574528,0.151161724653737,0.08964627961579462,0.6882266666666667,0.7940647716219624,0.5733355352854612,0.1300258152067595,0.02537337099418152,0.11466710705709224,0.14556738833087132,0.0,1.0,0.030900281273779084,0.4,0.0,0.34770565174616586,0.0,0.100311014597537,4.637680249288678e-05,0.10035739140002989,0.0,0.0,0.021461213246860095
ray_gpis_hit_only,L_Shaped,21,0,0.9810333333333333,0.9904258720196529,2.96664796769619,0.14573588469673854,0.08677322818588662,0.7232266666666666,0.8200823879764325,0.504468618493195,0.1191187071337046,0.023103870587268316,0.100893723698639,0.11214919545001156,0.5,1.0,0.01125547175137256,0.8,0.0,0.26179176228280715,0.5,0.10619339600089006,5.431740137282759e-05,0.10624771340226288,0.0,0.0,0.020697029825886996
ray_gpis_hit_only,L_Shaped,20,0,0.9515666666666667,0.9751823321434061,3.096953732892871,0.140940998242044,0.08212786287561782,0.6218266666666666,0.7312724475144555,0.6077909686430932,0.12047347585361393,0.02353398585803003,0.12155819372861865,0.16319833261405683,0.3267949192431122,1.0,0.041640138885438195,0.8,0.0,-0.004757456039218724,0.75,0.09670541019877418,5.496599478647113e-05,0.09676037619356066,0.0,0.0,0.02193797814258105
