planner,object,initial_pose_seed,planner_seed,step,selected_action,oracle_action,selected_gain_f@5,oracle_gain_f@5,oracle_regret_f@5,oracle_action_accuracy,score_gain_spearman,minus_x_gain_f@5,minus_y_gain_f@5,plus_z_gain_f@5,minus_x_score,minus_y_score,plus_z_score
ray_gpis_hit_only,green_Pepper,19,0,0,minus_x,minus_x,0.23171806458663363,0.23171806458663363,0.0,1.0,1.0,0.23171806458663363,0.18521825933821484,0.1407080980443865,6.10836868872866e-05,4.910306597594172e-05,2.530638266762253e-05
ray_gpis_hit_only,green_Pepper,19,0,1,minus_x,minus_x,0.20591540070626313,0.20591540070626313,0.0,1.0,1.0,0.20591540070626313,0.11202663178564731,0.12444218555481834,5.9615100326482207e-05,4.696306132245809e-05,5.558254269999452e-05
ray_gpis_hit_only,green_Pepper,19,0,2,minus_x,minus_x,0.09499935036749663,0.09499935036749663,0.0,1.0,1.0,0.09499935036749663,0.031688901415449666,0.06959995933061691,4.107161657884717e-05,3.6451496271183714e-05,4.0027181967161596e-05
ray_gpis_hit_only,green_Pepper,19,0,3,minus_y,minus_x,0.021217730033377014,0.06686453304479556,0.045646803011418546,0.0,-1.0,0.06686453304479556,0.021217730033377014,0.03569524131228097,2.7472742658574134e-05,3.3697800972731784e-05,2.7656220481730998e-05
ray_gpis_hit_only,green_Pepper,19,0,4,minus_x,plus_z,0.025344514996929468,0.028607029860983735,0.0032625148640542667,0.0,0.5,0.025344514996929468,0.014871498651124582,0.028607029860983735,3.2113071938510984e-05,2.449549901939463e-05,2.7426898668636568e-05
ray_gpis_hit_only,green_Pepper,21,0,0,minus_x,minus_x,0.23406191015466182,0.23406191015466182,0.0,1.0,0.5,0.23406191015466182,0.09070344288437993,0.11916705453741228,2.1144922357052565e-05,2.075626798614394e-05,2.027356458711438e-05
ray_gpis_hit_only,green_Pepper,21,0,1,minus_x,minus_x,0.1702595965462772,0.1702595965462772,0.0,1.0,1.0,0.1702595965462772,0.07400116354299946,0.06992467621718679,6.266911077545956e-05,6.203341763466597e-05,4.848065509577282e-05
ray_gpis_hit_only,green_Pepper,21,0,2,minus_x,minus_x,0.03824786235888045,0.03824786235888045,0.0,1.0,0.5,0.03824786235888045,0.01943118227616525,0.0171687748550704,4.352892574388534e-05,3.227216438972391e-05,3.5988312447443604e-05
ray_gpis_hit_only,green_Pepper,21,0,3,minus_x,minus_x,0.03593985032291647,0.03593985032291647,0.0,1.0,1.0,0.03593985032291647,0.006310007725599198,0.00881765368622256,4.444206570042297e-05,2.444230813125614e-05,3.0754654289921746e-05
ray_gpis_hit_only,green_Pepper,21,0,4,plus_z,minus_x,0.0001310879343481286,0.0025783381975074127,0.002447250263159284,0.0,-0.5,0.0025783381975074127,0.0023732786021650742,0.0001310879343481286,3.2264255423797294e-05,2.3063650587573647e-05,3.2864772947505116e-05
