scenario,planner,object,initial_pose_seed,f@5_auc,recall@5_auc,target_recall@5_auc,final_target_recall@5,target_surface_point_count,target_first_25_step,post_outlier_oracle_regret,post_outlier_f@5_auc,post_outlier_unique_gain,ghost_ratio,miss_direction_selection_rate,planning_time_s,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,cuda_steps,states,actions,gain_consistency_error,scheduled_outlier_events
hole,er_gpis,Bowl,15,0.6876370904282648,0.5556166666666666,0.46526412899602904,0.8239942240584012,24931,2,0.010238187571052354,0.7607044361565232,0.12973333333333334,nan,0.0,0.09622711959236767,0.6498488419740082,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,16,0.7275330892544567,0.5904933333333333,0.40933698735516133,0.7699408625414683,20799,2,0.03151640176489934,0.776410838453111,0.10435000000000001,nan,0.0,0.09358880320214666,0.6498625972417816,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,17,0.7569803392067848,0.6297933333333333,0.516427918317586,0.7502068184786869,22967,1,0.02084276818215902,0.8182198749173573,0.08339999999999999,nan,0.0,0.10634020598954522,0.650035667717885,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,18,0.7293621850928222,0.6035400000000001,0.46145347520941815,0.842019470228662,22085,2,0.03433832151814015,0.7885496939527198,0.12183333333333335,nan,0.0,0.10954700000584125,0.6500183202880481,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,19,0.7292739497947908,0.5873433333333334,0.45574166886485534,0.5970720126615668,22746,1,0.048451675853416254,0.7800179535213188,0.04960833333333334,nan,0.0,0.0953196916001616,0.650040928518037,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,20,0.7623449710893337,0.63087,0.48531188993213725,0.6494375755322116,21514,1,0.030077020091794193,0.8139018358595521,0.060850000000000015,nan,0.0,0.09326629519637208,0.64996170838508,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,21,0.803791768392971,0.69444,0.582282980177717,0.858965595807701,21945,1,0.003948788879782034,0.8647707145550055,0.09065000000000001,nan,0.0,0.10303081280144397,0.6500517257786629,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Bowl,22,0.7744659301768134,0.6683600000000001,0.563284302963776,0.921888035126235,22775,2,0.006580510030412823,0.8461218994275397,0.131175,nan,0.0,0.09506136479903944,0.649925986269844,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,15,0.8602781992873656,0.7812266666666666,0.6816607653877867,0.952999951496338,20617,1,0.0014617638406554112,0.9221981776577858,0.09234166666666666,nan,0.0,0.09075068659731186,0.6498780339767221,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,16,0.7844395829241865,0.6714033333333334,0.5418339840118981,0.8967744934002603,21516,1,0.036772914301738985,0.8432096400233495,0.10896666666666668,nan,0.0,0.08291451599798165,0.6499212329713523,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,17,0.7701496039490214,0.6696233333333332,0.5791737432065218,0.9561396059782609,23552,2,9.056029926246545e-05,0.8526804810267479,0.152125,nan,0.0,0.09189189979806542,0.649933901208926,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,18,0.7511234745852795,0.62579,0.5188247396168187,0.8115811581158116,23331,1,0.022546787028097703,0.8148026825470853,0.09865000000000002,nan,0.0,0.0933368053927552,0.6499952569676323,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,19,0.7371399720924539,0.6211266666666667,0.5230898334242436,0.9209919019846431,23833,2,0.0,0.8106056925667666,0.14054166666666668,nan,0.0,0.0892848363990197,0.6502532503511387,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,20,0.7728762371903617,0.6560966666666668,0.5327914138212119,0.7816773842949009,22082,2,0.0032760885791997263,0.8390464275940351,0.10300000000000001,nan,0.0,0.09019290119467768,0.6498260057160047,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,21,0.8069401857140874,0.7126666666666666,0.6352866511529511,0.8798815316268246,23635,1,0.0013359222103876967,0.884808314892685,0.10845833333333332,nan,0.0,0.08680420480086468,0.6500941754732408,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Corner,22,0.8132615408721726,0.71621,0.6184421637610361,0.9107246896428092,22313,1,0.0061697983181117355,0.8800834776885091,0.10345833333333332,nan,0.0,0.08575889779895078,0.6500616075198898,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Cross,15,0.7700919781872979,0.6589633333333333,0.539761583445794,0.92204228520018,22230,2,0.00030449561635045863,0.8376932330110407,0.13146666666666668,nan,0.0,0.09310415939544328,0.6501318317951436,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Cross,16,0.7944445502780786,0.6923600000000001,0.5929488593743105,0.8986453691038256,22663,1,0.008272456242887694,0.8650444905753737,0.11555833333333333,nan,0.0,0.09511632419307717,0.6500543100533124,0.0,0.0,5,6,5,0.0,0
hole,er_gpis,Cross,17,0.758307322641713,0.6474866666666668,0.5682452845594839,0.8768678043602515,24494,1,0.00890973687834587,0.8389549221465096,0.12733333333333333,nan,0.0,0.09414873360365164,0.6499091272253189,0.0,0.0,5,6,5,0.0,0
