object,initial_pose_seed,planner,selected_action,target_point_count,missing_patch_recall@5,selected_f@5_gain,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,planning_time_s,gap_score_recovery_correlation,gap_oracle_regret_recall@5,gap_oracle_action_accuracy
Corner,21,pb_nbv,plus_z,241,1.0,0.09954256032399789,-1.0,0.07198551528227992,0.0,0.3782506360003026,1.0,0.0,1.0
Corner,21,ray_gpis,minus_x,241,0.3029045643153527,0.1715280756062778,1.0,0.0,1.0,0.1604126769962022,-1.0,0.6970954356846473,0.0
Corner,22,pose_novelty,minus_x,278,0.7338129496402878,0.2727234553221961,1.0,0.0,1.0,0.00016011399566195905,-0.5,0.24820143884892087,0.0
Corner,22,actnerf,minus_x,278,0.7338129496402878,0.2727234553221961,1.0,0.0,1.0,2.9367698279966135,-0.5,0.24820143884892087,0.0
Corner,22,pb_nbv,plus_z,278,0.9640287769784173,0.1606725143665103,-0.5,0.1120509409556858,0.0,0.4170448129880242,-0.5,0.017985611510791366,0.0
Corner,22,ray_gpis,minus_x,278,0.7338129496402878,0.2727234553221961,1.0,0.0,1.0,0.14622298600443173,-0.5,0.24820143884892087,0.0
Cross,15,pose_novelty,minus_x,400,0.3425,0.23836544856851705,1.0,0.0,1.0,0.00017020199447870255,-1.0,0.615,0.0
Cross,15,actnerf,minus_x,400,0.3425,0.23836544856851705,1.0,0.0,1.0,4.045235259007313,-1.0,0.615,0.0
Cross,15,pb_nbv,minus_x,400,0.3425,0.23836544856851705,nan,0.0,1.0,0.3546400039922446,nan,0.615,0.0
Cross,15,ray_gpis,minus_x,400,0.3425,0.23836544856851705,1.0,0.0,1.0,0.17370907399163116,-1.0,0.615,0.0
Cross,16,pose_novelty,minus_x,212,0.42452830188679247,0.21730029002084217,0.5,0.0037429189400821627,0.0,0.0004210759943816811,-0.5,0.5188679245283019,0.0
Cross,16,actnerf,minus_y,212,0.9433962264150944,0.22104320896092433,1.0,0.0,1.0,3.736975573003292,0.5,0.0,1.0
Cross,16,pb_nbv,minus_y,212,0.9433962264150944,0.22104320896092433,0.5,0.0,1.0,0.22458072900190018,1.0,0.0,1.0
Cross,16,ray_gpis,minus_x,212,0.42452830188679247,0.21730029002084217,0.5,0.0037429189400821627,0.0,0.13779676200647373,-0.5,0.5188679245283019,0.0
