planner,paired_scenes,missing_patch_recall@5,missing_patch_recall@5_ci95,missing_patch_recall@5_n,selected_f@5_gain,selected_f@5_gain_ci95,selected_f@5_gain_n,score_gain_correlation,score_gain_correlation_ci95,score_gain_correlation_n,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_regret_f@5_n,oracle_action_accuracy,oracle_action_accuracy_ci95,oracle_action_accuracy_n,planning_time_s,planning_time_s_ci95,planning_time_s_n,gap_score_recovery_correlation,gap_score_recovery_correlation_ci95,gap_score_recovery_correlation_n,gap_oracle_regret_recall@5,gap_oracle_regret_recall@5_ci95,gap_oracle_regret_recall@5_n,gap_oracle_action_accuracy,gap_oracle_action_accuracy_ci95,gap_oracle_action_accuracy_n,point_weighted_missing_patch_recall@5
pose_novelty,64,0.3121417293526466,0.06427670717439712,64,0.21422856350852454,0.008667532572083142,64,0.8359375,0.057972189363377793,64,0.004088829345944839,0.0029325813676194037,64,0.828125,0.09316227814649256,64,0.00022526374959852546,2.514254221740341e-05,64,-0.5744992061317362,0.1258637594076838,64,0.608138530997212,0.07305258088073512,64,0.078125,0.06626997864376027,64,0.28511501083688734
actnerf,64,0.5303361913551867,0.08907054992485615,64,0.20062670632576146,0.011531205578218953,64,0.65625,0.12127863350336877,64,0.017690686528707922,0.008266096428964734,64,0.703125,0.11282072338449174,64,3.5122748903133925,0.17195678344338128,64,-0.14481170613173627,0.16379320562772232,64,0.3899440689946719,0.0905562242216684,64,0.328125,0.11594437872675559,64,0.5363210515276515
pb_nbv,64,0.7160645955363826,0.06817377785788485,64,0.14502308688295124,0.017598695791388903,64,-0.39090909090909093,0.16809639108028124,55,0.07329430597151816,0.016655284554447005,64,0.265625,0.10906344515668136,64,0.6118321920146172,0.1540124251889852,64,0.14789044720391928,0.1887624027015257,55,0.20421566481347603,0.06365434654257536,64,0.296875,0.11282072338449174,64,0.7204083059498008
ray_gpis,64,0.4778492985207329,0.08567582831991064,64,0.2010337308977429,0.013058791025421209,64,0.5625,0.14229029403925547,64,0.017283661956726478,0.008691461245213652,64,0.703125,0.11282072338449174,64,0.20018507431564103,0.022541634294696796,64,-0.27190505919760444,0.15592721598516962,64,0.44243096182912567,0.0880205442478063,64,0.25,0.10692676621563625,64,0.5001048731035447
